Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.06235812433491594	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ἔγερσις	0	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	καταπέσσω ; 0.672787606716156	ἁγνισμός ; 0.7013663053512573	Ταρτήσσιοι ; 0.6889235377311707	σύμμορφος ; 0.7388715744018555	ἀναπλήρωσις ; 0.7054264545440674	ἀπευθής ; 0.6646536588668823	Ἀμίλκας ; 0.6603019833564758	ἀπολύω ; 0.7202297449111938	Κίμων ; 0.6808698177337646	ῥίζωμα ; 0.6326937079429626	ἄκος ; 0.6758471727371216	κατοικέω ; 0.8019857406616211	γνωριστής ; 0.6740723848342896	ἀνάπειρα ; 0.6545823812484741	ἀφάλλομαι ; 0.7313562035560608
0.038683049854334794	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	συναπόλλυμαι	0	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	τυπικῶς ; 0.7188002467155457	εὖτε ; 0.699486255645752	Γεσιωνγαβερ ; 0.6558435559272766	ἀπευκτός ; 0.6640255451202393	οὐραγός ; 0.6237108707427979	ἀποσφάλλω ; 0.719798743724823	προσοχθίζω ; 0.686722993850708	προσκολλάω ; 0.7300133109092712	ξύω ; 0.6520224809646606	πρόσχυσις ; 0.7219436168670654	πέτρα ; 0.6912744045257568	Ταρτήσσιοι ; 0.6593031883239746	φορέω ; 0.7051992416381836	καταστρατοπεδεία ; 0.6850990056991577	χόρτος ; 0.7046391367912292
0.01532773909938212	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	δόσις	0	8	305	3	4	62	25	2542	22	396	2	15	1	15	273	7	ἐκφέρω ; 0.7176183462142944	ἐκτείνω ; 0.7525521516799927	Ὑρτακίδης ; 0.6726441383361816	φιλότεκνος ; 0.7227303981781006	φερνή ; 0.7095930576324463	κάππα ; 0.6937144994735718	λαμβάνω ; 0.7989711761474609	ταυρόομαι ; 0.6843751072883606	θλάω ; 0.7423456907272339	ὑπότροπος ; 0.6614896059036255	πολύπικρος ; 0.6801756620407104	προσαυδάω ; 0.6683380007743835	Φαῖδρος ; 0.7036002278327942	γιγνώσκω ; 0.736468493938446	διαλογισμός ; 0.6465537548065186
0.46722011246498807	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	θρέμμα	1	351	289	316	444	830	465	147	48	91	1376	18	61	1	15	17	πεντήκοντα ; 0.7851528525352478	δύο ; 0.7312207221984863	πεντήκοντα ; 0.7850326299667358	ἑπτά ; 0.8312131762504578	δέκα ; 0.7330600023269653	τρεῖς ; 0.8312132358551025	εἴκοσι ; 0.750961184501648	ὀκτώ ; 0.7004046440124512	ἐννέα ; 0.7004046440124512	πέντε ; 0.7135000228881836	λέων ; 0.6908577084541321	τροχός ; 0.7329297065734863	πηγός ; 0.6674416661262512	δίπους ; 0.7230548858642578	Γελαμψουρ ; 0.6473448872566223
0.09924242379513554	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	κοπή	1	4	4488	140	18	2	7	6	3	9	1487	2	27	5	317	5	σπουδάζω ; 0.709298312664032	ἰάομαι ; 0.7058928608894348	δόκησις ; 0.6832255125045776	γλῶσσα ; 0.6895552277565002	δασύπους ; 0.6736525297164917	ἀπρονοήτως ; 0.6585116386413574	δασέως ; 0.7762680053710938	συμπαρακαλέομαι ; 0.7418755292892456	Θεργαμα ; 0.7277061343193054	εἶδον ; 0.7776215076446533	μελανόζυξ ; 0.6476811170578003	βόα ; 0.639891505241394	Τρύφων ; 0.6929849982261658	ὑπεκτρέχω ; 0.6787842512130737	χαλκίοικος ; 0.6866106390953064
0.009810630136486642	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	ἐκτινάσσω	1	1	2	11	766	1	2	1	13	168	4	1	16	35	29	42	ὄρνεον ; 0.6889898777008057	Κηφισός ; 0.6781044602394104	ἥμερος ; 0.6852219104766846	ἡμέρα ; 0.751331627368927	Ἀκράγας ; 0.690201997756958	Συβαρίτης ; 0.6577057242393494	μετόπωρον ; 0.6741827726364136	αὐγάζω ; 0.6635311841964722	μήν ; 0.7603968381881714	αὐτοῦ ; 0.6679638624191284	εἷος ; 0.6361116170883179	ἄνθρωπος ; 0.669219434261322	ὁμοθυμαδόν ; 0.788905143737793	ζώννυμι ; 0.6908594369888306	ψύχω ; 0.6886358857154846
0.0780807816511836	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	βρῶμα	1	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	ἐξέρπω ; 0.6681411862373352	πολιτάρχης ; 0.7591521739959717	θεραπεύω ; 0.653270423412323	ὑπεκπροφεύγω ; 0.753663957118988	θυμός ; 0.8124127388000488	ὀργίζω ; 0.6708349585533142	ἀντήνωρ ; 0.6517412662506104	προτάσσω ; 0.6905843019485474	ἐν-κατακλείω ; 0.6304923295974731	ὀργή ; 0.812412679195404	τρίχα ; 0.6406058669090271	ἐφανδάνω ; 0.7124576568603516	εἰκοστή ; 0.6629334688186646	ὠδίς ; 0.6558248996734619	θριαμβεύω ; 0.674924373626709
0.10453367513024303	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	κοπή	0	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	ἀντιδικέω ; 0.7085103988647461	Τρύφων ; 0.6929849982261658	δύσφημος ; 0.6969533562660217	βόα ; 0.639891505241394	πατάσσω ; 0.7227150201797485	ἐπιτίθημι ; 0.7116986513137817	χαλκίοικος ; 0.6866106390953064	μελανόζυξ ; 0.6476811170578003	διαφέρω ; 0.7097301483154297	ὑπεκτρέχω ; 0.6787842512130737	ὑπέρ ; 0.6688743829727173	μελῳδός ; 0.635442852973938	προσεμπίμπρημι ; 0.6769945621490479	μετριάζω ; 0.7147086262702942	Πολυφήτης ; 0.6867806315422058
0.076191821036453	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	ἐξοχή	1	13	28	36	1	13	28	57	5	31	6	7	10	2	1	52	καλλίκαρπος ; 0.748126208782196	πνοή ; 0.6537312269210815	στεροπηγερέτης ; 0.6408723592758179	νυμφικός ; 0.7283325791358948	στεφανηφορέω ; 0.6658709645271301	ὀξύς2 ; 0.674439013004303	ἀνυπότακτος ; 0.6433255076408386	βασίλη ; 0.6534790396690369	διέξοδος ; 0.6652261018753052	κονία ; 0.6657675504684448	κνάω ; 0.6510907411575317	ὀρέγνυμι ; 0.6783807873725891	Ιασων ; 0.6795103549957275	στιχίζω ; 0.6951789855957031	ἀρέσκεια ; 0.7016199231147766
0.12288182769736039	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	ἀνάγω	1	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	Ἑκαταῖος ; 0.6802480220794678	ἀποδείκνυμι ; 0.7116751074790955	ὁλοπόρφυρος ; 0.676445722579956	ὁπόσος ; 0.739050030708313	ἐγκρούω ; 0.6866981983184814	διήκω ; 0.6631165742874146	νιπτήρ ; 0.6807188987731934	μαρτύριον ; 0.7655936479568481	ἀλέτων ; 0.6827018857002258	ἀποπροτέμνω ; 0.6191146373748779	ἐκθαμβέω ; 0.654954195022583	καταβαίνω ; 0.7809607982635498	Κώς ; 0.6786854863166809	Σελεύκεια ; 0.6784799098968506	ἐφύβριστος ; 0.6866062879562378
