Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
-0.0016960319294558879	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ζῳογονέω	0	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	στεροπή ; 0.32352831959724426	φραγέλλιον ; 0.3137548565864563	οἰκουμένη ; 0.27630114555358887	Γεθθεμ ; 0.36241090297698975	ἐπαμοιβαδίς ; 0.31099557876586914	Σοῦσα ; 0.26746928691864014	Ιάμνεια ; 0.3426579236984253	Ραιφαν ; 0.34875622391700745	συμμαθητής ; 0.3402145504951477	θρίξ ; 0.32990264892578125	ὅπλον ; 0.2712763249874115	νεῦμα ; 0.28770482540130615	ἀρσενικός ; 0.32246506214141846	βίωσις ; 0.33695656061172485	Ἑρμιών ; 0.3160765767097473
0.012301483354354603	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	κάλαμος	1	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	τυπικῶς ; 0.7629439830780029	Χαλδαία ; 0.27466732263565063	Φελλανι ; 0.3248715102672577	ἕκηλος ; 0.29609453678131104	Ῥαάβ ; 0.4161684513092041	ἐλευθερία ; 0.28751081228256226	ἐξαίρω ; 0.31796133518218994	μέμφομαι ; 0.32374975085258484	Σόλων ; 0.2895081043243408	πρόσχυσις ; 0.6265206336975098	κροτησμός ; 0.29990947246551514	Μασεκκα ; 0.41203784942626953	σιρικός ; 0.3773048520088196	καταφρονητής ; 0.3339676260948181	βοτάνη ; 0.30534660816192627
0.0004914454712670047	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	δόμα	0	8	305	3	4	62	25	2542	22	396	2	15	1	15	273	7	πολλαχοῦ ; 0.29977947473526	ἐπιστοιβάζω ; 0.36399319767951965	χοιρογρύλλιον ; 0.32244282960891724	Κήρινθος ; 0.2858145534992218	χοροιτυπία ; 0.2897646725177765	ἐπιμιγνύω ; 0.36562585830688477	φέρω ; 0.37724798917770386	προθυμία ; 0.30528226494789124	Μαχανια ; 0.2996446490287781	Αβεδδαραμ ; 0.37888291478157043	κατακλίνω ; 0.2882842421531677	Δαμασκός ; 0.29500246047973633	περιφέρω ; 0.2847409248352051	ἀπαγγέλλω ; 0.39164477586746216	ἐπεῖ ; 0.30843308568000793
0.16824400597776484	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	ἀγέλη	1	351	289	316	444	830	465	147	48	91	1376	18	61	1	15	17	εἴκοσι ; 0.40260499715805054	ἕξ ; 0.2858123779296875	ὀκτώ ; 0.33517763018608093	ἕξ ; 0.3437935709953308	δώδεκα ; 0.3159557580947876	δεύτερος ; 0.3499082028865814	τρεῖς ; 0.3437935411930084	πέντε ; 0.285086452960968	πέντε ; 0.33517763018608093	κύπειρον ; 0.29477211833000183	Δαλμανουθά ; 0.32507777214050293	χαλκηδών ; 0.2751811444759369	ὀβελίσκος ; 0.3356553912162781	Δαμαν ; 0.28144946694374084	ἐπαναστρέφω ; 0.28648775815963745
0.023305425951012593	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	ἀναφωνέω	0	4	4488	140	18	2	7	6	3	9	1487	2	27	5	317	5	χαράκωσις ; 0.3143903315067291	εἶπον ; 0.4422496259212494	λέγω ; 0.2731679677963257	μνήμη ; 0.31548047065734863	ἰστέον ; 0.36550062894821167	διαπορέω ; 0.3299044370651245	Ιερεμωθ ; 0.35920143127441406	Σκυθοπολῖται ; 0.3069758415222168	Μαδων ; 0.2898189127445221	ἐντέλλομαι ; 0.325592964887619	ἀποτομία ; 0.3345661759376526	Χαβωρ ; 0.2792847156524658	Ελιανα ; 0.41683733463287354	θανατόω ; 0.3267143666744232	Μαν ; 0.3563709855079651
-0.021399903808488663	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	παραχειμασία	0	1	2	11	766	1	2	1	13	168	4	1	16	35	29	42	Φινεύς ; 0.38309842348098755	Θεόκλεα ; 0.3460981845855713	ἀντιδοκέω ; 0.321923166513443	χιλιάς ; 0.39238178730010986	ψύχομαι ; 0.30310678482055664	ἀμερής ; 0.43224430084228516	Μαντίνεια ; 0.31794142723083496	Ασεμωνα ; 0.273512601852417	μήν ; 0.3062492609024048	ἀτιμαστήρ ; 0.3447742462158203	ἄτομος ; 0.40832945704460144	ὀλοός ; 0.26696333289146423	καταπλήσσω ; 0.30482983589172363	διασκευάζω ; 0.27249687910079956	βοῦνις ; 0.28171664476394653
0.028052806683747766	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	βρῶμα	1	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	παντευχία ; 0.3053781986236572	ἐντάφιον ; 0.46708405017852783	ἐρώτησις ; 0.36050641536712646	κάλαις ; 0.2930367588996887	ῥίγιον ; 0.2975082993507385	σκληρύνω ; 0.29215022921562195	προαίρω ; 0.34515130519866943	ἔννυχα ; 0.3732559382915497	Εσδρηλων ; 0.2849664092063904	ὅστις ; 0.27240219712257385	σύνοιδα ; 0.33138853311538696	Ἀπελλῆς ; 0.3133712112903595	οἰκετεία ; 0.5199035406112671	Τελμεσσός ; 0.4189932346343994	εὔγλωσσος ; 0.2931206226348877
0.06776376757696864	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	θορυβάζω	1	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	ἀποκτείνω ; 0.32671433687210083	Ελιανα ; 0.41683733463287354	ἐρεύσομαι ; 0.33380985260009766	Χαβωρ ; 0.2792847156524658	ἀποκτείνω ; 0.29779407382011414	Ἰλλυρικός ; 0.31476250290870667	Μαν ; 0.3563709855079651	ἀποτομία ; 0.3345661759376526	ἑλκεχίτων ; 0.30598729848861694	θανατόω ; 0.3267143666744232	ὀγκός2 ; 0.45225220918655396	Ραούμος ; 0.3334149420261383	ἀόριστος ; 0.28602248430252075	διδακτικός ; 0.29441869258880615	συμπείθω ; 0.2741659879684448
0.08877319214467111	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	κυρία	1	13	28	36	1	13	28	57	5	31	6	7	10	2	1	52	ἀνεξίκακος ; 0.3310093581676483	Ροωβ ; 0.2858513295650482	τηλαυγής ; 0.2674759030342102	ἀπειρόκαλος ; 0.44529086351394653	σειραῖος ; 0.28301772475242615	κατά-ἕζομαι ; 0.27901703119277954	δίμετρον ; 0.3084443509578705	ἀλάστωρ ; 0.3271619975566864	σκιατραφία ; 0.30184000730514526	πικρασμός ; 0.37382084131240845	μύλν ; 0.30576953291893005	ασελισι ; 0.3288819491863251	Φοινίκης ; 0.3895799517631531	πολυκτήμων ; 0.5082998871803284	βραβεύς ; 0.30638641119003296
0.03517864079526145	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	ἀνάγω	1	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	Ἰβύκειον ; 0.3628832995891571	κνεφάζω ; 0.44074878096580505	νυμφών ; 0.3356766402721405	Ιερμιας ; 0.3588787913322449	πώγων ; 0.36494582891464233	καταμήνιος ; 0.32256680727005005	λάκτισμα ; 0.38598692417144775	ἐξέδρα ; 0.3227689266204834	μυρισμός ; 0.3247830867767334	εὐγένεια ; 0.29595184326171875	ἀποπλέω ; 0.32589197158813477	ἐξάγω ; 0.37644946575164795	Κώς ; 0.5939754247665405	ἀναπολόγητος ; 0.36476537585258484	προσεάω ; 0.4624115228652954
