Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.1081954844577987	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	οἰκέω	1	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	καταργέω ; 0.7492449879646301	ἐγκρατεύομαι ; 0.6983113288879395	δήλωσις ; 0.6588984131813049	πρωταγωνιστής ; 0.6524362564086914	ἀποθνῄσκω ; 0.6704345941543579	ἑωθινός ; 0.6558847427368164	σκηνή ; 0.6862399578094482	ὑπερβαλλόντως ; 0.6323373317718506	ῥώμη ; 0.6034334897994995	καδημιμ ; 0.6681210994720459	Καριαθαρβοκ ; 0.6760032176971436	καμπύλος ; 0.6831014156341553	Μασσαμ ; 0.7883336544036865	σητόβρωτος ; 0.6302975416183472	λαχανεία ; 0.6494359374046326
0.05467209750381152	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	ἀκάνθινος	1	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	τυπικῶς ; 0.8738027811050415	Αβδησελμα ; 0.6291192770004272	Ναζωραῖος ; 0.7122695446014404	ἀδυναμέω ; 0.6794108152389526	ἀγάπη ; 0.6873317360877991	ἀποργίζομαι ; 0.6228154897689819	ἐξαίρω ; 0.789616584777832	ἰουδαΐζω ; 0.6630985736846924	ἐπιμίγνυμι ; 0.6228032112121582	πρόσχυσις ; 0.8008111119270325	κλῆμα ; 0.6862783432006836	Ἄψινθος ; 0.7075741291046143	γαλεάγρα ; 0.6943947672843933	στέμμα ; 0.666344940662384	χόρτος ; 0.7050672769546509
0.03555712680607759	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	δότης	0	8	305	3	4	62	25	2545	22	396	2	15	1	15	274	7	τροποφορέω ; 0.7214171886444092	αἴρω ; 0.7618680596351624	φοβερῶς ; 0.7358475923538208	Ραφες ; 0.682479977607727	ἐμπορία ; 0.7455748319625854	ὑπερδυναμόω ; 0.6336467266082764	ποιέω ; 0.7704248428344727	ἐμβίωσις ; 0.5858633518218994	ἐκπεταννύω ; 0.7718526721000671	διαπαρατηρέω ; 0.6370400190353394	μηνύω ; 0.7223603129386902	θρεπτή ; 0.6745936870574951	χερσόομαι ; 0.7222973704338074	ἀπαγγέλλω ; 0.7140693664550781	διαλογισμός ; 0.6425385475158691
0.42185216958106175	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	θρέμμα	1	351	289	316	445	830	465	147	48	91	1376	18	61	1	15	17	τεσσαράκοντα ; 0.786599338054657	τρεῖς ; 0.7144205570220947	πεντήκοντα ; 0.668906569480896	τέσσαρες ; 0.7144205570220947	τέσσαρες ; 0.6845471858978271	ἕβδομος ; 0.7077144384384155	τρεῖς ; 0.7045774459838867	θεωρητός ; 0.5963236093521118	ἑξήκοντα ; 0.6659594774246216	δύο ; 0.6406689882278442	λέων ; 0.7464687824249268	τετράδραχμον ; 0.6650698184967041	Ναούμ ; 0.6793731451034546	ἐναντίος ; 0.6904222965240479	Ἰουνία ; 0.5882800817489624
0.06233001658045434	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	κοπή	1	4	4491	140	18	2	7	6	3	9	1487	2	27	5	317	5	ἄμαχος ; 0.6496971249580383	ἀποκρίνομαι ; 0.6337869763374329	ἐπίδειξις ; 0.6923447251319885	μαίνομαι ; 0.6614423990249634	κατανωτίζομαι ; 0.7474666833877563	κατεφίστημι ; 0.7151581048965454	αἰνέω ; 0.6618772745132446	Σαλλαι ; 0.6934180855751038	Θεκεμινας ; 0.6846321821212769	ἐντέλλομαι ; 0.7117803692817688	Μάλχος ; 0.6100820899009705	μανιώδης ; 0.6327564120292664	Ιοππη ; 0.6377161145210266	ἐμπαίζω ; 0.6439433693885803	τραχύτης ; 0.6369417905807495
0.047688652651319385	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	διετία	0	1	2	11	767	1	2	1	13	168	4	1	16	35	29	42	ὀργίλως ; 0.6961501240730286	ἐπάλξις ; 0.5807240009307861	ἀπερίσπαστος ; 0.718300998210907	ἡμέρα ; 0.7099722623825073	Φίλιπποι ; 0.5869393944740295	βασιλικός ; 0.7025249600410461	ἐγκακέω ; 0.6870967149734497	μισθόομαι ; 0.675331711769104	ἑορτή ; 0.7162798047065735	τροπιά ; 0.6774245500564575	ἄτομος ; 0.9673919081687927	Αριωχ ; 0.7310669422149658	πεζικός ; 0.6223925948143005	γέμω ; 0.6897856593132019	στάζω ; 0.7208013534545898
0.0380704627169407	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	πόμα	1	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	καρασιμ ; 0.6252584457397461	Βλάστος ; 0.7310059070587158	βέβηλος ; 0.6627237796783447	γιγνώσκω ; 0.7126393914222717	θυμός ; 0.8472328186035156	λατρεύω ; 0.742940366268158	διψώδης ; 0.7446950674057007	προτάσσω ; 0.6959265470504761	ἐπιστήριγμα ; 0.6553117632865906	ὀργή ; 0.8472328186035156	ἀπορφανίζω ; 0.6265658140182495	χαυών ; 0.6493690013885498	Νισαν ; 0.6345669031143188	συναυξάνομαι ; 0.6832364201545715	ποτήριον ; 0.650496244430542
0.044385339837740734	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	κοπή	0	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	ἀποθνῄσκω ; 0.7355278134346008	Ιοππη ; 0.6377161145210266	ἀφειδῶς ; 0.7700024843215942	μανιώδης ; 0.6327564120292664	ἐμπαίζω ; 0.6362950801849365	ἐξιλάσκομαι ; 0.7510433197021484	τραχύτης ; 0.6369417905807495	Μάλχος ; 0.6100820899009705	ἀνάγω ; 0.6828228235244751	ἐμπαίζω ; 0.6439433693885803	οἰκτρός ; 0.6347017884254456	ὑπέρμαχος ; 0.6699756383895874	δῶμα ; 0.6172277331352234	περισσεύω ; 0.7263610363006592	βηθ ; 0.5817782878875732
0.10192457145093536	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	πρωτοστάτης	1	13	28	36	1	13	28	57	5	31	6	7	10	2	1	53	κακίζω ; 0.6837565898895264	μοιχός ; 0.6374688148498535	Μαθαναι ; 0.6418888568878174	μόδιος ; 0.6205279231071472	κίχρημι ; 0.6810990571975708	διόπερ ; 0.6049876809120178	κραταίοω ; 0.6881603002548218	ἐμμανής ; 0.6734858751296997	κλύδων ; 0.7507927417755127	Σαυα ; 0.6173349022865295	κατηχέω ; 0.7004998326301575	μαγείρισσα ; 0.6927103400230408	διακαθαίρω ; 0.6347332000732422	ὁρμή ; 0.6647042036056519	Σαφ ; 0.6773751378059387
0.1657041091349235	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	ἀνάγω	1	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	ἄγναφος ; 0.664690375328064	κατώτερος ; 0.6527181267738342	διακονέω ; 0.7026892900466919	φαλακρός ; 0.641074001789093	κλέμμα ; 0.6984169483184814	καταμήνιος ; 0.7863450050354004	νιπτήρ ; 0.7005007266998291	ἀναφορεύς ; 0.7213869094848633	Αχραθαῖος ; 0.6824604272842407	ἀκλινής ; 0.6929914951324463	Μακεδονία ; 0.6675506830215454	ἐξάγω ; 0.8273518085479736	Κώς ; 0.8385101556777954	Σελεύκεια ; 0.7645903825759888	λιθουργικός ; 0.7066704034805298
0.18201842187140027	σίναπι	ἀκάνθινος	ἄψινθος	χλωρός	τρίβολος	βοτάνη	ἄκανθα	βάτος	κάλαμος	χόρτος	τέσσαρες	δέκα	τρεῖς	ἑπτά	ἕξ	ἄψινθος	0	5	3	1	19	6	17	45	13	40	64	289	351	445	465	147	φωλεός ; 0.6850763559341431	γαλεάγρα ; 0.6943947672843933	Ἄψινθος ; 0.7075741291046143	χόρτος ; 0.7050672769546509	ἐξερημόω ; 0.6778246164321899	βῶλος ; 0.6495006680488586	κλῆμα ; 0.6862783432006836	Εβραΐς ; 0.629348635673523	στέμμα ; 0.666344940662384	χλωρός ; 0.7050672769546509	τρεῖς ; 0.7144205570220947	τεσσαράκοντα ; 0.786599338054657	τέσσαρες ; 0.7144205570220947	ἕβδομος ; 0.7077144384384155	τρεῖς ; 0.7045774459838867
0.18386757939232012	ἄπταιστος	παράπτωμα	ἁμαρτία	ῥᾳδιουργία	ῥᾳδιούργημα	ἁμαρτάνω	ἁμαρτωλός	πταίω	προαμαρτάνω	ἁμάρτημα	ταμεῖον	κοιτών	θησαυρός	νυμφών	γαζοφυλάκιον	ταμεῖον	1	2	41	714	1	1	312	226	20	2	41	4	16	110	7	30	φάντασμα ; 0.5965672731399536	ἁμαρτία ; 0.7035455703735352	μῆνις ; 0.7146619558334351	ἄσπονδος ; 0.6581981182098389	μισάνθρωπος ; 0.67864590883255	ἐγκαταλείπω ; 0.666305422782898	δίκαιος ; 0.7592529058456421	ἐκπολεμέω ; 0.6957978010177612	οὐκέτι ; 0.7043155431747437	πόνος ; 0.6756949424743652	Χαταρωθι ; 0.6179641485214233	εὐπάρεδρον ; 0.6400564312934875	Σασαβασαρ ; 0.7346774339675903	ἁδρύνω ; 0.6679360866546631	ἐκλευκαίνω ; 0.6570512056350708
