Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.1817202246404287	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ἐξεγείρω	0	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	ὑπέραρσις ; 0.6330743432044983	ἔσοπτρον ; 0.7439562082290649	μέλλω ; 0.6652393937110901	ὑπερπλεονάζω ; 0.6402646899223328	ἀπόδεκτος ; 0.6598597168922424	γίγνομαι ; 0.6486836671829224	ἁγιαστήριον ; 0.672157883644104	τρισάθλιος ; 0.6526268720626831	πρόχειρος ; 0.6302850246429443	εὐσεβῶς ; 0.6890124082565308	Φρααθων ; 0.6818504333496094	χώρα ; 0.6627782583236694	πανδοχεῖον ; 0.63762366771698	ἐρυμνός ; 0.6421691179275513	κληδονισμός ; 0.71604984998703
0.07091015261459105	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	κάλαμος	1	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	τυπικῶς ; 0.7814908027648926	ἐμπνέος ; 0.7140346765518188	ἀμνησικακία ; 0.636555552482605	καταφθείρω ; 0.6899501085281372	ἀνυπόκριτος ; 0.6205083727836609	Σόδομα ; 0.6080961227416992	ἐξαίρω ; 0.7843168377876282	Χοραζίν ; 0.6838983297348022	ὄνειδος ; 0.6021707057952881	συναθλέω ; 0.6499009132385254	κλίβανος ; 0.7348004579544067	συνεσθίω ; 0.6282696723937988	ἐγκολάπτω ; 0.633975625038147	ἐρημία ; 0.6459752917289734	χόρτος ; 0.7432882785797119
0.037348395101497234	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγελία	1	8	305	3	4	62	25	2545	22	396	2	15	1	15	274	7	ἀνάγω ; 0.6583949327468872	ἐπιβάλλω ; 0.7696743607521057	φορολογία ; 0.73099285364151	ἔλευσις ; 0.6653817892074585	ἐπίπεμπτος ; 0.6968495845794678	πραΰτης ; 0.6951808333396912	λαμβάνω ; 0.7595678567886353	αἴτιον ; 0.6174097061157227	μακροχρονίζω ; 0.7443507313728333	ἐξομολογήσις ; 0.7064059972763062	Βηθασμωθ ; 0.6429245471954346	Ἰωσῆς ; 0.6778547763824463	γαστήρ ; 0.6892460584640503	ἀπαγγέλλω ; 0.7559900879859924	τραγελάφος ; 0.6317545175552368
0.446785018862371	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	θρέμμα	1	351	289	316	445	830	465	147	48	91	1376	18	61	1	15	17	εἴκοσι ; 0.7920242547988892	δύο ; 0.7239458560943604	ἑπτακόσιοι ; 0.7164743542671204	ἕξ ; 0.7984194755554199	δέκα ; 0.7825744152069092	τρεῖς ; 0.7425035238265991	τρεῖς ; 0.7984195947647095	πέντε ; 0.7074494361877441	εἴκοσι ; 0.7081289887428284	δύο ; 0.7379180192947388	σκύμνος ; 0.7210975289344788	τροχός ; 0.6258932948112488	Σαραιας ; 0.6325522661209106	ποιμήν ; 0.7561748623847961	Ωβιλ ; 0.6421884298324585
0.07551670574301345	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	κοπή	1	4	4491	140	18	2	7	6	3	9	1487	2	27	5	317	5	λινοῦς ; 0.6666231155395508	ἀποκρίνομαι ; 0.6162078380584717	δορυφόρος ; 0.7241926193237305	Τίγρης ; 0.6313071846961975	ῥήτωρ ; 0.6648901104927063	συνοικοδομέω ; 0.6502161622047424	πολυμερής ; 0.7483126521110535	νουθεσία ; 0.6573145985603333	ὑπερκρατέω ; 0.6791344881057739	ἐντέλλομαι ; 0.7336418628692627	πέτρινος ; 0.7026578187942505	πύρπνοος ; 0.6405000686645508	Περσίς ; 0.6959483623504639	ἀποθνῄσκω ; 0.8043332695960999	κολόκυνθα ; 0.6948262453079224
0.04191021406680484	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	παραχειμασία	0	1	2	11	767	1	2	1	13	168	4	1	16	35	29	42	νοθεύω ; 0.6427284479141235	θροῦς ; 0.625146210193634	Ιοππίτης ; 0.6916714906692505	ἡμέρα ; 0.6969863176345825	σπόνδυλος ; 0.6846597194671631	Ιωαναν ; 0.661227822303772	μένω ; 0.6844661235809326	σευτλίον ; 0.6336972713470459	ἡμέρα ; 0.7447675466537476	τροπιά ; 0.6771458387374878	ἄτομος ; 0.8719806671142578	Χαρμιν ; 0.6403656005859375	δειλία ; 0.7243214845657349	βύρσα ; 0.7284694314002991	σαλεύω ; 0.6940455436706543
0.02567173338466866	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	θυμομαχέω	0	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	ἀναιτίως ; 0.7568432092666626	Τύριος ; 0.7106424570083618	λύω ; 0.6737423539161682	ἐγκαθίημι ; 0.7334392070770264	θυμός ; 0.8842480182647705	ἐγκαταλείπω ; 0.7605665326118469	ὑπερηφανεύομαι ; 0.6149656772613525	ἰσχίον ; 0.6455702185630798	ἐκδίκησις ; 0.6507842540740967	ὀργή ; 0.8842480778694153	πάσχα ; 0.6188580989837646	Ελιαωνιας ; 0.633819043636322	σμῆγμα ; 0.613552451133728	δάνειον ; 0.6715408563613892	χόρτασμα ; 0.6944015026092529
0.05855721498529415	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	κοπή	0	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	ἀποθνῄσκω ; 0.7712243795394897	Περσίς ; 0.6959483623504639	ἅμα ; 0.6837310194969177	πύρπνοος ; 0.6405000686645508	λιθοβολέω ; 0.6493096351623535	προσάγω ; 0.7648230791091919	κολόκυνθα ; 0.6948262453079224	πέτρινος ; 0.7026578187942505	ὀργίζω ; 0.6714209318161011	ἀποθνῄσκω ; 0.8043332695960999	ἔμπνους ; 0.6281813383102417	φύσις ; 0.6422080397605896	Βηθσεεδτα ; 0.6926757097244263	ἀπελπίζω ; 0.6802026033401489	πανοῦργος ; 0.6775071620941162
0.14317766618328798	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	πρωτοστάτης	1	13	28	36	1	13	28	57	5	31	6	7	10	2	1	53	οὐδαμοῦ ; 0.6195987462997437	δύνομαι ; 0.6435049772262573	φρυάζω ; 0.6688216924667358	μόδιος ; 0.6567614674568176	ἀποκομίζω ; 0.6435282230377197	συγκλύζω ; 0.6493118405342102	σύγκριμα ; 0.6415684819221497	οὕτως ; 0.6172834634780884	πέλαγος ; 0.6697002053260803	ταρταρόω ; 0.6267666816711426	ξενιτεία ; 0.6612938046455383	Ἐδνά ; 0.6408097743988037	κυβέρνησις ; 0.6393638253211975	ψεκάς ; 0.6513400077819824	πρωτοβαθρέω ; 0.73219233751297
0.23372451791220034	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	ἀνάγω	1	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	ἀνάθημα ; 0.6478210687637329	μέρος ; 0.6269612312316895	δύνω ; 0.7262831330299377	κατασφάζω ; 0.6586007475852966	ξυράομαι ; 0.6454476714134216	καταμήνιος ; 0.8092569708824158	κῆπος ; 0.775077223777771	θυσιαστήριον ; 0.7006585001945496	ἀκλινής ; 0.6816180348396301	πορφύρα ; 0.6980950832366943	ἐπισάττω ; 0.6488115191459656	ἐξάγω ; 0.7944086194038391	Σαμοθρᾴκη ; 0.7690781354904175	Σαμοθρᾴκη ; 0.8235198259353638	μουσικός ; 0.6424340605735779
