Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.024453322830083613	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ζῳογονέω	0	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	Πρωρεύς ; 0.5078655481338501	Ασεδωθ ; 0.4078845679759979	παιδότρωτος ; 0.4540477395057678	Ἀργύννις ; 0.4522235691547394	ἀηθέσσω ; 0.47916921973228455	ἑωθινός ; 0.43173009157180786	ἔγγιστος ; 0.4756414294242859	Πριήνη ; 0.4525476098060608	Ἐλπήνωρ ; 0.47191518545150757	περιστρατοπεδεύομαι ; 0.5414353609085083	Ἀχαιίς ; 0.4620620012283325	πρώτως ; 0.3963761627674103	ἀπαρτία ; 0.4614272117614746	ἐγγύθεν ; 0.5249881148338318	̓ἀθηναῖος ; 0.44332048296928406
0.005408820988870411	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	κάλαμος	1	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	τυπικῶς ; 0.8502806425094604	ἐλάσσων ; 0.46458131074905396	ἀλληλούϊα ; 0.46271076798439026	ὁμιλία ; 0.4370981752872467	δέκτωρ ; 0.42557352781295776	λῦμα ; 0.4410347640514374	παραστατέω ; 0.46755820512771606	Ἴνησσα ; 0.42782536149024963	ἀντιπαραβάλλω ; 0.42603206634521484	πρόσχυσις ; 0.7336176633834839	προφητεία ; 0.43372321128845215	Ἄψινθος ; 0.6201870441436768	φάρμακος ; 0.4646959900856018	ἐπίγρυπος ; 0.454527348279953	ἀλέξημα ; 0.41730737686157227
-0.01938683116439277	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	δόμα	0	8	305	3	4	62	25	2545	22	396	2	15	1	15	274	7	ὑπεκπροφεύγω ; 0.5165098309516907	ἐκτείνω ; 0.5432342290878296	Ἄγκυρα ; 0.4956453740596771	κολλάω ; 0.47054553031921387	Αβιρα ; 0.48347505927085876	βασιλικῶς ; 0.4349687099456787	πληθύνω ; 0.4975038170814514	ὑπαρχή ; 0.5039706230163574	ἐπιβάλλω ; 0.47933894395828247	ἔτί ; 0.461861789226532	ἀναφέρω ; 0.4481618404388428	καλέω ; 0.45455068349838257	βουνός ; 0.46107935905456543	δηλόω ; 0.5258691906929016	κατέχω ; 0.4642524719238281
0.20335445534225952	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	θρέμμα	1	351	289	316	445	830	465	147	48	91	1376	18	61	1	15	17	εἴκοσι ; 0.6129588484764099	ἡμεροσκόπος ; 0.49077746272087097	ταγός ; 0.4773896336555481	προλέγω2 ; 0.520025372505188	ἕξ ; 0.5096566677093506	τρεῖς ; 0.47848623991012573	δύο ; 0.5096566677093506	ἄρκτος ; 0.4715452194213867	πέντε ; 0.44575878977775574	Ἰάνασσα ; 0.41147381067276	μέλισσα ; 0.4289260506629944	ἐπιβάτης ; 0.4803713858127594	ἐξηλιάζω ; 0.4362872242927551	προσκήνιον ; 0.4720233976840973	κατακυλίω ; 0.4254826009273529
0.007266206818193011	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	κοπή	1	4	4491	140	18	2	7	6	3	9	1487	2	27	5	317	5	ἀπογυμνάζω ; 0.45278939604759216	εἶπον ; 0.5147678852081299	ἔκπαγλος ; 0.46487957239151	συγγνώμη ; 0.4304804503917694	ἀμενηνός ; 0.49519670009613037	διαπορέω ; 0.46080875396728516	εὐκλεής ; 0.44604581594467163	ἀνακῶς ; 0.47834891080856323	τοξόδαμνος ; 0.47232693433761597	ἐντέλλομαι ; 0.5323132872581482	μεταίρω ; 0.401167631149292	μετοχή ; 0.3984055817127228	Γαι ; 0.5144088268280029	συμβαίνω ; 0.45291751623153687	Χανανι ; 0.4268948435783386
0.02087785162848399	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	σείω	1	1	2	11	767	1	2	1	13	168	4	1	16	35	29	42	ἐπαφρίζω ; 0.5908794403076172	ἐξοπλησία ; 0.457277774810791	περικαίω ; 0.4426109790802002	χιλίας ; 0.5301908850669861	Δημήτριος ; 0.4242924153804779	ἑδράζω ; 0.43248188495635986	ἀπροσδοκήτως ; 0.4195844531059265	Σαμμαυς ; 0.4511069655418396	Θῶν ; 0.4004603624343872	διαπνέω ; 0.46993374824523926	ἄτομος ; 0.5081878900527954	Ἀσπληδών ; 0.4541926383972168	προκηραίνω ; 0.4694173336029053	ὄψομαι ; 0.4560178518295288	ἀκασκαῖος ; 0.47764331102371216
0.03802825721284653	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	χολάω	0	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	καταλαμβάνω ; 0.3999912440776825	Βλάστος ; 0.5627712607383728	οἴωνισμα ; 0.44613319635391235	ἀναλογίζομαι ; 0.461811900138855	ἐξάπινα ; 0.4327008128166199	πιστῶς ; 0.42623189091682434	Ραψακης ; 0.4312286078929901	κακίζω ; 0.4693072438240051	Παναχαιοί ; 0.41561293601989746	δεξαμενή ; 0.4569856524467468	ἐπίπνοια ; 0.48200154304504395	σύν-παραπλέω ; 0.48166823387145996	οἰκετεία ; 0.6728183031082153	φορολογέω ; 0.5042802691459656	πορνοκόπος ; 0.4685153365135193
0.08478685436401745	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	θορυβάζω	1	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	ἐκκρεμάννυμι ; 0.4655180871486664	Γαι ; 0.5144088268280029	̔Ιερώνυμος ; 0.4592593312263489	μετοχή ; 0.3984055817127228	διαλλάσσω ; 0.4731081426143646	θραυσμός ; 0.4170929193496704	Χανανι ; 0.4268948435783386	μεταίρω ; 0.401167631149292	πρόσοψις ; 0.4187401831150055	συμβαίνω ; 0.45291751623153687	λήκυθος ; 0.4235656261444092	Σκύμνος ; 0.4358907639980316	πολλάκις ; 0.44155433773994446	φρεναπατάω ; 0.4612005650997162	κολωνία ; 0.5172222852706909
0.07461404909378905	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	ἐξοχή	1	13	28	36	1	13	28	57	5	31	6	7	10	2	1	53	ἀμπελόεις ; 0.44284874200820923	περιηγητής ; 0.44420456886291504	κατακάλυμμα ; 0.42791253328323364	θεε ; 0.4390149414539337	Εὐθύκριτος ; 0.4429047703742981	Τριόπιον ; 0.46582311391830444	Ἀλήσιον ; 0.52393639087677	καθήκω ; 0.4328901767730713	καταδαπανάομαι ; 0.4127533733844757	παναληθής ; 0.4479086399078369	ποιητέος ; 0.46691951155662537	Ιεφθαε ; 0.4779563546180725	μυχοίτατος ; 0.4974900186061859	ἀκροατήριον ; 0.7015416026115417	Σαυχαῖος ; 0.4303435981273651
0.05376959535850806	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	κειρία	0	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	πρωίθεν ; 0.421250581741333	Αδασαι ; 0.4323556423187256	λούω ; 0.4225906729698181	Γαζμωθ ; 0.4164637625217438	ξανθίζω ; 0.4777856469154358	καταμήνιος ; 0.5014383792877197	νιπτήρ ; 0.49563199281692505	τροφεία ; 0.43435439467430115	Χαρκαμυς ; 0.48083072900772095	σισύμβρινος ; 0.4250033497810364	ὄψομαι ; 0.47424620389938354	ἐξάγω ; 0.6230374574661255	Κώς ; 0.6382114887237549	ἑκουσιάζομαι ; 0.4675883650779724	ιακανα ; 0.45008233189582825
