Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.0075765595526793295	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ἐξεγείρω	0	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	Μασσηφα ; 0.4267411530017853	συννοέω ; 0.47931694984436035	ὅλως ; 0.5150761604309082	Λουκᾶς ; 0.44992536306381226	ἀηθέσσω ; 0.4604768753051758	Ζεφυρίη ; 0.47052261233329773	στραγγαλόομαι ; 0.45311176776885986	τηρέω ; 0.4680292308330536	ἱππόδαμος ; 0.4619307518005371	κεραυνός ; 0.44416093826293945	καταμετρέω ; 0.44020599126815796	νεόσμηκτος ; 0.4100833535194397	Ασιδαῖος ; 0.4750211238861084	Χαλαχ ; 0.46295303106307983	αὐλίζω ; 0.4830428957939148
0.011420978585154562	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	συναπόλλυμαι	0	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	τυπικῶς ; 0.7630972266197205	ὅτι2 ; 0.43578994274139404	ἐενώπιον ; 0.44744575023651123	ἀδικέω ; 0.46810784935951233	ἐνσχολάζω ; 0.504365861415863	σαίνω ; 0.45156341791152954	ἐξαίρω ; 0.5608720183372498	ἐξολεθρεύω ; 0.4559476375579834	ἀντιπαραβάλλω ; 0.46375536918640137	πρόσχυσις ; 0.5503926873207092	σύλλογος ; 0.46439027786254883	ἀπεκδύομαι ; 0.4726153016090393	περιπτύσσω ; 0.46829357743263245	Αἴσιμος ; 0.4658592939376831	ἐπιχορηγέω ; 0.43820464611053467
0.030719356131679254	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγελία	1	8	305	3	4	62	25	2545	22	396	2	15	1	15	274	7	ἄγω ; 0.443112313747406	ἐπιβάλλω ; 0.5269632339477539	Μεσουλαμ ; 0.42398542165756226	Ἐνάρεες ; 0.44707605242729187	κατακτείνω ; 0.40594619512557983	καλλός ; 0.4134262800216675	τίθημι ; 0.528856098651886	Κρίσπος ; 0.40188926458358765	ἐκτείνω ; 0.47820812463760376	συνακμάζω ; 0.47874724864959717	Ἰσκαριώτης ; 0.4734594225883484	Ἄγκυρα ; 0.4402065873146057	Εὔτρησις ; 0.44230860471725464	ἀναμιμνήσκω ; 0.44417208433151245	εὐπορία ; 0.4305519461631775
0.2677777135546415	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	ἀγέλη	1	351	289	316	445	830	465	147	48	91	1376	18	61	1	15	17	εἴκοσι ; 0.6265615820884705	δύο ; 0.5144245028495789	ὀκτώ ; 0.5285210609436035	δύο ; 0.5890263915061951	τρεῖς ; 0.5890263915061951	δύο ; 0.48155349493026733	ἑκατόν ; 0.4900112748146057	πέντε ; 0.4705445170402527	πέντε ; 0.5285210609436035	εἷς ; 0.46412086486816406	λέων ; 0.4841405153274536	ἀπόλοιπος ; 0.458660751581192	κοίμημα ; 0.4704461991786957	συστρατεύομαι ; 0.4494149386882782	καταγινώσκω ; 0.40625879168510437
0.03153249235278177	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	φθέγγομαι	0	4	4491	140	18	2	7	6	3	9	1487	2	27	5	317	5	διαρροθέω ; 0.46716850996017456	εἶπον ; 0.528477132320404	προάστιον ; 0.43635571002960205	παύω ; 0.46161016821861267	ἀκροατής ; 0.41424739360809326	θέατρον ; 0.48974621295928955	περιπροχέομαι ; 0.4214628040790558	ὑποδαμνάω ; 0.4391712546348572	κερατίνη ; 0.459516704082489	ἐντέλλομαι ; 0.4864678382873535	ἀκρωτηριάζω ; 0.46852606534957886	βοῦς ; 0.4321269094944	ἀπολείπω ; 0.410642147064209	θανατόω ; 0.4762476682662964	λοιδόρησις ; 0.47435617446899414
0.02430692056470818	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	ἐκτινάσσω	1	1	2	11	767	1	2	1	13	168	4	1	16	35	29	42	αἰτίωμα ; 0.4314810633659363	ὀψώνιον ; 0.43165820837020874	ἔκδηλος ; 0.45020413398742676	μήν ; 0.5150106549263	Ἄρατος ; 0.43652820587158203	Ελιασιβ ; 0.4648132920265198	αἴλουρος ; 0.43176403641700745	μυλικός ; 0.41628411412239075	ἡμέρα ; 0.469582200050354	περιαπτω ; 0.4314213991165161	ἄτομος ; 0.5759454369544983	ἄτομος ; 0.43360912799835205	εὐπηγής ; 0.49232327938079834	προσφορέω ; 0.495269238948822	μελετέω ; 0.41571667790412903
0.08192250519882793	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	βρῶμα	1	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	νοστέω ; 0.43785563111305237	Μασση ; 0.511468768119812	πταίρω ; 0.4299982190132141	μισθωτός ; 0.4590047001838684	ἐκδίκησις ; 0.4588070809841156	γεγωνέω ; 0.41390901803970337	ἀνεξέλεγκτος ; 0.47663164138793945	Σωφαχ ; 0.4564160704612732	κουφίζω ; 0.42454421520233154	ἔμπνευσις ; 0.4598787724971771	πυρπνόος ; 0.4502057731151581	μήνυτρον ; 0.4686118960380554	οἰκετεία ; 0.5963780283927917	νυμφίος ; 0.49569016695022583	βρώσιμος ; 0.4654529392719269
0.08396782378289919	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	μεριμνάω	1	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	ἀποκτείνω ; 0.4762476682662964	ἀπολείπω ; 0.410642147064209	θανάσιμος ; 0.4452795386314392	βοῦς ; 0.4321269094944	ἀλλογνοέω ; 0.48987966775894165	ἀναφέρω ; 0.504812479019165	λοιδόρησις ; 0.47435617446899414	ἀκρωτηριάζω ; 0.46852606534957886	ἀντιπαρέρχομαι ; 0.5171172618865967	θανατόω ; 0.4762476682662964	Φοινίκης ; 0.5313518643379211	ἔμβολον ; 0.49491482973098755	ἐξοδοιπορέω ; 0.4662717282772064	ἀνακρίνω ; 0.416588693857193	δηϊόω ; 0.47968047857284546
0.034798311505555124	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	ἐξοχή	1	13	28	36	1	13	28	57	5	31	6	7	10	2	1	53	Φόλουιος ; 0.4528796374797821	Ἀρίων ; 0.42144858837127686	Ἀνδραιμονίδης ; 0.41565439105033875	νήυτμος ; 0.5311155319213867	κίχρημι ; 0.44080209732055664	μῶνυξ ; 0.4397693872451782	κώδιον ; 0.41046079993247986	παραλλαγή ; 0.4419725239276886	ξενιτεία ; 0.4294719398021698	ὀφθαλμός ; 0.44992050528526306	ὀθόνη ; 0.40615004301071167	Πύθων ; 0.4515671730041504	παρευθύνω ; 0.453207790851593	ὁρκάνη ; 0.5279711484909058	πρεσβύτερος ; 0.48589009046554565
0.10216181500180338	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	καταπέτασμα	0	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	βλητέος ; 0.5154420137405396	ἅπτω ; 0.4900473952293396	κινυρός ; 0.4400249421596527	ἀργύριον ; 0.43996500968933105	κράς ; 0.48304060101509094	καταμήνιος ; 0.5612978935241699	Εὐθύκριτος ; 0.4628700613975525	ἐξέδρα ; 0.4767080247402191	κιβαριάτης ; 0.43599793314933777	σχιστός ; 0.4682406783103943	Φούριος ; 0.46866297721862793	ἐξάγω ; 0.5756357908248901	Σαμοθρᾴκη ; 0.601536750793457	Κεραμικός ; 0.4957536458969116	διαμιλλάομαι ; 0.4755265712738037
