Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.019885442936952713	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ἐξανάστασις	0	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	Ασφανεζ ; 0.6340972185134888	οἶκος ; 0.6461735367774963	πάσχω ; 0.703667402267456	ἐθισμός ; 0.665704607963562	ἐγκεντρίζω ; 0.6975476145744324	ἱστορία ; 0.6773105263710022	ἀπέκδυσις ; 0.6653596758842468	Ηρ ; 0.6216942667961121	ἐξαρτίζω ; 0.6883463859558105	Πόπλιος ; 0.6857006549835205	ἐρεοῦς ; 0.6519222855567932	Κλεοπάτρα ; 0.5970125198364258	σπήλαιον ; 0.666266143321991	διαδέω ; 0.6596620082855225	Νασουε ; 0.6107558608055115
-0.020055695767627002	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	φθορά	0	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	οἰμώζω ; 0.6784640550613403	διαφθείρω ; 0.9606925845146179	Γαερ ; 0.634925127029419	ἴχνος ; 0.6736562252044678	Σαλωμών ; 0.6658027172088623	πεδινός ; 0.8014206886291504	θέατρον ; 0.6154443025588989	χρονίσκος ; 0.6376667022705078	πειρατεύω ; 0.6484202742576599	δεσμός ; 0.6101000905036926	Βατνε ; 0.6225054860115051	Φεισών ; 0.6050379276275635	Ζουκαν ; 0.6516746282577515	ἀνυψόω ; 0.7302838563919067	φλέγω ; 0.6441900730133057
-0.025446745200793486	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	δωρέομαι	0	8	305	3	4	62	25	2545	22	396	2	15	1	15	274	7	πρωτοκαθεδρία ; 0.6983381509780884	συμπορεύομαι ; 0.7757546305656433	Σιμων ; 0.7712159752845764	Βαραββᾶς ; 0.6228076219558716	κατεναντίον ; 0.6780460476875305	κληροδοσία ; 0.6854375004768372	Λυσίμαχος ; 0.643264651298523	ἐπινίκιος ; 0.6533836126327515	ἀνανεόω ; 0.6400041580200195	Ελισαι ; 0.6266754865646362	σωφροσύνη ; 0.6924809217453003	συμβόσκω ; 0.6522631645202637	ἀτείχιστος ; 0.6595045924186707	ἐκγεννάω ; 0.6341427564620972	ἱερουργία ; 0.6113556027412415
0.018373863559351	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	ζῷον	1	351	289	316	445	830	465	147	48	91	1376	18	61	1	15	17	αὐξάνω ; 0.652410626411438	Γεδσων ; 0.6514139771461487	Αβελμαουλα ; 0.6863434314727783	Μαας ; 0.6914085149765015	ἀναλημπτήρ ; 0.6230010986328125	Θαμναθασαχαρα ; 0.6384884119033813	πάλιν ; 0.7088677883148193	ἀδελφός ; 0.6798388957977295	Μιχαιας ; 0.7070627808570862	ἔσθω ; 0.731587290763855	Σέργιος ; 0.6290706992149353	ὀρθρίζω ; 0.6398409008979797	κονύζα ; 0.6641397476196289	Σελνα ; 0.6012746095657349	Ιαζηρ ; 0.6708564758300781
0.02497250219191438	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	προσαγωγή	0	4	4491	140	18	2	7	6	3	9	1487	2	27	5	317	5	συνάψις ; 0.6266775727272034	μεθωεσιμ ; 0.6388516426086426	φρύγιον ; 0.6170440912246704	μετασχηματίζω ; 0.6261183023452759	Θεδμορ ; 0.6671792268753052	ἐντρύφημα ; 0.6386548280715942	σχολάζω ; 0.6695948839187622	φθέγμα ; 0.6510644555091858	φάρμακον ; 0.9076613783836365	Κιραδας ; 0.6574627161026001	τελεσφόρος ; 0.6858208179473877	Χεβρωνι ; 0.606035053730011	κόπτω ; 0.737055778503418	Κύπριοι ; 0.6618531942367554	λιθοβόλον ; 0.7342720627784729
-0.05215641463079601	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	τρόμος	1	1	2	11	767	1	2	1	13	168	4	1	16	35	29	42	Ιαμνεία ; 0.6916708946228027	Γάδ ; 0.6565688848495483	Ελιφαλεθ ; 0.6637489795684814	ὀγδοήκοντα ; 0.6598778367042542	Ἰκόνιον ; 0.7060700058937073	βραδυπλοέω ; 0.6228044033050537	ἔνι ; 0.6105201244354248	οἴαξ ; 0.6447405219078064	καρπίζομαι ; 0.7789907455444336	Αρισωθ ; 0.709541380405426	καδημιμ ; 0.6551316976547241	ὁδοιπορία ; 0.631332516670227	Βηθσαϊδάν ; 0.7085393071174622	γύμνωσις ; 0.6283506155014038	θρέμμα ; 0.6131645441055298
-0.04771468550649094	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	θυμόομαι	0	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	πεζικός ; 0.6505370140075684	ἀποσταλάσσω ; 0.6394520998001099	Ἰδούηλος ; 0.6787381172180176	εἰδότες ; 0.7070577144622803	ἀντιτίθημι ; 0.685205340385437	Ἰνδός ; 0.6963376998901367	καταπτήσσω ; 0.6157323122024536	ἐφίπταμαι ; 0.6200345754623413	κακόω ; 0.7319939136505127	ἐκδίκησις ; 0.661984920501709	πολύπλοκος ; 0.5904757976531982	κέρκωψ ; 0.7282052636146545	ὑποτάσσω ; 0.6257820129394531	λατόμητος ; 0.6185867786407471	κύμινον ; 0.6473119258880615
0.014394793168557407	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	καταπονέω	1	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	Αβεδδαρα ; 0.6358333826065063	κόπτω ; 0.737055778503418	ἐμπορεύομαι ; 0.6364752054214478	Χεβρωνι ; 0.606035053730011	βαρακηνιμ ; 0.6476730704307556	διηχέω ; 0.6713118553161621	λιθοβόλον ; 0.7342720627784729	τελεσφόρος ; 0.6858208179473877	ἐξαγγέλλω ; 0.5832397937774658	Κύπριοι ; 0.6618531942367554	πλησίον ; 0.643146276473999	παντοφαγία ; 0.6477923393249512	Ἁγγαῖος ; 0.675853967666626	Αλαωθ ; 0.699444591999054	Νινευήτης ; 0.6534278988838196
-0.008908284438746916	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	λάθρᾳ	0	13	28	36	1	13	28	57	5	31	6	7	10	2	1	53	ἁγίασμα ; 0.6231419444084167	ἀναξίως ; 0.6574463248252869	Ἀδωναί ; 0.6284769773483276	Βαιθανωθ ; 0.6209181547164917	ἐκτίκτω ; 0.6541788578033447	Ηθιρ ; 0.6177912950515747	μεῖραξ ; 0.746880054473877	Βαζαν ; 0.6140028238296509	καί ; 0.7119499444961548	δρεπανηφόρος ; 0.6326658725738525	ὀργίλως ; 0.6367860436439514	Μιναῖοι ; 0.7181403636932373	Ιωναθαν ; 0.6284127831459045	καταβιόω ; 0.6151883602142334	συλλυπέομαι ; 0.6764827966690063
-0.01568049223080281	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	ἐπίβλημα	0	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	Ελιανα ; 0.6244861483573914	παραναλίσκω ; 0.6245240569114685	ἔγκοιλος ; 0.6877053380012512	Χοβωρ ; 0.6078313589096069	Δωκ ; 0.6236960887908936	κλοποφορέω ; 0.6895021796226501	ἐξολέθρευσις ; 0.6153205037117004	σῴζω ; 0.6833272576332092	διακαίω ; 0.6232248544692993	δικτυωτός ; 0.6710650324821472	τραχηλάω ; 0.6885296106338501	Θεκουε ; 0.6256365180015564	Αιθαλιμ ; 0.6736680269241333	χοθωνωθ ; 0.621690034866333	ἐγκρίνω ; 0.7116426825523376
