Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.022656829510920073	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ἐξανάστασις	0	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	Λίβανος ; 0.6796936988830566	ἀναγώγως ; 0.6329381465911865	πάσχω ; 0.703667402267456	ἐθισμός ; 0.665704607963562	Λααδ ; 0.6262776851654053	ἱστορία ; 0.6773105263710022	ἀπέκδυσις ; 0.6653596758842468	Ηρ ; 0.6216942667961121	οὐραγέω ; 0.7162502408027649	Πόπλιος ; 0.6857006549835205	ἐρεοῦς ; 0.6519222855567932	κθN ; 0.6667636036872864	σκοπιά ; 0.634522557258606	διαδέω ; 0.6596620082855225	Νασουε ; 0.6107558608055115
0.0008957862788960824	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	ὀλοθρεύω	0	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	οἰμώζω ; 0.6784640550613403	διαφθείρω ; 0.8615552186965942	Γαερ ; 0.634925127029419	ἐνόρκως ; 0.6566873788833618	Σαλωμών ; 0.6658027172088623	πεδινός ; 0.8014206886291504	ἀπόλλυμι ; 0.630859375	ἐρωδιός ; 0.6497418880462646	πειρατεύω ; 0.6484202742576599	οἶκος ; 0.6516257524490356	Βατνε ; 0.6225054860115051	Φεισών ; 0.6050379276275635	Ζουκαν ; 0.6516746282577515	ἀνυψόω ; 0.7302838563919067	φλέγω ; 0.6441900730133057
-0.041571959593036834	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	δωρέομαι	0	8	305	3	4	62	25	2545	22	396	2	15	1	15	274	7	πρωτοκαθεδρία ; 0.6983381509780884	Αμμανείτης ; 0.648864209651947	Σιμων ; 0.7712159752845764	συγγένεια ; 0.6334855556488037	κατεναντίον ; 0.6780460476875305	κληροδοσία ; 0.6854375004768372	κατάσχεσις ; 0.6336748003959656	ἐπινίκιος ; 0.6533836126327515	ὑπόσχεσις ; 0.6042851209640503	Ελισαι ; 0.6266754865646362	σωφροσύνη ; 0.6924809217453003	συμβόσκω ; 0.6522631645202637	ἀτείχιστος ; 0.6595045924186707	ὀλεθρεύω ; 0.6441896557807922	ἱερουργία ; 0.6113556027412415
0.044285301167403146	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	λύκος	1	351	289	316	445	830	465	147	48	91	1376	18	61	1	15	17	λαπιστής ; 0.712689995765686	Ιαχιραν ; 0.721815824508667	Μαρησα ; 0.6379363536834717	κατοικεσία ; 0.7060815095901489	μαρυκάομαι ; 0.6231049299240112	Ελιφαλεθ ; 0.5969288945198059	ἐπανακαινίζω ; 0.6803587675094604	μέλι ; 0.6208840012550354	νάρδος ; 0.6628106832504272	Ιαρμωθ ; 0.6530539989471436	Σέργιος ; 0.6290706992149353	ὑπερεκπερισσοῦ ; 0.6242654323577881	κονύζα ; 0.6641397476196289	Χανααν ; 0.6107569932937622	ὥριμος ; 0.6458386778831482
0.029874277896628	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	προσαγωγή	0	4	4491	140	18	2	7	6	3	9	1487	2	27	5	317	5	συνάψις ; 0.6266775727272034	ὅς ; 0.8087806701660156	φρύγιον ; 0.6170440912246704	Βαιθσαμυς ; 0.6431564092636108	Θεδμορ ; 0.6671792268753052	ἐντρύφημα ; 0.6386548280715942	σχολάζω ; 0.6695948839187622	φθέγμα ; 0.6510644555091858	φάρμακον ; 0.8120974898338318	Ὀζίας ; 0.6453802585601807	τελεσφόρος ; 0.6858208179473877	Χεβρωνι ; 0.606035053730011	νοσφίζομαι ; 0.6569793224334717	φρεναπάτης ; 0.6997008919715881	λιθοβόλον ; 0.7342720627784729
-0.026659929227413115	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	παραχειμασία	0	1	2	11	767	1	2	1	13	168	4	1	16	35	29	42	Ιαμνεία ; 0.6916708946228027	Γάδ ; 0.6565688848495483	Ελιφαλεθ ; 0.6637489795684814	διαδιδράσκω ; 0.8007910251617432	Ἰκόνιον ; 0.7060700058937073	βραδυπλοέω ; 0.6228044033050537	ἔνι ; 0.6105201244354248	οἴαξ ; 0.6447405219078064	Θαμνι ; 0.7068773508071899	Αρισωθ ; 0.709541380405426	καδημιμ ; 0.6551316976547241	ὁδοιπορία ; 0.631332516670227	Βηθσαϊδάν ; 0.7085393071174622	γύμνωσις ; 0.6283506155014038	θρέμμα ; 0.6131645441055298
0.0004413260521392015	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	προσοχθίζω	0	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	πεζικός ; 0.6505370140075684	μακράν ; 0.7023789286613464	Ἰδούηλος ; 0.6787381172180176	εἰδότες ; 0.7070577144622803	Ταναχι ; 0.6709054708480835	χιλίαρχος ; 0.6449756622314453	κατελλείπω ; 0.5940356850624084	ἐφίπταμαι ; 0.6200345754623413	Ἁλικαρνασσός ; 0.6276967525482178	ἐκδίκησις ; 0.8012112975120544	πολύπλοκος ; 0.5904757976531982	κέρκωψ ; 0.7282052636146545	ὑποτάσσω ; 0.6257820129394531	ἐκλείπω ; 0.6286081671714783	κύμινον ; 0.6473119258880615
0.008121385750085697	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	καταπονέω	1	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	Αβεδδαρα ; 0.6358333826065063	νοσφίζομαι ; 0.6569793224334717	ἐμπορεύομαι ; 0.6364752054214478	Χεβρωνι ; 0.606035053730011	φονεύω ; 0.6696586608886719	διηχέω ; 0.6713118553161621	λιθοβόλον ; 0.7342720627784729	τελεσφόρος ; 0.6858208179473877	ἐξαγγέλλω ; 0.5832397937774658	φρεναπάτης ; 0.6997008919715881	Σαφανια ; 0.6388169527053833	παντοφαγία ; 0.6477923393249512	Ἁγγαῖος ; 0.675853967666626	Αλαωθ ; 0.699444591999054	Νινευήτης ; 0.6534278988838196
-0.012937301022629133	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	λάθρᾳ	0	13	28	36	1	13	28	57	5	31	6	7	10	2	1	53	ἁγίασμα ; 0.6231419444084167	ἀναξίως ; 0.6574463248252869	Ἀδωναί ; 0.6284769773483276	προσάγω ; 0.6685583591461182	ἐκτίκτω ; 0.6541788578033447	ἀνάπαυσις ; 0.6221098899841309	μεῖραξ ; 0.746880054473877	Βαζαν ; 0.6140028238296509	οἰκτείρω ; 0.882925271987915	δρεπανηφόρος ; 0.6326658725738525	ὀργίλως ; 0.6367860436439514	Μιναῖοι ; 0.7181403636932373	Ιωναθαν ; 0.6284127831459045	καταβιόω ; 0.6151883602142334	συλλυπέομαι ; 0.6764827966690063
-0.021153312934303226	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	ῥάκος	0	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	Ελιανα ; 0.6244861483573914	παραναλίσκω ; 0.6245240569114685	ἔγκοιλος ; 0.6877053380012512	Χοβωρ ; 0.6078313589096069	Δωκ ; 0.6236960887908936	κλοποφορέω ; 0.6895021796226501	ἐξολέθρευσις ; 0.6153205037117004	σῴζω ; 0.6833272576332092	ὁδηγέω ; 0.6634020209312439	δικτυωτός ; 0.6710650324821472	τραχηλάω ; 0.6885296106338501	Ἀπολλωνία ; 0.6250095963478088	Αιθαλιμ ; 0.6736680269241333	χοθωνωθ ; 0.621690034866333	ἐγκρίνω ; 0.7116426825523376
