Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
-0.0008797486250954889	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ζῳογονέω	0	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	ἔχω ; 0.3142372965812683	χάρυβδις ; 0.3058108687400818	διευτυχέω ; 0.2728141248226166	κόσμιον ; 0.32178711891174316	τρίγληνος ; 0.31652289628982544	ἀρεταλογία ; 0.28780341148376465	ἀκροατήριον ; 0.3102312684059143	Εὐκλείδης ; 0.3200983703136444	κυδιάνειρα ; 0.3658648729324341	μελίκρητον ; 0.2856815457344055	ὀρθοδίκας ; 0.26815658807754517	ἱμάτιον ; 0.3041137754917145	ἕρπω ; 0.2703854441642761	προλέγω2 ; 0.31285518407821655	προσπίλναμαι ; 0.300030916929245
-0.0037721356592285704	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	κάλαμος	1	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	τυπικῶς ; 0.919110119342804	φυσάω ; 0.3077518939971924	κυκλεύω ; 0.29029110074043274	ἐπιγηθέω ; 0.2855271100997925	Ῥαάβ ; 0.5034826993942261	παραίτησις ; 0.30869728326797485	ἀρχέτυπος ; 0.27324622869491577	ἀτρίακτος ; 0.338627427816391	ἐξερημόω ; 0.26441991329193115	πρόσχυσις ; 0.8149410486221313	προλήνιον ; 0.2826758623123169	Ἄψινθος ; 0.6195269227027893	πορφυροῦς ; 0.3213741183280945	διστάζω ; 0.29359012842178345	γεωργία ; 0.2851254343986511
0.0017204404236423887	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἐπιτίθημι	0	8	305	3	4	62	25	2545	22	396	2	15	1	15	274	7	Δυμαῖος ; 0.2819255590438843	συμπορεύομαι ; 0.33129647374153137	περιζώννυμι ; 0.3112179934978485	καταπολεμέω ; 0.28304415941238403	καταυδάω ; 0.3102676272392273	παραδοτέος ; 0.2692185938358307	ἐπακολουθέω ; 0.33423036336898804	κάλλυνθρον ; 0.3111182749271393	κατιόω ; 0.30033570528030396	ἀμβολιεργός ; 0.3375847339630127	ἀνάγνωσις ; 0.2766883373260498	φώκαια ; 0.2878536581993103	διαδοχή ; 0.2904728949069977	ἐκλύω ; 0.3056992292404175	νεόκτιστος ; 0.28523609042167664
0.06223936267675548	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	δέκα	0	351	289	316	445	830	465	147	48	91	1376	18	61	1	15	17	ὀγδοήκοντα ; 0.2807732820510864	ὁρμάω ; 0.3679324686527252	ἐκ-ἀναπείθω ; 0.2644804120063782	Βερνίκη ; 0.30391260981559753	καίνυμαι ; 0.2792890965938568	Γηρσομ ; 0.3049890995025635	πάλιν ; 0.31876158714294434	Κεφαλληνία ; 0.29083651304244995	ζόη ; 0.26581674814224243	Αχζιφ ; 0.3149793744087219	καταπορνεύω ; 0.2926320433616638	δίμοιρος ; 0.30281445384025574	Εὐθὑφρων, ; 0.28417283296585083	ἀμφότεροι ; 0.28538334369659424	Αἶγυς ; 0.2981792092323303
-0.026819613415124344	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	ἀναφωνέω	0	4	4491	140	18	2	7	6	3	9	1487	2	27	5	317	5	Ἀσταρτεῖον ; 0.3067372441291809	λέγω2 ; 0.3179965615272522	εἶπον ; 0.3172372877597809	χρηστῶς ; 0.29227572679519653	συνετός ; 0.30967211723327637	πτηνόν ; 0.30151286721229553	Μήδοι ; 0.298675537109375	ἱκτήρ ; 0.28825628757476807	Ναιμάν ; 0.2656286954879761	κατασκέπτομαι ; 0.31679320335388184	δυσώνυμος ; 0.32474738359451294	πιστόομαι ; 0.3496018946170807	ὀπός ; 0.29191553592681885	αὐαίνω ; 0.2742137908935547	διεσθίω ; 0.27683907747268677
-0.02796135986931686	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	τριετία	0	1	2	11	767	1	2	1	13	168	4	1	16	35	29	42	ἐπαφρίζω ; 0.6312959790229797	Πόρκιος ; 0.4010828137397766	ἐφηβάω ; 0.29707610607147217	γέννας ; 0.33314332365989685	τρώκτης ; 0.2791839838027954	τιτανομαχία ; 0.3291412591934204	θορύβος ; 0.3356814980506897	νυκτηγορέω ; 0.2852436304092407	ἀναβλέπω ; 0.3853019177913666	Ἀρσινόη ; 0.2973565459251404	πόα ; 0.2892228364944458	πισσηρός ; 0.2794966697692871	προίωξις ; 0.29474735260009766	θρύψις ; 0.2831641435623169	Ἐλευσῖνι ; 0.29372426867485046
-0.00021078751103903448	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	βρῶμα	1	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	ἀμείλιχος ; 0.2757379710674286	Βλάστος ; 0.4197121262550354	Γάϊος ; 0.3074435591697693	Ἀρχέστρατος ; 0.30771952867507935	υἱός ; 0.2820451855659485	ἐπιτήδευμα ; 0.40927010774612427	ὑπεξούσιος ; 0.37828028202056885	κατωτέρω ; 0.40477538108825684	σπιλάς ; 0.3237103819847107	μακροθυμέω ; 0.3304964601993561	Πυριφλεγέθων ; 0.2696721851825714	φλεγμονή ; 0.3263786733150482	οἰκετεία ; 0.6035186052322388	αἴθρη ; 0.30385345220565796	οἰκοδομέω ; 0.3028928339481354
0.04034701550450667	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	θορυβάζω	1	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	δώς ; 0.26663243770599365	ὀπός ; 0.29191553592681885	αἰώρα ; 0.2872597575187683	πιστόομαι ; 0.3496018946170807	Γαύριον ; 0.3218398094177246	ἀρνός ; 0.3332465887069702	διεσθίω ; 0.27683907747268677	δυσώνυμος ; 0.32474738359451294	κλάριος ; 0.3123215436935425	αὐαίνω ; 0.2742137908935547	Γεδσωνι ; 0.3416426181793213	ἐπεισόδιος ; 0.2875520586967468	ἀσφαλής ; 0.3048940896987915	προερέω ; 0.2764836549758911	Αἰγυπτιακός ; 0.26335829496383667
0.07471718414567377	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	ὑπεροχή	1	13	28	36	1	13	28	57	5	31	6	7	10	2	1	53	Ἅλιος ; 0.28457605838775635	Σεϊραμ ; 0.30967897176742554	ψυχαστής ; 0.31588882207870483	μόδιος ; 0.3951958417892456	γυναικογήρυτος ; 0.28965362906455994	μετεωρισμός ; 0.2909414768218994	ἀποκάλυμμα ; 0.288612961769104	πτήσσω ; 0.3037387430667877	βολβός ; 0.2822321355342865	πολυμερῶς ; 0.3175507187843323	Τρωγλοδύται ; 0.28705182671546936	φιλοπονία ; 0.27098020911216736	πτύσσω ; 0.3119308650493622	ἀκροατήριον ; 0.6473292112350464	διαθροέω ; 0.27711471915245056
0.029376208177287477	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	καταπέτασμα	0	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	ἄγναφος ; 0.5557131767272949	Ἄλκηστις ; 0.42053836584091187	ἀνάπνευστος ; 0.3356865644454956	κατάνυξις ; 0.2986029088497162	σιμικίνθιον ; 0.4575425386428833	καταμήνιος ; 0.3168761134147644	νιπτήρ ; 0.6199394464492798	ἐμβολάς ; 0.3029375672340393	ὑπερεντυγχάνω ; 0.3538075089454651	τρίχωμα ; 0.2773853540420532	ἐξέρχομαι ; 0.29782018065452576	ἀθροίζω ; 0.30418577790260315	Σαμοθρᾴκη ; 0.6520711183547974	Μαχανια ; 0.36440509557724	Σαλμώνη ; 0.37602800130844116
