Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.028319141871237907	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ζάω	0	11	2	48	2	699	73	4	3	2	6	46	158	37	3	73	Περκώσιος ; 0.551669180393219	ὁλοσχερής ; 0.5653674602508545	παρά,ἀνά-ὀχλέω ; 0.5263391733169556	ἀσιτία ; 0.5468382835388184	προθαλής ; 0.563956618309021	συστρέφω ; 0.6095190048217773	φαεινός ; 0.5818675756454468	Κούρητες ; 0.5448201894760132	Σκῶλος ; 0.517702043056488	κατασποδέω ; 0.5503005981445312	περισπάω ; 0.5376044511795044	τόλμη ; 0.5067034959793091	ἀθέλεος ; 0.5555223226547241	λακπάτητος ; 0.5588464736938477	αὐλίζω ; 0.5366393327713013
0.0715061479243756	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	συναπόλλυμαι	0	1	20	5	29	1	28	221	468	140	1	45	1	3	40	19	τυπικῶς ; 0.7576108574867249	περιτρέφομαι ; 0.55274498462677	Λουδ ; 0.5305736064910889	νέμω ; 0.540888786315918	ἐνσχολάζω ; 0.5149557590484619	Μύδων ; 0.5293771624565125	βλάπτω ; 0.5879255533218384	Κάριος ; 0.5726014375686646	ἀδίκως ; 0.5421310663223267	πρόσχυσις ; 0.645934522151947	πετρῶδες ; 0.5359296798706055	διαστράπτω ; 0.6010411977767944	δυνάστευμα ; 0.5868798494338989	ἄντην ; 0.5292131304740906	ἐξείλκω ; 0.631502628326416
0.04940374597309366	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	δόμα	0	8	305	3	4	62	25	2545	22	396	2	15	1	15	274	7	ἐνεργάζομαι ; 0.5398805141448975	ἐξυπτιάζω ; 0.5901089310646057	περιΐημι ; 0.5391836166381836	πόθος ; 0.5167068243026733	διαστολή ; 0.518886923789978	ἐσθλός ; 0.5687192678451538	ἀποδίδωμι ; 0.6690198183059692	ἐπίπεδος ; 0.5198113918304443	προσκλίνω ; 0.5791574716567993	βουφονέω ; 0.506250262260437	ψεῦδις ; 0.526451587677002	πορσύνω ; 0.5504254102706909	βουλή ; 0.5298306941986084	Δολοπίη ; 0.5477282404899597	Ὀθρυονεύς ; 0.6013365983963013
0.10324280578294615	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	δέκα	0	351	289	316	445	830	465	147	48	91	1376	18	61	1	15	17	Κλῶθες ; 0.5433645248413086	Ζαβουλων ; 0.6342898607254028	πόθεν ; 0.5442219972610474	ἐπισκευάζομαι ; 0.5567589998245239	Ηλωνμαωνενιμ ; 0.5522623062133789	θηγάνω ; 0.5365853309631348	ἕβδομος ; 0.5520714521408081	συναφίστημι ; 0.522266149520874	Ιωαδ ; 0.5245354771614075	ἐπακρόασις ; 0.561954915523529	λέων ; 0.6260136365890503	βῖκος ; 0.5240188241004944	ἀρτιγέννητος ; 0.5408427119255066	ἔλαφος ; 0.5287220478057861	ἐνιαύω ; 0.5342718958854675
0.03693833123518259	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	σφαγή	1	4	4491	140	18	2	7	6	3	9	1487	2	27	5	317	5	λιτανεία ; 0.5669739246368408	ἀλιπαρής ; 0.5294941663742065	ἱστορέω ; 0.594512403011322	οἴνη ; 0.5394269227981567	κατασοφίζω ; 0.5818980932235718	ἔγκλισις ; 0.4939556121826172	θεόκτιστος ; 0.5224466323852539	προγίγνομαι ; 0.5451199412345886	συντηρέω ; 0.5734976530075073	ἐπί-τροπεύω ; 0.5779932737350464	αἰτίωμα ; 0.5388618111610413	Ὠαρίων ; 0.5499595403671265	συνανάκειμαι ; 0.5114370584487915	ἀπαραπόδιστος ; 0.6560016870498657	ὑστεραῖος ; 0.5078074932098389
0.05795655457085125	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	ἐκτινάσσω	1	1	2	11	767	1	2	1	13	168	4	1	16	35	29	42	δυό ; 0.5185175538063049	ἀκρόαμα ; 0.6253867149353027	ἀνατέλλω ; 0.5842747688293457	Νεκωδα ; 0.6106249094009399	Παυσίστρατος ; 0.5948033332824707	Ποστόμιος ; 0.5762695670127869	κοσμοποιΐα ; 0.5433810353279114	καταίρω ; 0.5422749519348145	αὐτοφυής ; 0.5299896001815796	μέγας ; 0.5506658554077148	γήρυμα ; 0.5464382171630859	μύρμηξ ; 0.6394284963607788	ποτητός ; 0.5026556253433228	παύσις ; 0.6052563190460205	σαλεύω ; 0.5776914358139038
0.04989085518480274	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	ὀργίλος	0	9	1	1	23	339	60	5	1	8	351	5	7	1	4	92	βουκόλος ; 0.5121359825134277	Θελμελεθ ; 0.654130220413208	διαφαύσκω ; 0.5795762538909912	ἀποτελέω ; 0.5785251259803772	περίνεως ; 0.6097551584243774	ματαιόω ; 0.5557945966720581	ἐκσαρκίζω ; 0.5753655433654785	συνεκτρόφος ; 0.5449268817901611	ὀργίλως ; 0.5460845232009888	σωρός ; 0.5472487211227417	ἐνεσία ; 0.5495439171791077	Πευκεί ; 0.5573394894599915	Μαρωδαχβαλαδαν ; 0.585659384727478	πάχετος ; 0.5659818649291992	πωλέω ; 0.6012610197067261
0.08779811820845024	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	ἀνασκευάζω	1	171	5	12	27	112	94	5	2	10	317	1	4	10	28	1	ἀναπίμπλημι ; 0.5018224716186523	συνανάκειμαι ; 0.5114370584487915	δυσκλεής ; 0.5120152235031128	Ὠαρίων ; 0.5499595403671265	διασκορπίζω ; 0.527137279510498	ἕψω ; 0.6038292646408081	ὑστεραῖος ; 0.5078074932098389	αἰτίωμα ; 0.5388618111610413	καταπάσσω ; 0.5974292755126953	ἀπαραπόδιστος ; 0.6560016870498657	περισπάομαι ; 0.6042019128799438	προκαταγγέλλω ; 0.5120659470558167	πειρατής ; 0.5453143119812012	ξυλοκοπέω ; 0.5060074329376221	ἐναλείφω ; 0.5193709135055542
0.07635425546399593	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	λάθρᾳ	0	13	28	36	1	13	28	57	5	31	6	7	10	2	1	53	νύξ ; 0.5719658732414246	πολύ ; 0.4875776767730713	νιφόεις ; 0.505135178565979	μόδιος ; 0.5936489105224609	ἐπιβάτης ; 0.5717641115188599	μόλιβος ; 0.591377854347229	χάρμη ; 0.5696305632591248	ἀπολακτισμός ; 0.5292534828186035	ἀθανασία ; 0.5072416067123413	γέννα ; 0.5294986367225647	συσκίος ; 0.5152286291122437	Ἀρίσταρχος ; 0.54472416639328	Ζαχαρίας ; 0.5190863013267517	ἐλεφάντων ; 0.5813943147659302	σπεκουλάτωρ ; 0.5564929246902466
0.15654466698833125	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	ἀνάγω	1	5	2	8	10	4	5	2	44	2	22	3	136	2	4	2	βλητέος ; 0.5295433402061462	σύν-λέγω3 ; 0.5399484038352966	ψιλόω ; 0.5309499502182007	Ἀζωτία ; 0.5986460447311401	τιάρα ; 0.5675685405731201	καταμήνιος ; 0.5264606475830078	ὀσφρασία ; 0.5823730230331421	ἐσώτερος ; 0.6133750081062317	ἀντερείδω ; 0.526708722114563	θώραξ ; 0.5348319411277771	πλέω ; 0.6115391254425049	Σελμων ; 0.5399238467216492	Σαμοθρᾴκη ; 0.7419040203094482	μετασσεύομαι ; 0.5882502794265747	μίμησις ; 0.56291663646698
