Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.00904308334050452	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	κατοικία	1	11	2	48	2	694	73	4	3	2	6	46	156	36	3	72	ἀρχισωματοφύλαξ ; 0.274793416261673	νυχθήμερον ; 0.34913378953933716	ληρώδης ; 0.30092793703079224	συγκαθυφαίνω ; 0.47046932578086853	ἐγώ ; 0.3179628252983093	συντριβή ; 0.2838253378868103	Φερεζαίος ; 0.34939664602279663	ὁπλοθήκη ; 0.3772355318069458	ἀνωτερικός ; 0.3617914915084839	ἐλέφαντα ; 0.3285061717033386	πραγματεύω ; 0.3309747278690338	κατοικέω ; 0.2739483714103699	ταλαίπορος ; 0.3164483904838562	ἀΐδιος ; 0.43279343843460083	κατοικέω ; 0.315227746963501
0.051991936349257584	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	κάλαμος	1	1	20	5	29	1	27	218	465	135	1	45	1	3	40	19	ἔξοικος ; 0.4918062686920166	Ασηρωθ ; 0.3330453038215637	εὐτελῶς ; 0.3942777216434479	Φουαϊ ; 0.27846431732177734	Ῥαάβ ; 0.5837552547454834	χῶμα ; 0.298313170671463	ἐξαίρω ; 0.4731777608394623	κατάβρωμα ; 0.28203797340393066	σκέπης ; 0.2641822099685669	πρόσχυσις ; 0.9505921602249146	ἐγκρίς ; 0.32376179099082947	Ἄψινθος ; 0.8644429445266724	πορφυροῦς ; 0.5108560919761658	ὄξος ; 0.2970605492591858	βοτάνη ; 0.31675440073013306
-0.00975132962010844	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγέλλω	1	8	304	3	4	62	25	2526	22	392	2	15	1	15	269	7	μέγιστος ; 0.3863745927810669	ἐπιστοιβάζω ; 0.41428783535957336	μασομελ ; 0.36133623123168945	ἐκκινέω ; 0.39083337783813477	φερνή ; 0.29966914653778076	ἐπεισφέρω ; 0.30249929428100586	εἰμί ; 0.5499162673950195	διαγιγνώσκω ; 0.34804511070251465	δίδωμι ; 0.33031919598579407	ἱλαρός ; 0.5473479628562927	Μιχα ; 0.27879762649536133	φάντασμα ; 0.4808659553527832	δεκαοκτώ ; 0.2894766330718994	εἶπον ; 0.4126001298427582	ἀποδοχεῖον ; 0.3161661624908447
0.20864067463296035	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	θρέμμα	1	350	287	316	444	814	462	143	48	91	1366	18	61	1	15	17	εἴκοσι ; 0.4405383765697479	δύο ; 0.32212167978286743	ἑκατόν ; 0.36479756236076355	ἕξ ; 0.40259426832199097	δώδεκα ; 0.3629886507987976	δώδεκα ; 0.3574163317680359	τρεῖς ; 0.40259426832199097	ὀκτώ ; 0.31163132190704346	πέντε ; 0.3570416569709778	οὗτος ; 0.3167375922203064	καταπετάζω ; 0.3149494528770447	ὑάλινος ; 0.3084982633590698	Μερρα ; 0.36257606744766235	ἐξιππάζομαι ; 0.36618030071258545	σιώπησις ; 0.3498622179031372
0.011614963312212956	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	κοπή	1	4	4471	138	18	2	7	6	3	9	1480	2	26	5	309	5	σπανίζω ; 0.34807154536247253	εἶπον ; 0.6457456350326538	ἀποκρίνομαι ; 0.2800441384315491	ἀπόρρητος ; 0.31674352288246155	χαριτόομαι ; 0.43838950991630554	κατευφημέω ; 0.3395351767539978	ψαλτῳδέω ; 0.5077380537986755	ἀποκαταλλάσσω ; 0.43007993698120117	ἑτερόγλωσσος ; 0.4025821089744568	εἶπον ; 0.44917696714401245	κρεμάννυμι ; 0.4171217083930969	ἄσμενος ; 0.300895631313324	Ελιανα ; 0.3795260190963745	θανατόω ; 0.3438256084918976	ἐπεκχέω ; 0.47228047251701355
-0.021000228920656616	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	ἐκτινάσσω	1	1	2	11	765	1	2	1	13	167	4	1	16	35	29	42	συνευωχέομαι ; 0.46824589371681213	Πόρκιος ; 0.4835893511772156	ἔαρ ; 0.5340405702590942	ἡμέρα ; 0.5154424905776978	ἀνεύθετος ; 0.9003511667251587	κατωτέρω ; 0.5075951218605042	αὐτοσχεδίως ; 0.3789614737033844	ἐπίκειμαι ; 0.3388899564743042	μήν ; 0.34693819284439087	Νικόπολις ; 0.5602219104766846	ἄτομος ; 0.9879884719848633	προσόζω ; 0.2829669415950775	παῦλα ; 0.31654638051986694	μισθόω ; 0.2863118052482605	συσσείω ; 0.3155670762062073
0.032112735146615834	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	βρῶμα	1	9	1	1	23	339	60	5	1	8	351	5	7	1	4	87	στυγνάζω ; 0.28276512026786804	Βλάστος ; 0.5984187722206116	βαρυκάρδιος ; 0.41135936975479126	ἀλισγέω ; 0.34628382325172424	ὀργίζω ; 0.29309943318367004	ἐξολεθρεύω ; 0.30163002014160156	ἐπανιστάνω ; 0.4653979241847992	κατωτέρω ; 0.4965555965900421	Ελβων ; 0.3868139982223511	μαγειρεύω ; 0.30363544821739197	συνήλικος ; 0.4019496738910675	ἀγριόω ; 0.49058887362480164	οἰκετεία ; 0.694636344909668	συμβούλιον ; 0.3811291456222534	βεθ ; 0.2551727294921875
0.09868237965898863	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	διαχειρίζομαι	0	169	5	11	26	110	94	5	2	10	309	1	4	10	28	1	ἀποθνῄσκω ; 0.3673273026943207	Ελιανα ; 0.3795260190963745	ἑλληνικός ; 0.37544095516204834	ἄσμενος ; 0.300895631313324	ἐπιφέρω ; 0.2841924726963043	προσάγω ; 0.3118368089199066	ἐπεκχέω ; 0.47228047251701355	κρεμάννυμι ; 0.4171217083930969	ὕψωσις ; 0.3539986312389374	θανατόω ; 0.3438256084918976	ἐπειδήπερ ; 0.5950825810432434	μόναρχος ; 0.5135367512702942	συμπεριλαμβάνω ; 0.3503696322441101	ἐντήκω ; 0.32523787021636963	ὕπαρ ; 0.3977949023246765
0.10569419633926494	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	ἐξοχή	1	13	28	34	1	13	28	57	5	31	6	7	10	2	1	52	βαθέως ; 0.2945144474506378	Κώς ; 0.28911292552948	κρυφαῖος ; 0.3695056140422821	μόδιος ; 0.6395642757415771	καδημιμ ; 0.2953565716743469	ἀρχιτρίκλινος ; 0.2849974036216736	νόημα ; 0.27613675594329834	βδελυρός ; 0.37243765592575073	καταβιβάζω ; 0.3324007987976074	κρυπτός ; 0.3695056140422821	Ὑρκανός ; 0.49331554770469666	κανθός ; 0.32866567373275757	ἀρχιερατεύω ; 0.3625987768173218	ἀκροατήριον ; 0.7257891297340393	καθιζάνω ; 0.3206442892551422
0.1505249574323158	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	ἀνάγω	1	5	2	8	10	4	5	2	44	2	21	3	136	2	4	2	ἄγναφος ; 0.6459586024284363	ταλαντιαῖος ; 0.42054519057273865	ἐντυλίσσω ; 0.41382694244384766	λαξευτός ; 0.4630533456802368	σιμικίνθιον ; 0.5140680074691772	καταμήνιος ; 0.6198865175247192	διαζώννυμι ; 0.5631956458091736	προσραίνω ; 0.36878591775894165	περιδέω ; 0.7767093181610107	γωνιαῖος ; 0.34580039978027344	διανύω ; 0.4521407186985016	ἐξάγω ; 0.5098456740379333	Κώς ; 0.8865189552307129	Σελεύκεια ; 0.5014954209327698	Σαλμώνη ; 0.6607140898704529
