Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.1921660539303463	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ἐξεγείρω	0	11	2	48	2	694	73	4	3	2	6	46	156	36	3	72	συζάω ; 0.6930547952651978	παράπτωμα ; 0.6129597425460815	Γαλιλαῖος ; 0.707910418510437	σύμμορφος ; 0.6462945938110352	μιμνῄσκω ; 0.6585803031921387	ἐπιβλέπω ; 0.6659291386604309	φυλακή ; 0.690343976020813	θεσμός ; 0.655584990978241	οὐδέποτε ; 0.6852613687515259	φυτόν ; 0.8016330003738403	οἰκέω ; 0.8476707935333252	ἐνοικέω ; 0.8476707935333252	περισπόριον ; 0.6608527898788452	ὑπόδικος ; 0.6473981738090515	κατορύσσω ; 0.7571786642074585
0.15977477786100314	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	συναπόλλυμαι	0	1	20	5	29	1	27	218	465	135	1	45	1	3	40	19	ἔξοικος ; 0.6838811635971069	ἀφθαρσία ; 0.6170288324356079	χρηματίζω ; 0.6509138941764832	ἦθος ; 0.6573922634124756	Ῥαάβ ; 0.6614159941673279	ἀπώλεια ; 0.7538478970527649	ἐξαίρω ; 0.8245605230331421	καταλείπω ; 0.7812792062759399	ὄλεθρος ; 0.7538478970527649	παραπλησίως ; 0.7562565207481384	δρυμός ; 0.7482370138168335	ἀνελπίστως ; 0.7890379428863525	κρεμάζω ; 0.7631988525390625	δασύς ; 0.6730784773826599	χόρτος ; 0.842945396900177
0.10476440684585747	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγέλλω	1	8	304	3	4	62	25	2526	22	392	2	15	1	15	269	7	διαμένω ; 0.6664777398109436	ἐκτείνω ; 0.7723854184150696	διαπράσσω ; 0.7189247608184814	εἰκότως ; 0.7311668395996094	δῶρον ; 0.7109948992729187	κατανοήσις ; 0.642212986946106	τίθημι ; 0.783405065536499	ῥέδη ; 0.6052410006523132	ἐξαποστέλλω ; 0.6947870850563049	δύσχρηστος ; 0.7719177007675171	διαλογίζομαι ; 0.630029559135437	Μαθθαῖος ; 0.669274091720581	Ιορδάνης ; 0.7294764518737793	ἀπαγγέλλω ; 0.7575582265853882	ἀνεξέλεγκτος ; 0.6792763471603394
0.49061312729339024	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	θρέμμα	1	350	287	316	444	814	462	143	48	91	1366	18	61	1	15	17	τριάκοντα ; 0.8615609407424927	τρεῖς ; 0.7716804146766663	χίλιοι ; 0.8307466506958008	δέκα ; 0.8288984298706055	δέκα ; 0.8168111443519592	ἕξ ; 0.7709882259368896	δέκα ; 0.8104515075683594	πέντε ; 0.677044153213501	ἑκατόν ; 0.8384724855422974	δύο ; 0.8127212524414062	Μυρσινών ; 0.742684543132782	θηρίον ; 0.6672183871269226	πίνω ; 0.7176908254623413	Ἀράβια ; 0.709231972694397	κυλισμός ; 0.6568737626075745
0.12297233793693013	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	κοπή	1	4	4471	138	18	2	7	6	3	9	1480	2	26	5	309	5	μονόομαι ; 0.6937419176101685	ἐρωτάω ; 0.6537755727767944	ἄσιτος ; 0.6916744709014893	ἄλαλος ; 0.6561561822891235	ῥήτωρ ; 0.6609962582588196	μεγαλωστί ; 0.7077698111534119	περίοδος ; 0.6541839838027954	ἀποκαταλλάσσω ; 0.7934918999671936	ψευδοπροφητής ; 0.702645480632782	ἀκούω ; 0.7554550170898438	ἀκάνθινος ; 0.7315804958343506	στίλβωσις ; 0.6471095085144043	ἐκκοπάω ; 0.6870046854019165	ἀναιρέω ; 0.7793071269989014	ἐμπίμπρημι ; 0.720261812210083
0.1121906203460733	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	ἐκτινάσσω	1	1	2	11	765	1	2	1	13	167	4	1	16	35	29	42	πρόδρομος ; 0.6681029796600342	πρόσκλισις ; 0.7393462657928467	καρποφόρος ; 0.699222981929779	ἡμέρα ; 0.6901333332061768	λιμήν ; 0.6619592905044556	ξυλοφόρος ; 0.7641593217849731	διαγίνομαι ; 0.6415423154830933	πυρράζω ; 0.684744656085968	ἡμέρα ; 0.7072023153305054	ἀπελεγμός ; 0.7402617335319519	ἄτομος ; 0.9597528576850891	ἔξωτέρος ; 0.6517766714096069	ἀτιμία ; 0.6953736543655396	λάπτω ; 0.6431812644004822	ὑπεράνω ; 0.7401443719863892
0.05941738414216513	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	θυμομαχέω	0	9	1	1	23	339	60	5	1	8	351	5	7	1	4	87	Νικόδημος ; 0.6461636424064636	Τύριος ; 0.8268887996673584	κοινόω ; 0.6585537195205688	ἔπισος ; 0.7074479460716248	θυμός ; 0.9348384141921997	παραζηλόω ; 0.7386927604675293	συναυλίζω ; 0.7165033221244812	μάγος ; 0.7412959337234497	καταγαίος ; 0.654962420463562	ὀργή ; 0.9348384141921997	περιστέλλω ; 0.6486753821372986	Χελβων ; 0.731834352016449	Ἕσπερος ; 0.6810634136199951	ῥαββί ; 0.6446249485015869	ἄρτος ; 0.7201875448226929
0.08273259599039162	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	κοπή	0	169	5	11	26	110	94	5	2	10	309	1	4	10	28	1	ἀποθνῄσκω ; 0.757057785987854	ἐκκοπάω ; 0.6870046854019165	ἑλληνικός ; 0.7313812375068665	στίλβωσις ; 0.6471095085144043	ἀποκτείνω ; 0.7793071269989014	ἐξιλάσκομαι ; 0.776828408241272	ἐμπίμπρημι ; 0.720261812210083	ἀκάνθινος ; 0.7315804958343506	διαρπάζω ; 0.7651843428611755	ἀναιρέω ; 0.7793071269989014	ἄγαμος ; 0.6919971704483032	ῥᾳδιουργία ; 0.6122736930847168	Σαβιν ; 0.6835584044456482	διαλογίζομαι ; 0.7713265419006348	ὑπώπιον ; 0.7253661155700684
0.20696126665544679	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	μεγιστάν	1	13	28	34	1	13	28	57	5	31	6	7	10	2	1	52	παράπτωσις ; 0.6802160739898682	διάβημα ; 0.721429705619812	μυστήριον ; 0.7026604413986206	ἔχρα ; 0.7397828698158264	Τρύφαινα ; 0.5806706547737122	ἐπεκλύω ; 0.7020696401596069	σύγκριμα ; 0.7030279040336609	εὐήκοος ; 0.629080593585968	ἄβυσσος ; 0.7129177451133728	ἀνυπερθέτως ; 0.5882134437561035	γνησίως ; 0.7138990163803101	κολλυρίζω ; 0.6837863922119141	ὑποχείριος ; 0.6703742146492004	ἐλεφάντων ; 0.736555814743042	Βύβλιοι ; 0.6643304824829102
0.31869574413573704	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	ἀνάγω	1	5	2	8	10	4	5	2	44	2	21	3	136	2	4	2	ἄγναφος ; 0.7760396003723145	καταχαλκόω ; 0.643709123134613	λέντιον ; 0.7279413342475891	ὀθόνιον ; 0.6433011889457703	σιμικίνθιον ; 0.8175700306892395	καταμήνιος ; 0.7500146627426147	ὀθόνιον ; 0.7279412746429443	θυσιαστήριον ; 0.7481865286827087	ἀποδειροτομέω ; 0.7522546052932739	λευκαίνω ; 0.7420983910560608	ἀποτάσσομαι ; 0.8250777125358582	ἐξάγω ; 0.7920742034912109	Κώς ; 0.8375886678695679	Παμφυλία ; 0.7319164872169495	Σαλμώνη ; 0.8429661393165588
