Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.07865576564700932	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ζῳοποιέω	0	11	2	48	2	694	73	4	3	2	6	46	156	36	3	72	δωρεάν ; 0.4812355935573578	τερσαίνω ; 0.430112361907959	πιστεύω ; 0.41760408878326416	ἐπενδίδωμι ; 0.49686744809150696	Δηρουσιαῖος ; 0.41508030891418457	ὡραιότης ; 0.43541219830513	πάτημα ; 0.45564717054367065	τετρήρης ; 0.4189119338989258	Χάρμος ; 0.47749337553977966	Σαυη ; 0.45934155583381653	γλωσσώδης ; 0.5261770486831665	κατοικέω ; 0.5068020224571228	Νεστορίδης ; 0.4667614996433258	ἄναντα ; 0.40678077936172485	προσήλυτος ; 0.46315908432006836
-0.001579750094398924	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	συναπόλλυμαι	0	1	20	5	29	1	27	218	465	135	1	45	1	3	40	19	τυπικῶς ; 0.8218848705291748	ἐλάσσων ; 0.4825075566768646	διαβεβαιόω ; 0.46826526522636414	καινοτομέω ; 0.45802879333496094	δέκτωρ ; 0.5001049041748047	ζημία ; 0.47939181327819824	ἐξαίρω ; 0.6327875852584839	ἐξολεθρεύω ; 0.47907349467277527	ἁρπαγή ; 0.46535253524780273	πρόσχυσις ; 0.8073008060455322	καταπίπτω ; 0.47583916783332825	Ἄψινθος ; 0.6764364838600159	κυνίδιον ; 0.4710213840007782	ψέλιον ; 0.4528360068798065	βοτάνη ; 0.39928698539733887
0.030542674201394115	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	δόμα	0	8	304	3	4	62	25	2526	22	392	2	15	1	15	269	7	Σαβίνος ; 0.4586777687072754	ἐπιβάλλω ; 0.5660414099693298	περιΐημι ; 0.4036279022693634	συμμαχέω ; 0.47554248571395874	προσγελάω ; 0.4630483090877533	παραθήκη ; 0.4682409167289734	φέρω ; 0.6150394678115845	ἐπικηρύσσω ; 0.5328269004821777	ἐξαποστέλλω ; 0.4985416531562805	μειρακύλλιον ; 0.4694412350654602	καλέω ; 0.47722405195236206	Κισσηΐς ; 0.4752925634384155	ἀγέλαστος ; 0.4307781457901001	ἀπαγγέλλω ; 0.597592294216156	Σινώπη ; 0.415000319480896
0.2869001338436654	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	λύκος	1	350	287	316	444	814	462	143	48	91	1366	18	61	1	15	17	πέντε ; 0.5852163434028625	δύο ; 0.5297338962554932	δέκα ; 0.5852163434028625	δύο ; 0.5891435146331787	ἑπτά ; 0.6416766047477722	δύο ; 0.6416766047477722	δύο ; 0.5360335111618042	μεσόκοιλος ; 0.5057809352874756	πέντε ; 0.47538381814956665	δέκα ; 0.48382246494293213	στάχυς ; 0.518661618232727	ἀδέψητος ; 0.41426703333854675	κακόσπλαγχνος ; 0.44331127405166626	ποιμήν ; 0.4411030113697052	Δαλαιας ; 0.4932039678096771
0.036063374707499374	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	κοπή	1	4	4471	138	18	2	7	6	3	9	1480	2	26	5	309	5	ἑλληνικός ; 0.446875661611557	εἶπον ; 0.6988086700439453	ὑπομιμνῄσκω ; 0.42693206667900085	ἱκετής ; 0.4830537438392639	ἀποκρύπτω ; 0.4523269832134247	συνεκκομίζω ; 0.4320428967475891	ἀτμός ; 0.42335599660873413	γελαστός ; 0.43047910928726196	πολυγηθής ; 0.4999160170555115	ἀποκρίνω ; 0.5028690695762634	ἀκολούθως ; 0.42683112621307373	ποίμνη ; 0.4267458915710449	συλεύω ; 0.42158135771751404	ἀποθνῄσκω ; 0.48902612924575806	ἀκρόκομος ; 0.4949769377708435
0.02530886783712122	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	τρέμω	1	1	2	11	765	1	2	1	13	167	4	1	16	35	29	42	ἐπαφρίζω ; 0.5197653770446777	ἐξοπλησία ; 0.4717073142528534	ῥιζόω ; 0.4383104145526886	ἡμέρα ; 0.6294729113578796	ὁλοσχερής ; 0.43387550115585327	ἐπισκευάζω ; 0.47690892219543457	ἀντερείδω ; 0.44295942783355713	ἐπικυλίω ; 0.45359253883361816	μήν ; 0.4609414041042328	ἐπιπλέω ; 0.43497127294540405	ἄτρεστος ; 0.5041977167129517	θαυμάζω ; 0.43738308548927307	λόφος ; 0.41855886578559875	ἐπικαταλαμβάνω ; 0.42903751134872437	σαλεύω ; 0.5058680772781372
0.04212523955812347	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	θυμομαχέω	0	9	1	1	23	339	60	5	1	8	351	5	7	1	4	87	ἐμπυριβήτης ; 0.43043988943099976	Βλάστος ; 0.4880416989326477	οἴωνισμα ; 0.44176632165908813	ἥττημα ; 0.5136574506759644	ὀργίζω ; 0.456402450799942	πιστῶς ; 0.5211948156356812	Καδμηίς ; 0.43662992119789124	κατωτέρω ; 0.48267507553100586	Οἰκλῆς ; 0.443834513425827	θυμόω ; 0.4225321114063263	δαί ; 0.4650800824165344	ἄστρον ; 0.46468237042427063	οἰκετεία ; 0.6282238960266113	ὁπότε ; 0.4995693564414978	χαλινός ; 0.4240475296974182
0.06547582978649064	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	κοπή	0	169	5	11	26	110	94	5	2	10	309	1	4	10	28	1	ἀποθνῄσκω ; 0.5404648780822754	συλεύω ; 0.42158135771751404	Σωσίπατρος ; 0.4492795467376709	ποίμνη ; 0.4267458915710449	παραδίδωμι ; 0.41436049342155457	προσάγω ; 0.49590447545051575	ἀκρόκομος ; 0.4949769377708435	ἀκολούθως ; 0.42683112621307373	προμαχέω ; 0.4705146849155426	ἀποθνῄσκω ; 0.48902612924575806	οὐδʼ ; 0.4474093019962311	ἐπαγωγός ; 0.4748896360397339	Φογωρ ; 0.4375050663948059	ὀθνεῖος ; 0.43199700117111206	κολωνία ; 0.48742541670799255
0.10246692958272008	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	ἐξοχή	1	13	28	34	1	13	28	57	5	31	6	7	10	2	1	52	τετραάρχης ; 0.4389515519142151	σκότος ; 0.47548773884773254	ῥοδόεις ; 0.43600282073020935	μόδιος ; 0.4907519817352295	δίλογος ; 0.4729244112968445	κλινάριον ; 0.4403555393218994	Ἀλήσιον ; 0.49475207924842834	φρυκτωρία ; 0.45450377464294434	κόλλοψ ; 0.44073837995529175	δίς ; 0.4841776490211487	στομόω ; 0.47318795323371887	πρέσβα ; 0.4669797420501709	ἀνακηρύσσω ; 0.44149017333984375	ἀκροατήριον ; 0.6821416020393372	σάλπιγξ ; 0.4101327955722809
0.06261542238476359	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	καταπέτασμα	0	5	2	8	10	4	5	2	44	2	21	3	136	2	4	2	ἄγναφος ; 0.5053389072418213	εἶδος ; 0.44506534934043884	περί-σκέπτομαι ; 0.41748765110969543	ἀγορασμός ; 0.4254334270954132	συνυφαίνω ; 0.45891255140304565	καταμήνιος ; 0.4809134006500244	νιπτήρ ; 0.6455345153808594	ἐξέδρα ; 0.5381616353988647	ὀξύς ; 0.48705366253852844	θύνω ; 0.4886294901371002	εἴκοσιν ; 0.48712795972824097	ἐξάγω ; 0.681908905506134	Σαμοθρᾴκη ; 0.672863781452179	ἐπιδημέω ; 0.42631804943084717	Σαλμώνη ; 0.463863730430603
