Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14
0.14468729491563398	ζῳοποιέω	ἐξανάστασις	ἀνάστασις	συζωοποιέω	ζάω	ἐξεγείρω	ἔγερσις	ζῳογονέω	ἀναζάω	συνεγείρω	ἐνοικέω	οἰκέω	κατοικία	οἰκητήριον	παροικέω	ἐξεγείρω	0	11	2	48	2	694	73	4	3	2	6	46	156	36	3	72	ἄφθαρτος ; 0.7058179378509521	νῆσος ; 0.7199415564537048	μέλλω ; 0.7388404607772827	νεόπλυτος ; 0.6630444526672363	ἐπιδήμιος ; 0.6786991357803345	ἐπιβλέπω ; 0.6831936836242676	προφύλαξ ; 0.6775486469268799	κατακολουθέω ; 0.6614089608192444	ὅταν ; 0.6849452257156372	δένδρον ; 0.666776716709137	οἰκέω ; 0.7493053078651428	κατοικέω ; 0.7877861857414246	προσηλυτεύω ; 0.7063761353492737	δίω ; 0.6247353553771973	Γεσεμ ; 0.7104383707046509
0.09141416106069744	ὀλοθρευτής	φθορά	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ἀπόλλυμι	ἀπώλεια	ὀλοθρεύω	ἄκανθα	ἄψινθος	ἀκάνθινος	κάλαμος	χλωρός	συναπόλλυμαι	0	1	20	5	29	1	27	218	465	135	1	45	1	3	40	19	ἀνάτηξις ; 0.7107263207435608	μνῆμα ; 0.6321602463722229	ἀπείργω ; 0.7355808019638062	ἀστεργής ; 0.7855793237686157	προσδίδωμι ; 0.693479061126709	ἀπώλεια ; 0.7398510575294495	ἐξαίρω ; 0.799376368522644	καταλείπω ; 0.8229851126670837	ὄλεθρος ; 0.7398509979248047	Λάμψακηνός ; 0.6966783404350281	ψάμαθος ; 0.6906542778015137	διαπλέω ; 0.7054016590118408	πορφυροῦς ; 0.6568346619606018	διχοτόμημα ; 0.7031633853912354	χόρτος ; 0.7466325163841248
0.09083450920718805	δωρέομαι	ἐπιτίθημι	ἀναδίδωμι	προδίδωμι	δόμα	δόσις	δίδωμι	ἐπιδίδωμι	παραδίδωμι	δότης	ἐξηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγελία	1	8	304	3	4	62	25	2526	22	392	2	15	1	15	269	7	χορηγέω ; 0.7264824509620667	ἐπιχέω ; 0.763626217842102	Φοινίκης ; 0.7032361030578613	ἀπαυτομολέω ; 0.6859188079833984	-λογέω ; 0.7076398134231567	ἐπακρόασις ; 0.7078436017036438	λαμβάνω ; 0.8056049942970276	κομψός ; 0.6528066992759705	μακροχρονίζω ; 0.7701559662818909	ἀνισχύω ; 0.7180560827255249	συλλαλέω ; 0.6752054691314697	ἐρωτάω ; 0.6792780160903931	τοσοῦτον ; 0.7017707228660583	ἀπαγγέλλω ; 0.7314587235450745	προσηνής ; 0.7425757050514221
0.5488783278952156	δέκα	τέσσαρες	πέντε	τρεῖς	δύο	ἑπτά	ἕξ	ἐννέα	ὀκτώ	εἷς	ἄρκος	ζῷον	θρέμμα	λύκος	ἀγέλη	θρέμμα	1	350	287	316	444	814	462	143	48	91	1366	18	61	1	15	17	ἑκατόν ; 0.8559653759002686	ἕξ ; 0.7884036302566528	δύο ; 0.8556914925575256	δέκα ; 0.8460689783096313	πέντε ; 0.8556915521621704	ἕξ ; 0.8215276002883911	δύο ; 0.8371914029121399	Ηνγαδδι ; 0.6981176137924194	ἑξήκοντα ; 0.8445438146591187	δύο ; 0.7780261039733887	λέων ; 0.7882320284843445	̓Ηρακλῆς ; 0.6779742240905762	φρύγιος ; 0.6864926815032959	εὐφωνία ; 0.7058495879173279	6 ; 0.7150430083274841
0.12001592340612349	προσλαλέω	λέγω	φημί	φθέγγομαι	ἐκλαλέω	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	ἀποφθέγγομαι	λαλέω	διαχειρίζομαι	σφαγή	κοπή	ἀποκτείνω	ἀναίρεσις	σφαγή	1	4	4471	138	18	2	7	6	3	9	1480	2	26	5	309	5	παρατριβή ; 0.6610507369041443	φημί ; 0.7337937355041504	λέγω ; 0.7337937951087952	οὖς ; 0.6945390701293945	γογγύζω ; 0.7029134631156921	Σπειώ ; 0.7202030420303345	Ἑωσφόρος ; 0.6592357158660889	συμπαρακαλέομαι ; 0.6844844818115234	βουλυτόνδε ; 0.7363438606262207	ἀκούω ; 0.74843430519104	Κλαζομένιος ; 0.6538970470428467	πρόβατον ; 0.661582350730896	ἐρρωμένος ; 0.6878341436386108	ἀναιρέω ; 0.7571350336074829	κατασφάζω ; 0.7245889902114868
0.10209834507527688	φθινοπωρινός	διετία	θέρος	ἔτος	παραχειμασία	διετής	τριετία	χειμών	ἐνιαυτός	παραχειμάζω	ῥιπή	τρέμω	τρόμος	ἐκτινάσσω	σείω	ἐκτινάσσω	1	1	2	11	765	1	2	1	13	167	4	1	16	35	29	42	ἐύρρους ; 0.6132186651229858	ἀκρόαμα ; 0.6799944639205933	χρόνος ; 0.6894775629043579	τοπαρχία ; 0.7394330501556396	κοινολογία ; 0.6476168632507324	πρῶτος ; 0.7029159069061279	περιμάχητος ; 0.7309329509735107	στενοπορία ; 0.6614375710487366	μήν ; 0.7529094219207764	Τάρας ; 0.6693621277809143	ἁλίκλυστος ; 0.7057278752326965	Γαλατικός ; 0.6980189681053162	Ἀχαιμένης ; 0.6721046566963196	φαλαγγίτης ; 0.666355311870575	ἀλαλάζω ; 0.6999018788337708
0.10056694755075735	ὀργίζομαι	θυμομαχέω	χολάω	προσοχθίζω	ὀργή	παροργίζω	ὀργίλος	θυμόομαι	παροργισμός	θυμός	πόσις	πόμα	σιτομέτριον	ψωμίον	βρῶμα	θυμομαχέω	0	9	1	1	23	339	60	5	1	8	351	5	7	1	4	87	ἔλαιον ; 0.6245118379592896	κάτοπτος ; 0.6852511167526245	ῥάκος ; 0.6398975849151611	ἐπιθυμέω ; 0.7259485721588135	θυμός ; 0.9226275682449341	ἀεργία ; 0.716378927230835	ὕπανδρος ; 0.6421043276786804	τρέμω ; 0.6742185354232788	καταρομβεύω ; 0.7010345458984375	ὀργή ; 0.9226275682449341	πόσις2 ; 0.7015377283096313	φρύγιος ; 0.678703784942627	ἑκατοστεύω ; 0.6494970321655273	κάθαρμα ; 0.7194409966468811	ἄρτος ; 0.7037787437438965
0.1249257594076284	θανατόω	κοπή	κατασφάζω	σφαγή	ἀναιρέω	σφάζω	ἀναίρεσις	διαχειρίζομαι	καταστρώννυμι	ἀποκτείνω	θορυβάζω	καταπονέω	θορυβέω	μεριμνάω	ἀνασκευάζω	κοπή	0	169	5	11	26	110	94	5	2	10	309	1	4	10	28	1	ἀποκτείνω ; 0.7529492974281311	ἐρρωμένος ; 0.6878341436386108	ἀναίρεσις ; 0.7245888710021973	πρόβατον ; 0.661582350730896	ἀποκτείνω ; 0.7571350336074829	προσάγω ; 0.7165644764900208	κατασφάζω ; 0.7245889902114868	Κλαζομένιος ; 0.6538970470428467	διαρπάζω ; 0.6838465929031372	ἀναιρέω ; 0.7571350336074829	περισπάομαι ; 0.7012590765953064	ἐπίχαρμα ; 0.6222219467163086	παρασφάλλω ; 0.6371759176254272	θρηνητής ; 0.6810553073883057	θαλασσοκρατέω ; 0.6328291296958923
0.12659715735351312	κρυφῇ	ἀπόκρυφος	κρυπτός	κρύπτη	λάθρᾳ	βαθύς	μυστήριον	ἀφανής	βάθος	κρυφαῖος	ὑπεροχή	κυρία	πρωτοστάτης	ἐξοχή	μεγιστάν	μεγιστάν	1	13	28	34	1	13	28	57	5	31	6	7	10	2	1	52	Σῦρος ; 0.7122876644134521	προτέρημα ; 0.6713361740112305	κύντερος ; 0.662013828754425	μόδιος ; 0.7220330834388733	Σαγάρτιος ; 0.6789016723632812	μεταβουλεύω ; 0.6603314876556396	σύγκριμα ; 0.6955554485321045	παλίντιτος ; 0.6610392332077026	ἀφεγγής ; 0.6649938821792603	ἀστιβής ; 0.7306653261184692	Διονύσιος ; 0.6676362752914429	ἀμοιβή ; 0.6829886436462402	Νικάνωρ ; 0.6456344723701477	Φορος ; 0.709577202796936	ἄρχων ; 0.675520658493042
0.2689921045298947	ἐπίβλημα	ὀθόνη	ὀθόνιον	σινδών	σουδάριον	ῥάκος	λέντιον	καταπέτασμα	κειρία	ἔνδυμα	ἐκπλέω	ἀνάγω	εὐθυδρομέω	ἀποπλέω	ὑποπλέω	ἀνάγω	1	5	2	8	10	4	5	2	44	2	21	3	136	2	4	2	βλητέος ; 0.6628791093826294	κάλαθος ; 0.651374340057373	ἀνώιστος ; 0.6755437850952148	παλλακή ; 0.6982026696205139	ξυράομαι ; 0.7247964143753052	περιβόλαιον ; 0.7122575044631958	ἀλουργός ; 0.7105053067207336	Φιλαίνος ; 0.706609845161438	λεκάριον ; 0.6644102334976196	τρίχαπτος ; 0.7368316054344177	καταπλέω ; 0.7909133434295654	ἐξάγω ; 0.812737762928009	Σαμοθρᾴκη ; 0.7472752332687378	καταπλέω ; 0.7995857000350952	καταπλέω ; 0.7202860116958618
