Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.030102827732740645	μακρός	χρόνος	πάντοτε	ψωμίζω	πάντοτε	0	37	192	43	25	Ινδική ; 0.4066134989261627	ἀλυπότερος ; 0.3903866708278656	ἀγάπη ; 0.44181233644485474	Οφαρ ; 0.4248364269733429
0.13554170830784978	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	ἀποκρύπτω ; 0.42483943700790405	ἀνατέλλω ; 0.44904130697250366	τροχός ; 0.4819914996623993	στρατιά ; 0.48663821816444397
-0.08180860273452084	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	31	1	118	5	Σάρδεις ; 0.457827627658844	καλοδιδάσκαλος ; 0.9231958389282227	ἄφρων ; 0.406609445810318	ἐμπυρίζω ; 0.4192841053009033
-0.07076741024507582	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκβαίνω	0	11	204	100	1	ἀπότομος ; 0.42724400758743286	ἐξέρχομαι ; 0.6276963949203491	οἰκειόω ; 0.4175703525543213	Θεκωιν ; 0.46301472187042236
0.06958791395487363	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5312	3	37	λεμά ; 0.7610893249511719	κύριος ; 0.4836280941963196	Σουδι ; 0.45408010482788086	προβασανίζω ; 0.42843884229660034
-0.017542700704885783	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5312	9	Εὐνίκη ; 0.4983212351799011	ἀντέχω ; 0.433091938495636	κύριος ; 0.4836280941963196	Εσθαμω ; 0.4549659490585327
-0.036371295306599716	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	ἐπεισέρχομαι ; 0.4127134084701538	Ασενναφαρ ; 0.45352160930633545	Ῥαάβ ; 0.5218052864074707	καψάκης ; 0.4436570405960083
0.24236395373291658	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	118	8	101	2	ἄφρων ; 0.406609445810318	κατεφίστημι ; 0.44518449902534485	παραζηλόω ; 0.4076659083366394	ἀθανασία ; 0.4503486156463623
0.16904495852338788	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	πολυπληθία ; 0.4240124821662903	ὑάλινος ; 0.438757061958313	χλωρός ; 0.44907885789871216	ἐξορμάω ; 0.47535327076911926
0.11515511235480946	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	8	2	1	ὑπερένδοξος ; 0.44783228635787964	ἀπολαύω ; 0.45552894473075867	ἀγενής ; 0.44176989793777466	πάρεσις ; 0.9478557109832764
0.25834188649007106	βάτος	χόρτος	σίναπι	χαλκηδών	βάτος	0	13	64	5	1	Μαγεδων ; 0.4171507656574249	σιτοποιός ; 0.46964162588119507	χείρων ; 0.4057546854019165	σάπφιρος ; 0.9541680216789246
0.21060634842165737	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	83	455	346	ὁμότεχνος ; 0.7942174077033997	ἐκεῖ ; 0.4281211793422699	διατήρησις ; 0.4273848235607147	εἰσάγω ; 0.522730827331543
