Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.1034792317380373	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	37	192	43	25	μακράν ; 0.5651553869247437	εὐμένεια ; 0.5949802398681641	οἰκοδομή ; 0.5333800315856934	κουρά ; 0.524969756603241
0.22760851193078774	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	σκιά ; 0.5585666298866272	στιβίζω ; 0.582612156867981	νεφέλη ; 0.5441790223121643	μεγαλωσύνη ; 0.5863462686538696
0.019557463437830214	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	Μακεδονία ; 0.5605180263519287	καλοδιδάσκαλος ; 0.8432089686393738	ῥῆσις ; 0.5935357809066772	κατακάρπωσις ; 0.5219833850860596
0.10019090600157582	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	Δεβλαθα ; 0.4788976311683655	ἐξέρχομαι ; 0.6914704442024231	ὑπεκρέω ; 0.5409668684005737	ἀγάπη ; 0.5536290407180786
-0.0771828375321425	ἐλωΐ	θεός	αββα	γονεύς	αββα	0	2	5312	3	37	ἠλί ; 0.7357660531997681	κύριος ; 0.6470956206321716	ἀποδείκνυμι ; 0.5562616586685181	καταβαρέω ; 0.5074439644813538
-0.12197799899477041	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	παντοκράτωρ	0	1	191	5312	9	ἀντερείδω ; 0.5780389904975891	ὅδε ; 0.6777353286743164	κύριος ; 0.6470956206321716	ἐξόμνυμι ; 0.5715500116348267
0.0005051287465244192	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	παιδαγωγός ; 0.5922476053237915	περιβόητος ; 0.5169087648391724	θορύβος ; 0.5180537700653076	μαναα ; 0.5405787229537964
0.15724538682165223	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	118	8	101	2	ῥῆσις ; 0.5935357809066772	Ὑμέναιος ; 0.5747845768928528	παροργίζω ; 0.5141061544418335	ἐργατεία ; 0.5643086433410645
0.15514690030694847	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	ἀνατροπή ; 0.511149525642395	αἰσχρός ; 0.5467311143875122	καύσων ; 0.5742790102958679	ἐντροπή ; 0.5163944959640503
0.0653441090540503	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	8	2	1	ἐπισκοπέω ; 0.6077932119369507	δύνομαι ; 0.5078215599060059	ἀγενής ; 0.526708722114563	πάρεσις ; 0.9216838479042053
0.3516136467119964	βάτος	χόρτος	σίναπι	χαλκηδών	χαλκηδών	1	13	64	5	1	αὐστηρία ; 0.5091245770454407	κρίνον ; 0.5543180108070374	ἀκρογωνιαῖος ; 0.5477855205535889	σαρδόνυξ ; 0.8838905096054077
0.22262245709707162	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	83	455	346	Μωυσής ; 0.5656636357307434	συνάντησις ; 0.6126630902290344	κιβωτός ; 0.5096759796142578	εἰσέρχομαι ; 0.6144778728485107
-0.17295217025391668	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	28	1	20	8	παιδαγωγός ; 0.5922476053237915	θορύβος ; 0.5180537700653076	ὀλιγόω ; 0.5630740523338318	Εφράιμ ; 0.5371767282485962
0.20347400107752717	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	ἄκυρος ; 0.5145314335823059	αὐγή ; 0.5519810914993286	ἀορασία ; 0.548065721988678	ἐξάγω ; 0.7141414880752563
