Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.09720149273463241	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	37	192	43	25	μακράν ; 0.49110570549964905	ἱστορία ; 0.5245410203933716	ἅλα ; 0.542968213558197	ἀποκαθίστημι ; 0.49760550260543823
0.1591353928201722	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	θεμελιόω ; 0.5784885883331299	ἀποδοχεῖον ; 0.5915863513946533	τροχός ; 0.6104570627212524	ἐνδοξάζομαι ; 0.5662672519683838
0.05630812565350113	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	χρεία ; 0.5398129820823669	ἐξισάζω ; 0.5796497464179993	ῥῆσις ; 0.5369598865509033	παρεμπίπτω ; 0.5321033596992493
0.03409144966827182	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκπορεύομαι	0	11	204	100	1	Αδαιας ; 0.5878793001174927	ἐξέρχομαι ; 0.6829385757446289	κομίζω ; 0.5217133164405823	ὁμότεχνος ; 0.554219126701355
-0.0029455813876149706	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5312	3	37	ἠλί ; 0.6964699029922485	κύριος ; 0.7117117047309875	παρεισδέχομαι ; 0.5486425161361694	ἀνδρωνῖτις ; 0.5930520296096802
0.04714938209335573	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5312	9	ἐλευθερόω ; 0.5667812824249268	ὅδε ; 0.6723402142524719	κύριος ; 0.7117117047309875	ζεύγλη ; 0.6080868244171143
0.07265304591359123	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	ζημία ; 0.6681168675422668	ἀκμήν ; 0.6109565496444702	θορύβος ; 0.521712064743042	ἀναβολή ; 0.5698516368865967
0.18177572221629934	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	118	8	101	2	ῥῆσις ; 0.5369598865509033	κραταίπεδος ; 0.5820573568344116	ἐλέγχω ; 0.5668705701828003	ἀκυρόω ; 0.6008405089378357
0.044892764901019344	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	ἤπειρος ; 0.5242947936058044	ἡμιώριον ; 0.6088407039642334	θεῖον ; 0.5760048627853394	ἀκοή ; 0.5338688492774963
0.045767597403863824	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	ἐπισκοπέω ; 0.6220899820327759	ιηN ; 0.5669291615486145	καρτερός ; 0.5226210355758667	πάρεσις ; 0.8956266641616821
0.3436963982319363	βάτος	χόρτος	σίναπι	χαλκηδών	χαλκηδών	1	13	64	5	1	ἄτοπος ; 0.5084044933319092	συκοφαντία ; 0.5389487743377686	εὐκέραος ; 0.5356308221817017	σαρδόνυξ ; 0.8539685606956482
0.22933676826518812	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	83	455	346	λιθουργικός ; 0.6161484718322754	συνάντησις ; 0.6104709506034851	κιβωτός ; 0.5914021134376526	πορεύομαι ; 0.5904505848884583
-0.11047101454607844	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	φθορά	0	28	1	20	8	ζημία ; 0.6681168675422668	θορύβος ; 0.521712064743042	Φαραθωνίτης ; 0.5349034070968628	Εφράιμ ; 0.5736945271492004
0.13818121158848673	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	σφάγιον ; 0.5397477149963379	πολύζηλος ; 0.5621048212051392	ζυγός ; 0.5884335041046143	ἐξάγω ; 0.6929713487625122
0.1980417678848041	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	καταδαμάω ; 0.5212255716323853	ἀστακός ; 0.6011576652526855	θερίζω ; 0.5249413847923279	κατακρημνίζω ; 0.5426043272018433
0.07104979045338344	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	211	16	1	2	θεῖον ; 0.5760048627853394	ἄφνω ; 0.597091555595398	Ιερεμιν ; 0.5419777035713196	δηϊόω ; 0.5921074151992798
0.015574644997306875	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	διάγω	0	1	7	23	4	καθιππάζομαι ; 0.5553631782531738	καταπραύνω ; 0.5413863658905029	ἀνατρέφω ; 0.5288830399513245	παράπλους ; 0.586704671382904
0.06596101584754155	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	4	9	54	11	γενέτις ; 0.5888401865959167	ἀπρονόητος ; 0.55599045753479	βριήπυος ; 0.5748224258422852	Αδαιας ; 0.5878793001174927
