Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.03258985868395284	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	37	193	43	25	φορέω ; 0.31326985359191895	παραδρομή ; 0.2479567676782608	ἐνορκίζω ; 0.2729952335357666	σαταν ; 0.2556565999984741
0.0602526653700744	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	Ἀδωναϊέ ; 0.28806567192077637	σημειόω ; 0.3022264242172241	λαμπάς ; 0.2972370982170105	στόλος ; 0.2903226613998413
-0.13070382973067549	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	παιδεία	0	31	1	121	5	ὕπνος ; 0.3051546812057495	καλοδιδάσκαλος ; 0.9238649010658264	ὁλόκληρος ; 0.2701021134853363	σκηνή ; 0.29706284403800964
0.07952078358801831	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	Ἀριστόβουλος ; 0.3162929117679596	ἐξέρχομαι ; 0.3132903575897217	Ραφων ; 0.2768602967262268	ἐξεικονίζω ; 0.3611285090446472
-0.0404045047515082	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5315	3	37	λεμά ; 0.7958981990814209	ἀνέφικτος ; 0.2803831398487091	προθεσμία ; 0.32063987851142883	Αβισου ; 0.30191510915756226
0.015450080626354668	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἀδελφότης	1	1	191	5315	9	ἀπαλλοτριόομαι ; 0.34963852167129517	Ευιν ; 0.24947893619537354	ἀνέφικτος ; 0.2803831398487091	ἀνόνητος ; 0.27972424030303955
-0.04909395550674611	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	γαμέω ; 0.34616273641586304	ἀπείθεια ; 0.30844026803970337	Ῥαάβ ; 0.567206859588623	συμπεριλαμβάνω ; 0.3006798028945923
0.09538647718933094	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	121	8	101	2	ὁλόκληρος ; 0.2701021134853363	ἐπίλυσις ; 0.2987271547317505	παραζηλόω ; 0.26741012930870056	Εσδραν ; 0.32234227657318115
0.11301354374853856	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	σπεῖρα ; 0.2924466133117676	Ιια ; 0.28365015983581543	χλωρός ; 0.35369184613227844	βαρχαβωθ ; 0.2878197431564331
0.14026708624744894	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	ἀσέβημα ; 0.3614090085029602	ἐνήδρευσαν ; 0.30388855934143066	Ελζαβαδ ; 0.3398665189743042	πάρεσις ; 0.9551073908805847
0.45019205159487863	βάτος	χόρτος	σίναπι	χαλκηδών	βάτος	0	13	64	5	1	γραφή ; 0.2861475944519043	μνημόσυνον ; 0.28342509269714355	ἀνέγκλητος ; 0.3073219358921051	σάπφιρος ; 0.9450676441192627
0.06628975510976987	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	83	455	346	ὁμότεχνος ; 0.7164465188980103	Αβιεζεκ ; 0.24205303192138672	διατήρησις ; 0.31411677598953247	πορεύομαι ; 0.3006027936935425
0.006866851815152619	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	προφῆτις	1	28	1	20	8	γαμέω ; 0.34616273641586304	Ῥαάβ ; 0.567206859588623	πολεμικός ; 0.2933814823627472	Λαφιδωθ ; 0.36866873502731323
