Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.06589338138906053	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	37	193	43	25	ταχύς ; 0.6395937204360962	χείρων ; 0.7202731966972351	εὐεργεσία ; 0.6892386674880981	πιαίνω ; 0.7213290929794312
0.4215757912661622	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	φωτισμός ; 0.6838070750236511	διατρίβω ; 0.6916192770004272	ἀστραπή ; 0.6754707098007202	ἵππος ; 0.6831164360046387
0.07947415912017797	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	121	5	ὑστέρησις ; 0.7184706926345825	καλοδιδάσκαλος ; 0.8591685891151428	ἔλεγχος ; 0.6618608236312866	ψεύδομαι ; 0.6641484498977661
0.0016942229208918302	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	Καδης ; 0.6748137474060059	ἐξέρχομαι ; 0.7438521385192871	τετραπλοῦς ; 0.6847871541976929	ἔκκλητος ; 0.6536645889282227
0.13478543352319355	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5315	3	37	λεμά ; 0.7525719404220581	κύριος ; 0.7278778553009033	συστενάζω ; 0.6231237649917603	ἀποτίκτω ; 0.7211820483207703
0.05710070916880777	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5315	9	πρόσκαιρος ; 0.6845026612281799	κύριος ; 0.8361404538154602	κύριος ; 0.7278778553009033	καταπροδίδωμι ; 0.6900326013565063
0.033737359483697826	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	Σόδομα ; 0.6080961227416992	ἀμνησικακία ; 0.636555552482605	ἀνυπόκριτος ; 0.6205083727836609	ἀδυνάω ; 0.6743168234825134
-0.0495012203626618	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	121	8	101	2	ἔλεγχος ; 0.6618608236312866	τολμηρότερον ; 0.7034991979598999	κακόω ; 0.7036383152008057	διακονία ; 0.6564515829086304
0.08774123088191499	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	Ωβιλ ; 0.6421884298324585	τροχός ; 0.6258932948112488	ἑρπετόν ; 0.7046697735786438	γαστήρ ; 0.6892460584640503
-0.10575169530397477	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	κατάκρισις ; 0.7186297178268433	ῥοῦς ; 0.662990927696228	ἐγγλύφω ; 0.6238160133361816	πάρεσις ; 0.9173609018325806
0.1546946684480312	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	βιβλαρίδιον ; 0.6310091018676758	χλωρός ; 0.7432881593704224	ψώρα ; 0.6563016772270203	σαρδόνυξ ; 0.8897098302841187
0.12610650470444712	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	346	ὑστέρησις ; 0.6925822496414185	Βερεα ; 0.6564415097236633	συσκιάζον ; 0.6302746534347534	εἰσέρχομαι ; 0.7364403009414673
-0.007420231246558107	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	συναπόλλυμαι	0	28	1	20	8	Σόδομα ; 0.6080961227416992	ἀνυπόκριτος ; 0.6205083727836609	ἐμπνέος ; 0.7140346765518188	καταστολή ; 0.635490894317627
