Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.009750819630946372	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	37	193	43	25	ἵκω ; 0.5379588603973389	ἐπιχωρέω ; 0.5836911201477051	θεοδίδακτος ; 0.6243789196014404	Ἁμώς ; 0.5909510850906372
0.0876837887399402	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	ἐφοράω ; 0.5700762271881104	παρουσία ; 0.5776699185371399	κατουρόω ; 0.5368650555610657	μάρναμαι ; 0.5773006081581116
0.13644322553350025	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	121	5	κάρφος ; 0.5564641356468201	σωφρόνισμα ; 0.5461537837982178	ῥῆσις ; 0.5956072807312012	ποιμενικός ; 0.6166660785675049
0.026333023168994718	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	Ἄλεξις ; 0.5925248861312866	ἐξέρχομαι ; 0.5871719717979431	πάϊθεν ; 0.5293158292770386	ὀρυκτός ; 0.5057967305183411
0.05362896036242493	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5315	3	37	ἐξανύω ; 0.6084004640579224	κύριος ; 0.5805380344390869	παρεισδέχομαι ; 0.5646864175796509	συμπαθής ; 0.5348345041275024
0.02834587984612441	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5315	9	μέδω ; 0.5714232921600342	Ορνα ; 0.6090742945671082	κύριος ; 0.5805380344390869	Κλυτίη ; 0.5706285238265991
-0.12336576144598849	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	Λοξίας ; 0.5917475819587708	Σαρπηεδόνιος ; 0.5806892514228821	Σάρδεις ; 0.5268661975860596	διαμαρτυρέω ; 0.6223613619804382
0.1858478179287218	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	121	8	101	2	ῥῆσις ; 0.5956072807312012	τρίβος ; 0.510055422782898	πόθος ; 0.5690129995346069	ἀθανασία ; 0.5626944303512573
0.26853229467606554	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	πτύξις ; 0.5357497334480286	ἱππάζομαι ; 0.5373023152351379	δένδρον ; 0.5367178320884705	ἀθεμίστιος ; 0.555166482925415
0.11761799524783906	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	ἀποθλίβω ; 0.5678509473800659	καταθνήσκω ; 0.5365481972694397	Κυμοδόκη ; 0.5429553985595703	πάρεσις ; 0.9127287864685059
