Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.09144085766575794	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	37	193	43	25	ἀριθμητός ; 0.6805880069732666	συσσιτήσις ; 0.6834392547607422	δεκάχορδος ; 0.6423863768577576	ὑπότροπος ; 0.6912689208984375
0.28742109537388716	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	παραφθάνω ; 0.6970803737640381	ἀμάραντος ; 0.6954271793365479	ἀποκρυφή ; 0.7420244216918945	ἐπιδιώκω ; 0.6855978965759277
0.03651809001711459	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	31	1	121	5	ὑστέρησις ; 0.7445928454399109	Σικιμῖται ; 0.7186325788497925	Ἄσπενδος ; 0.7118890285491943	ἀφροντιστητέον ; 0.7261685132980347
0.055281306372822525	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	κατωτάτω ; 0.6508960723876953	ἐξέρχομαι ; 0.8153321743011475	κατελεέω ; 0.6543350219726562	ἀνθρωποκτόνος ; 0.6398995518684387
0.06634887475877094	ἐλωΐ	θεός	αββα	γονεύς	ἐλωΐ	0	2	5315	3	37	πολύπικρος ; 0.7389962673187256	σύνηθης ; 0.6347109079360962	ἑταιρέω ; 0.6732922196388245	θεσμός ; 0.7695400714874268
0.005899469878216046	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5315	9	πρόσκαιρος ; 0.7310454249382019	κύριος ; 0.714305579662323	σύνηθης ; 0.6347109079360962	προΐστημι ; 0.6816834211349487
0.005396461604279534	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	λαῖφος ; 0.6965268850326538	Κυμοδόκη ; 0.7010659575462341	μάθησις ; 0.6723125576972961	ζωμός ; 0.6626870632171631
0.004274170252845266	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεύω	0	121	8	101	2	Ἄσπενδος ; 0.7118890285491943	ἀληθής ; 0.7075426578521729	καταθέλγω ; 0.6741676330566406	ἀμβλύς ; 0.6579591035842896
0.12655505053027755	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	Ανασσα ; 0.7175817489624023	ῥήτρα ; 0.6961239576339722	χόρτος ; 0.679680585861206	γαστήρ ; 0.6879814267158508
-0.08117361688091651	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	8	2	1	κεφάλαιος ; 0.6759500503540039	Ἠλεκτρυῶνος ; 0.6537691354751587	παρασκευάζω ; 0.6513969302177429	πάρεσις ; 0.8782632946968079
0.21001652750034877	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	παραστάτις ; 0.6881550550460815	θηρίον ; 0.6796805262565613	εὔκραιρος ; 0.672595202922821	σαρδόνυξ ; 0.9035216569900513
0.1128924190553498	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	346	στίχος ; 0.6695531606674194	Ζογορα ; 0.6869611740112305	Μαγδώλου ; 0.6604663133621216	εἰσέρχομαι ; 0.7906482219696045
-0.02672278300853881	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	φθορά	0	28	1	20	8	λαῖφος ; 0.6965268850326538	μάθησις ; 0.6723125576972961	ἄμοχθος ; 0.6280374526977539	Σομεϊς ; 0.7046324014663696
0.30505072810720096	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	προαλής ; 0.7152056097984314	λίνον ; 0.7065735459327698	συμφορά ; 0.6532722115516663	ἐξάγω ; 0.8202738761901855
0.17843018032697378	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	βῆσσα ; 0.6505472660064697	θερίζω ; 0.728998064994812	εὐκαιρέω ; 0.6762748956680298	διήγημα ; 0.6616287231445312
0.16131806786747704	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	211	16	1	2	χόρτος ; 0.679680585861206	ἔκθεσις ; 0.6844173669815063	Εμμανουηλ ; 0.6317901015281677	Λέντουλος ; 0.7214659452438354
-0.002588127265345519	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀγωγή	0	1	7	23	4	οἰκοδόμημα ; 0.6610754132270813	πανοικία ; 0.7198653817176819	Εὐηνός ; 0.6900450587272644	ἀμοιρέω ; 0.6589793562889099
0.04144367588310982	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ὁμοιόω	0	4	9	54	11	θρησκεία ; 0.6796385049819946	ἐξαναζέω ; 0.683016300201416	καταστορέννυμι ; 0.6432688236236572	κατωτάτω ; 0.6508960723876953
-0.17754771043538614	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	ἀμέριμνος	0	4	1	1	11	ἀμοιρέω ; 0.6589793562889099	τέ ; 0.6555489301681519	προαλής ; 0.7152056097984314	Δωρίχα ; 0.6696370840072632
0.20347483726761173	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	αὐθεντέω	1	4	6	44	1	δύσπνοια ; 0.6017422676086426	μελίκρητον ; 0.73008131980896	στεμφυλόν ; 0.6918085813522339	παιδοποιέω ; 0.717686653137207
0.033979428379818655	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	κατοικία	0	1	22	37	1	ἀργαλέος ; 0.6560133099555969	ἠιών ; 0.6950439810752869	ἀνευφημέω ; 0.6730442047119141	Μαρδοχαϊκός ; 0.7515538334846497
0.2093381761165254	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	εὐκαιρέω ; 0.6762748956680298	ἀγρός ; 0.6158241033554077	θερίζω ; 0.728998064994812	λίνον ; 0.7065735459327698
