Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.015800949029309175	μακρός	χρόνος	πάντοτε	ψωμίζω	πάντοτε	0	37	193	43	25	ἀρτιγέννητος ; 0.5163689851760864	δικαίωσις ; 0.5024106502532959	πνέω ; 0.5526441335678101	Αμμανίτην ; 0.5030286908149719
-0.1556178491434302	φωτίζω	λάμπω	φέγγος	δύναμις	λάμπω	0	51	13	28	710	ὑποφέρω ; 0.9341151118278503	σκέλος ; 0.5341498851776123	ῥᾳθυμέω ; 0.5361450910568237	βραδύς ; 0.5594459176063538
0.029554082673562854	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	121	5	χωλαίνω ; 0.5251193642616272	τρίχαπτος ; 0.5198459625244141	Τολβανης ; 0.5242944359779358	καΐἐκεῖνος ; 0.5141045451164246
0.1016875498351415	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	Ιεθρααμ ; 0.5267528295516968	ὀχυρόω ; 0.5473132133483887	ἐμπιπλάω ; 0.5082207918167114	Ραμαθ ; 0.6024008989334106
-0.04772809002595868	ἐλωΐ	θεός	αββα	γονεύς	ἐλωΐ	0	2	5315	3	37	λογομαχέω ; 0.5791865587234497	Ιαρασια ; 0.5165707468986511	Ιεουηλ ; 0.543530285358429	καταλήγω ; 0.5439296960830688
-0.019938235959214012	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	θεός	0	1	191	5315	9	τοπάζιον ; 0.533109724521637	ἐκφοβέω ; 0.8654003739356995	Ιαρασια ; 0.5165707468986511	κατώδυνος ; 0.49978387355804443
-0.00799923764488919	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	Ναζαρά ; 0.5742046236991882	προσαναλίσκω ; 0.539785623550415	Αδραζαρ ; 0.5268872976303101	λιτός ; 0.5153284072875977
0.04387440100786211	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεία	0	121	8	101	2	Τολβανης ; 0.5242944359779358	Αμαδα ; 0.5104324817657471	περισσῶς ; 0.6004698276519775	προηγορέω ; 0.536586582660675
-0.0900975622825651	ἀγέλη	ζῷον	θηρίον	ἀγγελία	θηρίον	0	17	61	211	15	Γολιαδ ; 0.5190079212188721	ὀσφρασία ; 0.5209065079689026	ἄγριος ; 0.9495820999145508	Νεκωδα ; 0.49693813920021057
0.18588089722527595	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	προγίνομαι	1	1	8	2	1	κάπηλος ; 0.5437684059143066	ἐκτριβή ; 0.5725926160812378	ἀνεπίλημπτος ; 0.5215908288955688	ζωγρία ; 0.5290175676345825
-0.0028616412867251695	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	Τωβιαν ; 0.5235743522644043	σπερματίζω ; 0.4895944893360138	Χενερεθ ; 0.5334470868110657	ἀντιπαρέρχομαι ; 0.5165322422981262
-0.07354346786609106	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	346	κατατίλλω ; 0.5114389657974243	αἰρω ; 0.8252427577972412	Ιουβαλ ; 0.5743879675865173	Καππαδοκία ; 0.5642407536506653
-0.09117065792722917	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	28	1	20	8	Ναζαρά ; 0.5742046236991882	Αδραζαρ ; 0.5268872976303101	διαφθείρω ; 0.9608154296875	προοδηγός ; 0.5187097191810608
0.028164699352621725	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	πέλειος ; 0.5637797713279724	ἔκγονος ; 0.5256955027580261	τίμημα ; 0.5113185048103333	πρόπτωσις ; 0.5013962984085083
0.15047335459293515	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	ὀπωροφυλάκιον ; 0.7245451211929321	πιέζω ; 0.9813963174819946	ἀμάω ; 0.9717330932617188	Νεεμια ; 0.5945594310760498
