Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.06731607858518829	μακρός	χρόνος	πάντοτε	ψωμίζω	χρόνος	0	37	193	43	25	βέλος ; 0.655160129070282	στέλλω ; 0.5953152179718018	παρεπίδημος ; 0.7242391109466553	θίασος ; 0.6361227035522461
-0.1657677094976998	φωτίζω	λάμπω	φέγγος	δύναμις	λάμπω	0	51	13	28	710	ὑποφέρω ; 0.7626677751541138	ἀρρωστία ; 0.6570205688476562	Ελιασιμος ; 0.6109945774078369	Ιηου ; 0.6416755318641663
0.06595216038805629	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	121	5	διαπράσσω ; 0.602985680103302	σκηνοπηγία ; 0.7103510499000549	Οχοζαθ ; 0.6905308961868286	φαῦλος ; 0.71564781665802
-0.016111300396332462	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	κατάλειμμα ; 0.666031002998352	Ιαγουρ ; 0.6288339495658875	Συμαριμ ; 0.6664118766784668	Μαασιας ; 0.6317309737205505
0.04645045185487817	ἐλωΐ	θεός	αββα	γονεύς	ἐλωΐ	0	2	5315	3	37	Βηθαζαρια ; 0.590045690536499	παρακαλύπτομαι ; 0.5981812477111816	σοφός ; 0.6680755615234375	πορρώτερον ; 0.6982203722000122
0.1300448943332016	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	παντοκράτωρ	0	1	191	5315	9	πρόσπεινος ; 0.6016973257064819	ἐπικρίνω ; 0.6274804472923279	παρακαλύπτομαι ; 0.5981812477111816	μᾶλλον ; 0.6925017237663269
0.02597065080091876	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	πεδινός ; 0.8014206886291504	Γαερ ; 0.634925127029419	Σαλωμών ; 0.6658027172088623	ἀχρεῖος ; 0.6778580546379089
-0.006839951287887169	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεία	0	121	8	101	2	Οχοζαθ ; 0.6905308961868286	χορηγέω ; 0.619530200958252	περισσῶς ; 0.669911801815033	πνευματοφορέω ; 0.7687350511550903
-0.06117939786750848	ἀγέλη	ζῷον	θηρίον	ἀγγελία	θηρίον	0	17	61	211	15	ὥριμος ; 0.6458386778831482	ὑπερεκπερισσοῦ ; 0.6242654323577881	ἄγριος ; 0.878767192363739	ἀτείχιστος ; 0.6595045924186707
0.18741738356104004	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	προγίνομαι	1	1	8	2	1	κάπηλος ; 0.6710394620895386	ἐκτριβή ; 0.6301660537719727	νέκρωσις ; 0.6613620519638062	σύναγωγή ; 0.628139317035675
