Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.01971673776559335	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	37	193	43	25	ἱκανός ; 0.29755011200904846	τελευτή ; 0.29720351099967957	διδαχή ; 0.2939760982990265	Πάδος ; 0.31554296612739563
0.03660037087298729	φωτίζω	λάμπω	φέγγος	δύναμις	λάμπω	0	51	13	28	710	δίφρος ; 0.2623074948787689	ἐκφέρω ; 0.31874334812164307	ἔρυμα ; 0.28010329604148865	ἄμεμπτος ; 0.27674394845962524
-0.013159444686138277	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	παιδεία	0	31	1	121	5	Ῥηγοῦλος ; 0.29701942205429077	ἐπειδήπερ ; 0.3785485625267029	μῶμος ; 0.28409600257873535	ἐνδίδωμι ; 0.2768213152885437
0.09366249437403809	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἀπολύω	0	11	204	100	1	Αλεφ ; 0.33469027280807495	Μοοχα ; 0.28589409589767456	Θόρικόνδε ; 0.28267842531204224	ψύχομαι ; 0.3644954562187195
-0.011695317193029131	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5315	3	37	λεμά ; 0.6652153730392456	κάρπωμα ; 0.29185327887535095	σχισμάς ; 0.3047953248023987	ἀρτός ; 0.3367888033390045
0.017365829306043218	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	παντοκράτωρ	0	1	191	5315	9	φρυάζω ; 0.2851443886756897	φιλοπονία ; 0.2688092589378357	κάρπωμα ; 0.29185327887535095	ἀκίχητος ; 0.3076015114784241
-0.0472195057052594	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	παραίτησις ; 0.30869728326797485	κυκλεύω ; 0.29029110074043274	Ῥαάβ ; 0.5034826993942261	μήρινθος ; 0.29390770196914673
0.051854398487193004	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	121	8	101	2	μῶμος ; 0.28409600257873535	ἐπακτρίς ; 0.29259657859802246	προσπίλναμαι ; 0.2978290021419525	Τυφῶν ; 0.3480689525604248
0.05600696720192294	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	Αἶγυς ; 0.2981792092323303	δίμοιρος ; 0.30281445384025574	θηρίον ; 0.3620423376560211	διαδοχή ; 0.2904728949069977
0.14862523565569152	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	8	2	1	ψευδόμαντις ; 0.42091161012649536	σαρκίον ; 0.2959669232368469	κριθάω ; 0.27006059885025024	πάρεσις ; 0.9491525888442993
0.3879206102779063	βάτος	χόρτος	σίναπι	χαλκηδών	βάτος	0	13	64	5	1	κυλίομαι ; 0.2865549921989441	νησιωτικός ; 0.3327316343784332	λίθος ; 0.2894664406776428	σάπφιρος ; 0.9071794748306274
-0.015250607640653557	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	83	455	346	ὁμότεχνος ; 0.7350362539291382	ἀπαντή ; 0.33773672580718994	χρηστοήθεια ; 0.31540217995643616	εἰσάγω ; 0.2990265488624573
0.014559981788685117	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	συναπόλλυμαι	0	28	1	20	8	παραίτησις ; 0.30869728326797485	Ῥαάβ ; 0.5034826993942261	φυσάω ; 0.3077518939971924	Λαφιδωθ ; 0.33917438983917236
0.0035205883982837305	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	ἐπισκευάζω ; 0.31092941761016846	ἄχιμος ; 0.30585700273513794	ἐπεισόδιος ; 0.2875520586967468	ἀθροίζω ; 0.30418577790260315
0.07131469874781882	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	ὑπερηφανέω ; 0.2996106743812561	οιφι ; 0.29310816526412964	σπόρος ; 0.32335206866264343	ἀποσυνάγωγος ; 0.2747119069099426
-0.012428505508052856	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	θρέμμα	0	211	16	1	2	θηρίον ; 0.3620423376560211	ὀλιγοχρόνιος ; 0.334572970867157	Εὐθὑφρων, ; 0.28417283296585083	μιμνάζω ; 0.31639620661735535
0.034962306390872167	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀγωγή	0	1	7	23	4	ὑλοτόμος ; 0.3738324046134949	ἄνεμος ; 0.3231847286224365	δίπους ; 0.2755674719810486	παμπληθεί ; 0.3219906687736511
0.0849434172754133	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	4	9	54	11	προσδεκτέος ; 0.3095008134841919	κυλίομαι ; 0.2870248854160309	παραφρονέω ; 0.27522245049476624	Αλεφ ; 0.33469027280807495
