Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.08972949494025417	μακρός	χρόνος	πάντοτε	ψωμίζω	χρόνος	0	37	193	43	25	πολύς ; 0.7079273462295532	τρισάθλιος ; 0.6606473922729492	σπουδαίως ; 0.7563466429710388	ποτίζω ; 0.6823513507843018
0.3417516629449651	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	πρέσβιστος ; 0.7277732491493225	σπαίρω ; 0.6774382591247559	κόνις ; 0.6927335262298584	πού ; 0.6857422590255737
0.13385218656857645	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	121	5	ἄνεσις ; 0.7012959718704224	Σικιμῖται ; 0.6716013550758362	πεῖρα ; 0.6668952703475952	ἑδριάω ; 0.6779276728630066
0.12892880684426228	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	καθαρμός ; 0.627498984336853	τρώγλη ; 0.6606993079185486	κατελεέω ; 0.7136288285255432	ἀποστάτης ; 0.6517711877822876
0.061192066313065285	ἐλωΐ	θεός	αββα	γονεύς	ἐλωΐ	0	2	5315	3	37	ἠλί ; 0.7288201451301575	μυλοειδής ; 0.6956044435501099	δημοκήδης ; 0.6859724521636963	Ἰαπετός ; 0.6784241199493408
-0.07371196122781187	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5315	9	προσστέλλω ; 0.6652102470397949	καταδέχομαι ; 0.6693678498268127	μυλοειδής ; 0.6956044435501099	ἐνατενίζω ; 0.6783386468887329
0.07588182999288273	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	ἀνδρηλάτης ; 0.6936286687850952	Φρυνίων ; 0.6813153624534607	διοικέω ; 0.6791476011276245	Μελιταῖος ; 0.6929802894592285
0.042315286050047085	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	121	8	101	2	πεῖρα ; 0.6668952703475952	Αἰγιρόεσσα ; 0.6377941966056824	ὑποκεῖμαι ; 0.6463040113449097	ἀδιάστροφος ; 0.7402043342590332
-0.1234254094551957	ἀγέλη	ζῷον	θηρίον	ἀγγελία	θηρίον	0	17	61	211	15	πολύχειρ ; 0.6627305746078491	μέλισσα ; 0.7805262804031372	ἄγριος ; 0.7572543621063232	τοσοῦτον ; 0.6963691711425781
0.0013895847602444222	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	8	2	1	εὔκηλος ; 0.6144495010375977	παρεγγράφω ; 0.6738563776016235	διόρθωσις ; 0.6990742087364197	πάρεσις ; 0.9144228100776672
0.21916782790430195	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	προηγητής ; 0.7352164387702942	βοτάνη ; 0.7536251544952393	θέορτος ; 0.6690495014190674	σαρδόνυξ ; 0.8864992260932922
0.06443077131800334	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκήνωμα	0	1	83	455	346	μονοχίτων ; 0.6920118927955627	διαπτύσσω ; 0.6292926669120789	ἐπιφράζω ; 0.6845508813858032	μέτειμι1 ; 0.6495716571807861
-0.05825935455156672	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	28	1	20	8	ἀνδρηλάτης ; 0.6936286687850952	διοικέω ; 0.6791476011276245	ἀπέκδυσις ; 0.6272810697555542	καυτήριον ; 0.663654088973999
0.26273889876292245	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	μέλλω ; 0.7075941562652588	θρύλημα ; 0.6478161215782166	ἔνορχος ; 0.6516451239585876	περισπάω ; 0.7107164263725281
0.48574432184990124	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	ἀναμάσσω ; 0.6500042676925659	ἀπόλεμος ; 0.7154712677001953	σής ; 0.6889246702194214	εἰσαναγκάζω ; 0.7533589601516724
0.09569046678934234	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	211	16	1	2	ἄγριος ; 0.7572543621063232	ἀκάθαρτος ; 0.6536433100700378	στοργή ; 0.7087171673774719	ἐποίχομαι ; 0.672789454460144
0.006765828908281424	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	διάγω	0	1	7	23	4	μωραίνω ; 0.7081053853034973	καταλαλέω ; 0.7262173295021057	ἁβρύνω ; 0.662869930267334	Ὅμηρος ; 0.6828831434249878
-0.1286231311414528	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ὁμοιόω	0	4	9	54	11	Σωκράτης ; 0.6597594022750854	ζῷον ; 0.7723888158798218	ἀνιτλογέω ; 0.647881269454956	καθαρμός ; 0.627498984336853
0.054520915763099476	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	προμεριμνάω	0	4	1	1	11	Ὅμηρος ; 0.6828831434249878	ἄδολος ; 0.6394474506378174	μέλλω ; 0.7075941562652588	συνεκτρίβω ; 0.7202234864234924
0.22052493839316517	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	αὐθεντέω	1	4	6	44	1	ὑποδέω ; 0.6956188082695007	σαπρός ; 0.6867737770080566	ἄχυρον ; 0.7134178876876831	πείθω ; 0.7057818174362183
0.050770094410628575	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	κατοικία	0	1	22	37	1	ἀποσκίασμα ; 0.6776172518730164	προεπαγγέλλομαι ; 0.6203373074531555	Ακκαρωνίτης ; 0.6672075986862183	προσεύχομαι ; 0.7190231084823608
0.27736547502982356	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	σής ; 0.6889246702194214	ἀμισθί ; 0.6480656862258911	ἀπόλεμος ; 0.7154712677001953	θρύλημα ; 0.6478161215782166
-0.09066288971507791	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	ὑπεροχή	0	7	53	11	5	θῖνας ; 0.6885064244270325	σπέρμα ; 0.7680895328521729	συνεκτρίβω ; 0.7202234864234924	ἐνδυτήρ ; 0.7169841527938843
0.33400541569773073	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	σεληνιάζομαι ; 0.71452796459198	μωμάομαι ; 0.6774210929870605	στομόω ; 0.6914600133895874	ἐπισυνάπτω ; 0.731913685798645
