Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.05825768702533157	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	35	191	43	25	κοιλόσταθμος ; 0.6495925784111023	μέχρις ; 0.7204985618591309	εὐχαριστέω ; 0.7040020823478699	μαννα ; 0.6689921617507935
0.28702302954234804	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	50	12	28	707	φωτισμός ; 0.694706916809082	ἐνδελεχής ; 0.7225918769836426	νεφέλη ; 0.7455230355262756	δυνατός ; 0.6444258093833923
0.16648848765319935	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	κωμόπολις ; 0.7443667054176331	φίλανδρος ; 0.9815124869346619	ἀνθαιρέω ; 0.6937247514724731	ἐπισκεπάζω ; 0.6984677314758301
0.10199080719686066	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	98	1	Κυρήνη ; 0.638992428779602	ἐξέρχομαι ; 0.8170439600944519	Καϊάφας ; 0.6959419250488281	ἀπολαμβάνω ; 0.6338931918144226
0.059669090524714974	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5249	3	35	λεμά ; 0.8714227080345154	κύριος ; 0.835647702217102	Τρυφῶσα ; 0.6141354441642761	ἀλογέω ; 0.6557785272598267
0.04658495975596055	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἀδελφότης	1	1	191	5249	9	ἐπιθυμητής ; 0.6912975907325745	Σιων ; 0.7431796789169312	κύριος ; 0.835647702217102	καίπερ ; 0.6556963920593262
0.07391876047185775	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	27	5	1	7	ἀπώλεια ; 0.7440560460090637	βραδύς ; 0.6595234274864197	Ῥαάβ ; 0.7504889965057373	ὄλυρα ; 0.6848543882369995
-0.008952568557609286	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	118	8	101	2	ἀνθαιρέω ; 0.6937247514724731	ἀπολογέομαι ; 0.6888870000839233	ἐλέγχω ; 0.7095922231674194	ταπεινοφροσύνη ; 0.7087622880935669
0.23484881095643256	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	210	15	χοῖρος ; 0.6993166208267212	αἰσχρός ; 0.6664858460426331	ὄρνεον ; 0.8356894254684448	Ιορδάνης ; 0.6540297269821167
0.13660596373980555	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	φιλοσοφία ; 0.8016032576560974	προαίρω ; 0.6856393814086914	παιγνία ; 0.6317036747932434	πάρεσις ; 0.9921874403953552
0.07513908296496813	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	βιβλαρίδιον ; 0.6802663207054138	βοτάνη ; 0.7646273374557495	κόκκος ; 0.7825617790222168	σάπφιρος ; 0.9839389324188232
0.0862675671791977	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	344	ὁμότεχνος ; 0.9098886847496033	μάνδρα ; 0.717205286026001	συσκιάζον ; 0.7405890822410583	εἰσέρχομαι ; 0.7862803936004639
0.08218861842168612	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	συναπόλλυμαι	0	27	1	20	8	ἀπώλεια ; 0.7440560460090637	Ῥαάβ ; 0.7504889965057373	ἐγχειρίδιον ; 0.6551715135574341	Θακουαθ ; 0.6722170114517212
0.31331901385010325	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	οὖν ; 0.6237452030181885	ἀκόλαστος ; 0.736994206905365	μόναρχος ; 0.6984032392501831	ἐξάγω ; 0.8399524688720703
0.4339739115015297	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	ἀγριομυρίκη ; 0.6434675455093384	θερίζω ; 0.7646092176437378	εὐκαιρέω ; 0.7335031628608704	ἐλεφάντων ; 0.7587372064590454
0.04179814600819265	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	θρέμμα	0	210	16	1	2	ὄρνεον ; 0.8356894254684448	φλυκτίς ; 0.7370744943618774	Μερρα ; 0.6593725085258484	Τιβέριος ; 0.7435681819915771
-0.09923364040673466	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀγωγή	0	1	7	23	4	καλοδιδάσκαλος ; 0.8652985692024231	πολίτης ; 0.7108438611030579	Γαιβαναιεννον ; 0.7198466062545776	ἀκώλυτος ; 0.7129625678062439
0.14154118318683312	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	4	9	53	11	νοῦς ; 0.676148533821106	οὐρά ; 0.6551153659820557	εὐνουχίζω ; 0.6372557878494263	Κυρήνη ; 0.638992428779602
0.10360636137235785	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	εὐγενής	1	4	1	1	11	ἀκώλυτος ; 0.7129625678062439	μελετέω ; 0.6473468542098999	οὖν ; 0.6237452030181885	ἔοικα ; 0.6502769589424133
0.32614955377026733	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	αὐθεντέω	1	4	6	40	1	πάπυρος ; 0.7863989472389221	μάννα ; 0.6518278121948242	σμῖλαξ ; 0.7516748309135437	ὁμόψυχος ; 0.658044695854187
0.06038151252572055	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	διενθυμέομαι	1	1	22	36	1	βλέμμα ; 0.9529061913490295	ῥύμη ; 0.6010849475860596	Βααλερμων ; 0.629777193069458	ὅραμα ; 0.7038989067077637
0.35907757865152007	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	εὐκαιρέω ; 0.7335031628608704	κλισία ; 0.6212968826293945	θερίζω ; 0.7646092176437378	ἀκόλαστος ; 0.736994206905365
0.06244619225622411	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	μεγιστάν	0	7	52	11	3	τάλαντα ; 0.6866999268531799	νοητῶς ; 0.6790331602096558	ἔοικα ; 0.6502769589424133	τυφωνικός ; 0.66354900598526
0.16122477452152428	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	κατάστημα ; 0.7898155450820923	στρατιώτις ; 0.71574467420578	ἀρετή ; 0.7918002605438232	ἀθύμέω ; 0.6359615325927734
-0.08238171097872937	φθινοπωρινός	θέρος	διετία	τρίχινος	διετία	0	1	11	2	2	κἄν ; 0.5899606943130493	περισσεία ; 0.6905549764633179	συμβούλιον ; 0.7421995401382446	ποδήρης ; 0.646782636642456
0.14565393887685318	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	θηλάζω	1	6	28	1	34	ἀλέκτωρ ; 0.6138678193092346	κλύδων ; 0.6149584054946899	μόδιος ; 0.8519127368927002	μαστός ; 0.6462844610214233
-0.1070141071917875	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	δαμάζω	0	2	7	1	2	παιγνία ; 0.6317036747932434	θρησκεία ; 0.6702985763549805	ὄγκος ; 0.9708467721939087	ἀκροβυστία ; 0.7107466459274292
0.17233425475769765	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	Χριστιανός	1	28	28	6	3	κλύδων ; 0.6149584054946899	ἐξιχνεύω ; 0.6895971298217773	ἀλέκτωρ ; 0.6138678193092346	ἤπιος ; 0.6694275140762329
0.29693527797342156	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	οἷος	1	26	28	8	33	δέος ; 0.7146674394607544	νεφέλη ; 0.7455230355262756	λάμπω ; 0.7038334608078003	ἐπίτιμος ; 0.6656402945518494
-0.04285909888491679	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	προφθάνω	0	93	9	20	1	σφοδρῶς ; 0.5977052450180054	μακρότερον ; 0.6996464729309082	τοξεύω ; 0.7140231132507324	Ἀθηναῖος ; 0.7071435451507568
0.5417887529809678	ἐννέα	δύο	τέσσαρες	φίλανδρος	φίλανδρος	1	48	814	287	1	πέντε ; 0.6478403806686401	δέκα ; 0.8392341136932373	ἕξ ; 0.7679464221000671	σωφρονίζω ; 0.9815124869346619
-0.12484921859225268	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	σπαργανόω	0	4	1	146	21	σπάργανον ; 0.7156587839126587	ταπεινοφροσύνη ; 0.7388681173324585	ἱερατικός ; 0.6994551420211792	ἐνδείκνυμι ; 0.6940789222717285
0.0028756367740009336	βίος	χράομαι	ἀναστρέφω	φιλόθεος	ἀναστρέφω	0	79	34	121	1	παραίτιος ; 0.6662814617156982	λείπω ; 0.7404602766036987	πορεύομαι ; 0.7788580656051636	φιλήδονος ; 0.9900628924369812
0.0011049986212759988	συνεγείρω	ζάω	ζῳογονέω	θέρος	ζῳογονέω	0	6	694	3	11	φυτόν ; 0.7069110870361328	ἀποθνῄσκω ; 0.6379252672195435	ἔκθετος ; 0.7494858503341675	περισσεία ; 0.6905549764633179
0.027622118916363736	ἀνάστασις	ζάω	ζῳοποιέω	παθητός	παθητός	1	48	694	11	1	ἐνεργέω ; 0.6802843809127808	ἀποθνῄσκω ; 0.6379252672195435	περιτομή ; 0.6428692936897278	χλιαρός ; 0.6602007150650024
0.24902668596334615	χλωρός	βοτάνη	βάτος	πάσχω	πάσχω	1	19	17	13	59	βοτάνη ; 0.704890251159668	χόρτος ; 0.76462721824646	βιβλαρίδιον ; 0.6802663207054138	προγράφω ; 0.6927645206451416
0.15387937549679442	ἀποπλέω	εὐθυδρομέω	πλοῦς	ἀπογράφω	ἀπογράφω	1	4	2	3	10	Σάμος ; 0.701749324798584	Κώς ; 0.9194997549057007	ἐπισφαλής ; 0.7288689017295837	Κλαύδιος ; 0.6620281338691711
0.22863448289344673	προσαγωγή	λαλέω	προσλαλέω	παραχειμάζω	παραχειμάζω	1	3	1480	4	4	ἀκηδιάζω ; 0.732347846031189	ἀκούω ; 0.7352702617645264	ἐμός ; 0.6337511539459229	Ἀλεξανδρῖνος ; 0.7806751728057861
0.1421674563214793	προφθάνω	πάλαι	καινός	διατροφή	διατροφή	1	20	15	101	2	τοξεύω ; 0.7140231132507324	μυστήριον ; 0.7594704627990723	καινότης ; 0.6931447982788086	ἐπιποθία ; 0.682906985282898
0.054401568111635434	κατασφάζω	θανατόω	σφαγή	ἔννοια	θανατόω	0	11	169	26	12	ἑλληνικός ; 0.6456315517425537	ἀποθνῄσκω ; 0.7161004543304443	δοξικός ; 0.6405937671661377	ἔλεγχος ; 0.8011494874954224
-0.05046112257346069	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	γαζοφυλάκιον	μεθερμηνεύω	0	1	8	3	30	κομιδή ; 0.7483869791030884	Ἐλύμας ; 0.7050313353538513	τυφωνικός ; 0.66354900598526	θησαυροφύλαξ ; 0.6575243473052979
