Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.1531761544921768	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	35	191	43	25	ἀριθμητός ; 0.6741143465042114	ἀμερής ; 0.6705204248428345	παραγγελία ; 0.7057931423187256	συννεφής ; 0.6463149189949036
0.4174438336398434	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	50	12	28	707	φωτισμός ; 0.7370793223381042	ἐμβλέπω ; 0.6916439533233643	ἀποκρυφή ; 0.7726790904998779	στρατιά ; 0.6870643496513367
0.11240240110518762	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	παραγγελία ; 0.699922502040863	φίλανδρος ; 0.9424166083335876	ῥῆσις ; 0.715133011341095	ἐπισκεπάζω ; 0.7815417647361755
0.10653917642907396	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκπορεύομαι	0	11	204	98	1	ἀπασπάζομαι ; 0.66570645570755	ἐξέρχομαι ; 0.8441601991653442	ἀφίημι ; 0.6384823322296143	κωμόπολις ; 0.6668500900268555
0.07866534852381202	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5249	3	35	ἠλί ; 0.9320643544197083	κύριος ; 0.8784834742546082	κατατέρπω ; 0.6555386185646057	συγγενής ; 0.7621061205863953
-0.05865811085313599	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5249	9	ὑποστολή ; 0.7393786907196045	σαβαωθ ; 0.7642446756362915	κύριος ; 0.8784834742546082	φίλτρον ; 0.7329446077346802
0.11975774216304341	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	27	5	1	7	ἀπώλεια ; 0.7538478970527649	χρηματίζω ; 0.6509138941764832	Ῥαάβ ; 0.6614159941673279	ὑδρία ; 0.680712103843689
0.002089788089172928	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	118	8	101	2	ῥῆσις ; 0.715133011341095	Μωυσής ; 0.7071066498756409	ἐλέγχω ; 0.7641708254814148	ἐθνοπλήθης ; 0.7176060080528259
0.17234114729576872	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	210	15	κυλισμός ; 0.6568737626075745	θηρίον ; 0.6672183871269226	ὄρνεον ; 0.8148103952407837	Ιορδάνης ; 0.7294764518737793
-0.03446323878398694	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	μεθοδεία ; 0.7075068950653076	προδίδωμι ; 0.6595854163169861	συμφώνησις ; 0.6981043815612793	πάρεσις ; 0.9785668849945068
0.29900254500934353	βάτος	χόρτος	σίναπι	χαλκηδών	χαλκηδών	1	13	64	5	1	δέσμη ; 0.6871234178543091	βοτάνη ; 0.8758649230003357	κόκκος ; 0.7241687774658203	σάπφιρος ; 0.9423993229866028
0.05904781913785817	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	344	ὁλοσφύρητος ; 0.6741344332695007	κατάλυμα ; 0.6948190331459045	μαρτύριον ; 0.7686194181442261	εἰσέρχομαι ; 0.7948068380355835
0.1177699375361217	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	προφῆτις	1	27	1	20	8	ἀπώλεια ; 0.7538478970527649	Ῥαάβ ; 0.6614159941673279	ἀφθαρσία ; 0.6170288324356079	Ιερεμιν ; 0.733197808265686
0.20555312064636122	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	χάριν ; 0.641049861907959	μυχός ; 0.7753628492355347	ῥᾳδιουργία ; 0.6122736930847168	ἐξάγω ; 0.7920742034912109
0.47535505874832495	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	ὥριμος ; 0.6394236087799072	ἐκθερίζω ; 0.6787683367729187	σπόριμον ; 0.6793246269226074	Σουσα ; 0.7055901288986206
0.1935206222123511	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	210	16	1	2	ὄρνεον ; 0.8148103952407837	μυσερός ; 0.7372159957885742	πίνω ; 0.7176908254623413	Φοινίκης ; 0.7379871606826782
-0.1267835641129461	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	κατάστημα	0	1	7	23	4	ἱεροπρεπής ; 0.8556753396987915	τέλεος ; 0.7293374538421631	Γαιβαναιεννον ; 0.6655452847480774	μισάνθρωπος ; 0.7276082038879395
0.15271002180361642	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	4	9	53	11	ποιητής ; 0.7632730007171631	πτέρυξ ; 0.627802848815918	ταπεινφρονέω ; 0.6469756960868835	ἀπασπάζομαι ; 0.66570645570755
0.22112998608394335	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	εὐγενής	1	4	1	1	11	μισάνθρωπος ; 0.7276082038879395	θρέμμα ; 0.7072629928588867	χάριν ; 0.641049861907959	εἰδέω ; 0.6891793012619019
0.1704550173913335	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	αὐθεντέω	1	4	6	40	1	κλάδος ; 0.6340131163597107	θριαμβεύω ; 0.6552528142929077	σμῖλαξ ; 0.7121725082397461	φωράομαι ; 0.6584316492080688
-0.03845214050984119	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	κατοικία	0	1	22	36	1	βλέμμα ; 0.8387336730957031	ἐκπέτομαι ; 0.6608380079269409	περισπόριον ; 0.6608527898788452	κατανύσσομαι ; 0.6486508250236511
0.43392588654279596	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	σπόριμον ; 0.6793246269226074	αἱμάσσω ; 0.7256643772125244	ἐκθερίζω ; 0.6787683367729187	μυχός ; 0.7753628492355347
0.06220952569317423	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	μεγιστάν	0	7	52	11	3	γνησίως ; 0.7138990163803101	Βύβλιοι ; 0.6643304824829102	εἰδέω ; 0.6891793012619019	Ἀπολλύων ; 0.711667537689209
0.11548459737683664	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	κατάστημα ; 0.8556753396987915	σμῆγμα ; 0.6561391353607178	ἀρετή ; 0.793531596660614	στηλογραφία ; 0.6133638024330139
0.04070513815452054	φθινοπωρινός	θέρος	διετία	τρίχινος	θέρος	0	1	11	2	2	πρόδρομος ; 0.6681029796600342	καρποφόρος ; 0.699222981929779	πρόσκλισις ; 0.7393462657928467	ἄμορος ; 0.7056332230567932
0.0997185259146871	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	θηλάζω	1	6	28	1	34	ἀνυπερθέτως ; 0.5882134437561035	ἐπεκλύω ; 0.7020696401596069	ἔχρα ; 0.7397828698158264	Εφραθι ; 0.6950538754463196
