Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.04142730771047559	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	35	191	43	25	ἀπόφασις ; 0.43200361728668213	τυραννικός ; 0.41432806849479675	φρονέω ; 0.45244723558425903	ἐσθίω ; 0.44857320189476013
0.19165467238577666	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	50	12	28	707	διοικοδομέω ; 0.41204601526260376	κεῖμαι ; 0.42140841484069824	νεφέλη ; 0.5211165547370911	πόλεμος ; 0.4647180438041687
-0.02988266080974794	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	πετρῶδες ; 0.46068739891052246	ἐπειδήπερ ; 0.46985259652137756	ῥῆσις ; 0.5301023721694946	ἐπιχειρητέον ; 0.43334636092185974
0.03247736620027969	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	98	1	εὔκυκλος ; 0.4676688611507416	ἐξέρχομαι ; 0.645084798336029	μήτι ; 0.5160905122756958	Σκοτοῦσα ; 0.45381152629852295
-0.05481466543212987	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5249	3	35	λεμά ; 0.6848554015159607	κύριος ; 0.7454886436462402	ἐπιθυμίαμα ; 0.5013144612312317	ἀνάζευξις ; 0.4732579290866852
-0.045172415530861765	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5249	9	Ουεσβι ; 0.4764954447746277	ὅδε ; 0.5690180659294128	κύριος ; 0.7454886436462402	Σερούχ ; 0.43297630548477173
0.03873755525794176	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	27	5	1	7	ζημία ; 0.47939181327819824	διαβεβαιόω ; 0.46826526522636414	δέκτωρ ; 0.5001049041748047	ἄρωμα ; 0.4604833424091339
-0.00041094686658293966	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεύω	0	118	8	101	2	ῥῆσις ; 0.5301023721694946	ῥυμοτομία ; 0.46924257278442383	παραζηλόω ; 0.45064008235931396	σωφρονέω ; 0.4704321026802063
0.10550282932142765	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	210	15	Δαλαιας ; 0.4932039678096771	ἀδέψητος ; 0.41426703333854675	ἐπαφρόδιτος ; 0.4688537120819092	ἀγέλαστος ; 0.4307781457901001
0.1757730225978943	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	̓ἀχαιός ; 0.4509035050868988	ἔρις ; 0.44436419010162354	Κούρητες ; 0.47436702251434326	πάρεσις ; 0.9536958336830139
0.2611173435316262	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	ἐπιδεύομαι ; 0.48538655042648315	τρυφάω ; 0.5198856592178345	προκηρύσσω ; 0.45913970470428467	σάπφιρος ; 0.9409655928611755
0.15044834489226416	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	83	455	344	ὁμότεχνος ; 0.7393889427185059	ἀφανισμός ; 0.4647703766822815	θυσιαστήριον ; 0.46048957109451294	εἰσέρχομαι ; 0.5406213998794556
-0.0025356645664201816	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	φθορά	0	27	1	20	8	ζημία ; 0.47939181327819824	δέκτωρ ; 0.5001049041748047	ἐλάσσων ; 0.4825075566768646	σκηπτοῦχος ; 0.4580945074558258
0.1365658312538054	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	ἑκών ; 0.422150582075119	ζωγραφία ; 0.47508591413497925	ἐπαγωγός ; 0.4748896360397339	ἐξάγω ; 0.681908905506134
0.1503634681774214	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	πρᾶγος ; 0.4505496919155121	αὖθις ; 0.48391515016555786	Ἀλεκτρυών ; 0.5515388250350952	τέτμον ; 0.4675953984260559
0.023737820926558018	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	θρέμμα	0	210	16	1	2	ἐπαφρόδιτος ; 0.4688537120819092	Ἐξάδιος ; 0.5248085260391235	κακόσπλαγχνος ; 0.44331127405166626	ἄφθαρτος ; 0.4901854991912842
-0.06888276179522401	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	διάγω	0	1	7	23	4	Βαλε ; 0.4570677578449249	συγκοιμάομαι ; 0.4270923435688019	ἀπατιμάζω ; 0.4529458284378052	μέτρησις ; 0.4659497141838074
-0.04787621226181721	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἔοικα	0	4	9	53	11	εἰλικρίνεια ; 0.4380105137825012	μῆρα ; 0.46561145782470703	μανία ; 0.49626582860946655	εὔκυκλος ; 0.4676688611507416
-0.03625255703501434	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	ἀμέριμνος	0	4	1	1	11	μέτρησις ; 0.4659497141838074	σῶμα ; 0.4378100335597992	ἑκών ; 0.422150582075119	Περίβοια ; 0.43604159355163574
0.08293477742611555	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	αὐθεντέω	1	4	6	40	1	φύρδην ; 0.41938427090644836	ἀνακαίνωσις ; 0.4137037992477417	ἐκλείπω ; 0.4492376148700714	Γονόεσσα ; 0.4105021357536316
0.03807396984470579	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	κατοικητήριον	0	1	22	36	1	βλέμμα ; 0.5126631259918213	Τρώς ; 0.4492000341415405	Νεστορίδης ; 0.4667614996433258	Ασαιας ; 0.4734327793121338
0.1970259715037222	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	113	1	6	17	Ἀλεκτρυών ; 0.5515388250350952	καταπατέω ; 0.43457990884780884	αὖθις ; 0.48391515016555786	ζωγραφία ; 0.47508591413497925
-0.09252714141439394	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	μεγιστάν	0	7	52	11	3	στομόω ; 0.47318795323371887	σάλπιγξ ; 0.4101327955722809	Περίβοια ; 0.43604159355163574	ἐνθρύπτω ; 0.44589465856552124
0.14285228151028184	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	Κυτίνιον ; 0.47241753339767456	νηπιέη ; 0.4192689061164856	γενναῖος ; 0.5225738883018494	ψωμίον ; 0.4995693564414978
0.032691349630516786	φθινοπωρινός	θέρος	διετία	τρίχινος	διετία	0	1	11	2	2	ἐπαφρίζω ; 0.5197653770446777	ῥιζόω ; 0.4383104145526886	ἐξοπλησία ; 0.4717073142528534	φιτυποίμην ; 0.4554925560951233
0.060378394621351694	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	κρυφαῖος	0	6	28	1	34	δίς ; 0.4841776490211487	κλινάριον ; 0.4403555393218994	μόδιος ; 0.4907519817352295	σιτοδεία ; 0.4485781490802765
0.088374397237722	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	δαμάζω	0	2	7	1	2	Κούρητες ; 0.47436702251434326	ἀγαυριάω ; 0.45964860916137695	ἀπαύγασμα ; 0.46184444427490234	ἐπενδίδωμι ; 0.49686744809150696
0.047479457043860585	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	βαθύς	0	28	28	6	3	κλινάριον ; 0.4403555393218994	σκότος ; 0.47548773884773254	δίς ; 0.4841776490211487	σηκός ; 0.5065976977348328
0.09192246823896205	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	οἷος	1	26	28	8	33	ἐπιφημί ; 0.45187613368034363	νεφέλη ; 0.5211165547370911	περικοσμέω ; 0.4742807447910309	ἄκακος ; 0.41764265298843384
-0.011820560775823163	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	πρῶτον	0	93	9	20	1	Φοῖνιξ ; 0.42402079701423645	καταθεματίζω ; 0.4944237768650055	ἐκτρίβω ; 0.47654134035110474	αὗ ; 0.5131900310516357
