Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.08563084524258546	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	35	191	43	25	μακράν ; 0.5155916810035706	ὥρα ; 0.5396902561187744	εὐαγγέλιον ; 0.5782229900360107	δίδωμι ; 0.5482484698295593
0.24757377298486422	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	50	12	28	707	θεμελιόω ; 0.5723241567611694	πρέσβιστος ; 0.562231183052063	τροχός ; 0.6486660242080688	ἀναβάτης ; 0.5528948903083801
0.076927713522076	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	γραφή ; 0.5570075511932373	ἀγαθός ; 0.5549730658531189	ῥῆσις ; 0.6119134426116943	τηνικάδε ; 0.588708758354187
0.06390229135952108	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	98	1	ἑλέπτολις ; 0.5662173628807068	ἐξέρχομαι ; 0.7463042736053467	κομίζω ; 0.5995592474937439	ὁμότεχνος ; 0.575988233089447
-0.07344592178367992	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5249	3	35	ἠλί ; 0.7233651876449585	κύριος ; 0.788621723651886	θαρσύνω ; 0.5511014461517334	γενεαλογικός ; 0.560631275177002
0.03040839171550208	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5249	9	εὐπατρίδης ; 0.6236660480499268	ὅδε ; 0.6720917820930481	κύριος ; 0.788621723651886	φιλοσοφία ; 0.5713699460029602
-0.0012850153170150258	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	27	5	1	7	ζημία ; 0.5976235866546631	διερμηνευτής ; 0.5642615556716919	κοινωνός ; 0.5364773273468018	ἀποσυρίζω ; 0.5345050692558289
0.052613353201223734	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	118	8	101	2	ῥῆσις ; 0.6119134426116943	ἐντευκτικός ; 0.6736288070678711	ἐλέγχω ; 0.603357195854187	ἀκυρόω ; 0.5989995002746582
0.1336107051301545	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	210	15	σκορακισμός ; 0.5679133534431458	ἐρυσίπτολις ; 0.5558642745018005	ὄρνεον ; 0.6131929755210876	ψίθυρος ; 0.5161264538764954
0.0014279548319851565	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	8	2	1	μακιστήρ ; 0.5498591065406799	ἀποτυφλόω ; 0.5101269483566284	προοἶδα ; 0.5289952754974365	πάρεσις ; 0.9078507423400879
0.3229152541516592	βάτος	χόρτος	σίναπι	χαλκηδών	χαλκηδών	1	13	64	5	1	δημοβόρος ; 0.533637285232544	γένημα ; 0.5536503791809082	Ἀμφιθέη ; 0.5741653442382812	Ιαζιηλ ; 0.8338228464126587
0.23875598763029793	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	344	μονοχίτων ; 0.5722998380661011	ἔπαυλος ; 0.5816031694412231	κιβωτός ; 0.6119144558906555	ἐξέρχομαι ; 0.6406841278076172
-0.049939670733482544	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	φθορά	0	27	1	20	8	ζημία ; 0.5976235866546631	κοινωνός ; 0.5364773273468018	σύμμορφος ; 0.6031955480575562	Πανταλέων ; 0.5492510199546814
