Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
-0.037257371723456556	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	λογίζομαι	0	23	160	117	1	20	41	φαίνω ; 0.38153785467147827	γίγνομαι ; 0.4574275016784668	θρησκός ; 0.4914071261882782	ζήτημα ; 0.5550705790519714	ἡγέομαι ; 0.4264206290245056	κολλυβιστής ; 0.42743927240371704
0.0928270778902947	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	ἐκλάμπω	0	1	13	8	2	1	3	φωσφόρος ; 0.9440467357635498	ἀνατέλλω ; 0.44904130697250366	νεκρόω ; 0.4308965802192688	λεμά ; 0.7610893249511719	θά ; 0.9641013145446777	Σουδι ; 0.45408010482788086
0.07847259371758081	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	εὐκαιρέω	1	7	6	3	3	2	1	μακαριότης ; 0.42347681522369385	κραταιότης ; 0.46305400133132935	ἀποσφενδονάω ; 0.4499067962169647	ποτιστήριον ; 0.4914161264896393	ἀκρόαμα ; 0.5401302576065063	μετατρέπω ; 0.4358476400375366
0.04619340782886455	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	ἀλώπηξ	0	31	13	1	13	1	27	ὄνος ; 0.4999784529209137	κατατομή ; 0.49361318349838257	Καφθοριιμ ; 0.4606018662452698	ἀνατέλλω ; 0.44904130697250366	φωσφόρος ; 0.9440467357635498	ἐπιφημί ; 0.4704517126083374
-0.041363836983945246	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	τρόμος	0	35	2	1	2	2	7	ἐκψύχω ; 0.48376259207725525	βῆμα ; 0.46841421723365784	ἄτομος ; 0.9526059627532959	μηδαμῶς ; 0.41865071654319763	σκέπασμα ; 0.4382736086845398	ἐκπαιδεύω ; 0.4801477789878845
0.0670615324971493	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	ἐκλαλέω	1	5	40	17	9	2	4	χείρων ; 0.4057546854019165	σφραγίς ; 0.474206805229187	Δαλουια ; 0.5013084411621094	κίνησις ; 0.49326080083847046	σχίζα ; 0.4504550099372864	καΐἐκεῖνος ; 0.40528157353401184
0.05795768610081553	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	πρωτοστάτης	0	4	2	7	6	64	45	εφραθ ; 0.45010265707969666	ἐκκλαίω ; 0.4519561231136322	διαστολή ; 0.4434313178062439	περικλύω ; 0.446002721786499	σιτοποιός ; 0.46964162588119507	ἀξίνη ; 0.49432483315467834
0.0437869621229231	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ἀναζάω	0	6	2	2	1	25	25	Μασερεμ ; 0.4055623412132263	κάτω ; 0.4484255909919739	ἐπιδεής ; 0.4641035199165344	χαλκίον ; 0.675674319267273	ἐκλατομέω ; 0.42488980293273926	λήθη ; 0.3861769735813141
-0.07799288297482682	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	παρατείνω	0	8	6	8	137	7	59	χλοηφόρος ; 0.4497212767601013	Δεββωρα ; 0.48317572474479675	περισσοτέρως ; 0.41828301548957825	λόγος ; 0.46620798110961914	δυνατέω ; 0.42349064350128174	ἐποπτικός ; 0.44225776195526123
-0.0005436384929094484	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	φθείρω	1	4	3	136	221	1	29	Ἀττάλεια ; 0.6016082167625427	ἐπισφαλής ; 0.6173475980758667	ἐξάγω ; 0.6220047473907471	ἐξαίρω ; 0.511810839176178	πρόσχυσις ; 0.8905283212661743	ἐκπορθέω ; 0.4472370147705078
-0.06928649714575724	κυριακός	αββα	ἄθεος	ἀροτριάω	φυτεύω	γεωργέω	αββα	0	2	3	1	18	61	4	ἐξαρτίζω ; 0.4209335446357727	Σουδι ; 0.45408010482788086	Εὐνίκη ; 0.4983212351799011	ἀπόσπασμα ; 0.4291766285896301	Σεβαμα ; 0.46711671352386475	γένημα ; 0.451687216758728
0.07245401263656737	καιρός	εὔκαιρος	εὐκαιρία	κυριότης	κυριεύω	ἡγεμονεύω	καιρός	0	570	7	7	4	71	2	ἡμέρα ; 0.576246976852417	προκαταρτίζω ; 0.46903687715530396	προκοπή ; 0.3976210057735443	τολμητής ; 0.5290913581848145	ἡνία ; 0.42962878942489624	Κυρήνιος ; 0.7953978180885315
-0.04853547683761883	συμπολίτης	συμφυλέτης	λαός	ἀποστολή	εὐαγγελιστής	Μεσσίας	Μεσσίας	1	1	1	2200	15	3	2	παρεπίδημος ; 0.525499701499939	καταπολεμέω ; 0.46295925974845886	συναγωγή ; 0.47859957814216614	φαιλόνης ; 0.41851770877838135	ὑμνῳδέω ; 0.423981636762619	Σωμανῖτις ; 0.45510104298591614
-0.10387102463677933	πόνος	πάσχω	συνωδίνω	ἀπόκρυφος	βάθος	κρύπτη	πόνος	0	97	60	1	28	31	1	ἀνάγκη ; 0.39322903752326965	ἐνίστημι ; 0.45718806982040405	συστενάζω ; 0.9655816555023193	ἀπογαλακτίζω ; 0.4477503001689911	κατωτάτω ; 0.40749993920326233	μόδιος ; 0.4388269782066345
-0.04218931120695707	συναπόλλυμαι	ὀλοθρευτής	ὄλεθρος	σαλεύω	ταράσσω	ἔντρομος	συναπόλλυμαι	0	1	1	28	93	135	8	Ῥαάβ ; 0.5218052864074707	τυπικῶς ; 0.8606478571891785	ἐπεισέρχομαι ; 0.4127134084701538	ταράσσω ; 0.4164339005947113	ἐξίστημι ; 0.47350138425827026	μονόζωνος ; 0.43089061975479126
0.06546288593402166	τεκνογονία	ἔγκυος	γένεσις	ἁμαρτία	πταίω	παράπτωμα	τεκνογονία	0	1	2	63	714	20	41	Θεκωιν ; 0.46301472187042236	ἄναλος ; 0.45136529207229614	ἀπόκλεισμα ; 0.40217164158821106	ἀνομία ; 0.5038350224494934	ἡγέομαι ; 0.4264206290245056	κολλυβιστής ; 0.42743927240371704
0.19014652202737237	ἁμάρτημα	ἁμαρτωλός	παράπτωμα	ἀποπλέω	πλέω	παραπλέω	πλέω	1	41	226	41	4	13	1	ἀδίκημα ; 0.42352646589279175	ἀσεβής ; 0.4904519319534302	κολλυβιστής ; 0.42743927240371704	Ἀττάλεια ; 0.6016082167625427	βλαβερός ; 0.45898789167404175	χρονοτριβέω ; 0.7112991809844971
-0.03791615318543218	παροργίζω	θυμομαχέω	θυμόομαι	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	θυμομαχέω	0	60	1	1	23	160	4	ἐκπειράζω ; 0.47543346881866455	Μάγδωλος ; 0.5113010406494141	κακίζω ; 0.4711298644542694	φαίνω ; 0.38153785467147827	γίγνομαι ; 0.4574275016784668	Τωβιν ; 0.47313904762268066
0.08558191814122157	κυριότης	κυριεύω	ἡγεμονία	ἄκανθα	ἀκάνθινος	ἄψινθος	ἡγεμονία	0	4	71	8	45	3	1	τολμητής ; 0.5290913581848145	ἡνία ; 0.42962878942489624	ἐφημερία ; 0.43043118715286255	ἀξίνη ; 0.49432483315467834	τιτράω ; 0.4577217996120453	Ἄψινθος ; 0.6809072494506836
0.037003422873950975	οἷος	ὁμοιόω	τοιοῦτος	ἐνθυμέομαι	διαλογίζομαι	συμβάλλω	οἷος	0	33	54	138	23	28	15	κρείττων ; 0.4394449293613434	ὡραιοῦμαι ; 0.4032321274280548	ἐγγράφω ; 0.4268229305744171	φαίνω ; 0.38153785467147827	κυδοιμέω ; 0.43207716941833496	πατριά ; 0.4276774227619171
-0.04224269951281595	λέπρα	κάμνω	λοιμός	διαχειρίζομαι	σφαγή	κατασφάζω	λέπρα	0	43	8	30	2	27	12	πώγων ; 0.4263852834701538	ὑφάπτω ; 0.42256689071655273	στένω ; 0.42425620555877686	ὑπήκοος ; 0.3997769355773926	Οζαν ; 0.4433329403400421	προτρέχω ; 0.4948906898498535
0.08053338886751765	ἰσχύω	δύναμαι	δυναμόω	καινός	ἔκπαλαι	πρίν	πρίν	1	134	542	6	101	2	73	ἀσιτέω ; 0.47596246004104614	ναίω ; 0.39305412769317627	περικύκλῳ ; 0.4239335060119629	ταχύ ; 0.41345715522766113	πλαστός ; 0.4287301301956177	ἀλλά ; 0.5280104875564575
0.14370698241621035	οἷος	ὁμοιόω	ὅμοιος	πρωτεύω	μεγιστάν	κυρία	κυρία	1	33	54	137	4	52	10	κρείττων ; 0.4394449293613434	ὡραιοῦμαι ; 0.4032321274280548	σκώληξ ; 0.4142145812511444	εφραθ ; 0.45010265707969666	Κιναῖοι ; 0.4372560381889343	βασανιστής ; 0.4295423626899719
0.024888371729279102	ἀναγγέλλω	ἀγγελία	ἄγγελος	περίθεσις	ἐπενδύομαι	ἀμφιάζω	ἄγγελος	0	273	15	526	1	2	3	ἀπαγγέλλω ; 0.4524819552898407	ἐξορμάω ; 0.47535327076911926	ἄστρον ; 0.4589586555957794	ἐμπλοκή ; 0.8803640604019165	σκῆνος ; 0.5052013397216797	χορτάζω ; 0.3858709931373596
-0.004227258070729434	σπείρω	ἀροτριάω	ἐγκεντρίζω	ἀναβλέπω	βλέπω	ὁρατός	ἐγκεντρίζω	0	113	18	7	60	266	5	σπόριμος ; 0.4604476988315582	ἀπόσπασμα ; 0.4291766285896301	ἐξισόω ; 0.4337708353996277	ἀτενίζω ; 0.5669851899147034	ἀνοίγω ; 0.4803731441497803	διασώζω ; 0.4355278015136719
-0.010357901387009871	παροργίζω	παροργισμός	ὀργίζομαι	ἔριον	κόμη	κρανίον	παροργίζω	0	60	8	9	13	13	7	ἐκπειράζω ; 0.47543346881866455	τρυφάνω ; 0.39900994300842285	ἐξόλλυμι ; 0.39568576216697693	προαιτιάομαι ; 0.40758898854255676	σερσερωθ ; 0.4753197729587555	Σασαβασαρ ; 0.4142313003540039
-0.11397262075167164	παραχειμάζω	ἔτος	φθινοπωρινός	θορυβάζω	θορυβέω	μεριμνάω	φθινοπωρινός	0	4	766	1	1	10	28	Νικόπολις ; 0.5328558683395386	ἡμέρα ; 0.6205673217773438	ἐπαφρίζω ; 0.618192195892334	γηράω ; 0.4060194492340088	πολλάκις ; 0.45288339257240295	νηστός ; 0.4468117654323578
0.1272575435155041	χαλκηδών	βήρυλλος	σμάραγδος	βάτος	ἄψινθος	βοτάνη	βοτάνη	1	1	2	12	13	1	17	σάπφιρος ; 0.9541680216789246	χρυσόπρασος ; 0.6118654012680054	σιρικός ; 0.5279533863067627	Μαγεδων ; 0.4171507656574249	Ἄψινθος ; 0.6809072494506836	Δαλουια ; 0.5013084411621094
-0.013644273714179977	χρηματίζω	ἀποκαλύπτω	ἀποκάλυψις	ἕως	παρατείνω	χρονίζω	χρονίζω	1	20	137	21	1710	8	32	παραλλάσσω ; 0.40872442722320557	σκεπάζω ; 0.4415436387062073	ἔπαινος ; 0.451494038105011	ἄχρι ; 0.4635668992996216	χλοηφόρος ; 0.4497212767601013	πλωτός ; 0.48308467864990234
0.2955969170576754	τρεῖς	ἐννέα	τέσσαρες	τοιοῦτος	ὅμοιος	ἔοικα	ἔοικα	1	444	48	289	138	137	4	τρίτος ; 0.5345607399940491	ὀκτώ ; 0.48788461089134216	δύο ; 0.44506320357322693	ἐγγράφω ; 0.4268229305744171	σκώληξ ; 0.4142145812511444	διαιτέω ; 0.496212363243103
0.07605735583849038	ὁπότε	προφθάνω	πάλαι	ἄφιξις	ἀπολύω	ἐξέρχομαι	πάλαι	0	11	20	15	2	100	956	δαιμόνιον ; 0.4556533098220825	ἐκπολεμέω ; 0.43694475293159485	ἄδολος ; 0.440713495016098	ἀκροατήριον ; 0.46023038029670715	οἰκειόω ; 0.4175703525543213	ἐκπορεύομαι ; 0.6276963949203491
0.01702097971367894	πλέω	ὑποπλέω	ἀνάγω	ἀποκαλύπτω	ἀποκάλυψις	χρηματίζω	ἀποκάλυψις	1	13	2	136	137	21	20	βλαβερός ; 0.45898789167404175	διαπλέω ; 0.5220100283622742	ἐξάγω ; 0.6220047473907471	σκεπάζω ; 0.4415436387062073	ἔπαινος ; 0.451494038105011	παραλλάσσω ; 0.40872442722320557
