Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
-0.030209266306628985	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	λογίζομαι	0	23	160	117	1	20	41	Νικάνωρ ; 0.2867732644081116	Ονομ ; 0.28849196434020996	παραφρόνιμος ; 0.351899653673172	ἔμμονος ; 0.3334178328514099	ἀγωνία ; 0.2803071439266205	ψαλίς ; 0.26021337509155273
0.07890887961418708	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	λάμπω	0	1	13	8	2	1	3	φωσφόρος ; 0.9243422746658325	ἀνατέλλω ; 0.3060070276260376	ἔμφασις ; 0.31439438462257385	λεμά ; 0.5513713955879211	θά ; 0.9334281086921692	σχισμάς ; 0.3255806565284729
0.04994504839632191	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	προθεσμία	1	7	6	3	3	2	1	τειχέω ; 0.31353193521499634	Οφλα ; 0.3288397192955017	παραβολεύομαι ; 0.2904494106769562	θύννος ; 0.31956541538238525	ἐξέργω ; 0.37699276208877563	Περσική ; 0.32237136363983154
0.08414344037765112	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	ἀλώπηξ	0	31	13	1	13	1	27	ὄνος ; 0.3126736879348755	ὄσσομαι ; 0.2818361818790436	Εσηλ ; 0.34688466787338257	ἀνατέλλω ; 0.3060070276260376	φωσφόρος ; 0.9243422746658325	ἐπιφημί ; 0.3439183831214905
0.05313511556419562	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	πόμα	1	35	2	1	2	2	7	ὀλίγωρος ; 0.2974209487438202	λιβανόω ; 0.34528106451034546	ἄτομος ; 0.3967093825340271	σχοινισμός ; 0.3152022659778595	Αἰνών ; 0.3890986442565918	Χελκατ ; 0.3230748474597931
0.020431002667523818	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	κάλαμος	0	5	40	17	9	2	4	κυρόω ; 0.31586968898773193	διαφανής ; 0.34640946984291077	κατακυρόω ; 0.266079306602478	Ἀκαδήμεια ; 0.28517624735832214	ἐνιαχῇ ; 0.2959093451499939	ἐπιμένω ; 0.3124547600746155
-0.00820763636382188	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	πρωτεύω	0	4	2	7	6	64	45	Μωυσής ; 0.28695929050445557	ἀρχιερατεύω ; 0.34833136200904846	Γοσομ ; 0.2760767340660095	τριακονταμναῖος ; 0.3355223536491394	καθίπταμαι ; 0.26891326904296875	Μούλιος ; 0.31099432706832886
-0.0029336445474694717	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ὑδρία	1	6	2	2	1	25	25	πήγανον ; 0.283974826335907	ἐμαυτός ; 0.28093597292900085	κρήγυος ; 0.3432289958000183	χαλκίον ; 0.5261399745941162	σκηνή ; 0.2553112506866455	ἀμφιάχω ; 0.2824290096759796
-0.0283775192003127	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	παρατείνω	0	8	6	8	137	7	59	Σουλαμῖτις ; 0.3332981467247009	θλάω ; 0.2746644616127014	κρυσταλλίζω ; 0.2812085449695587	Ἐτεόνικος ; 0.28539347648620605	Βερχια ; 0.289522260427475	λογίζομαι ; 0.2548578381538391
0.05419821006889955	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	φθείρω	1	4	3	136	221	1	29	Ἀττάλεια ; 0.33551082015037537	ἐκθεάομαι ; 0.3098317086696625	ἐξάγω ; 0.357941210269928	ἐξαίρω ; 0.32499417662620544	πρόσχυσις ; 0.7782555818557739	κενόω ; 0.261903315782547
