Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.050639788548753006	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	παράπτωμα	1	23	160	117	1	20	41	ἄδηλος ; 0.44765564799308777	διαδείκνυμι ; 0.4870144724845886	πάθος ; 0.44186344742774963	χθονοτρεφής ; 0.5591461062431335	πυριγενέτης ; 0.4849432706832886	ἁμαρτία ; 0.4750671088695526
0.01820364144485287	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	ἐκλάμπω	0	1	13	8	2	1	3	φωσφόρος ; 0.774979829788208	προσκόπτω ; 0.4479398727416992	διασκευή ; 0.46306031942367554	ἠλί ; 0.5461041927337646	θά ; 0.7806535363197327	προέχω ; 0.4411560297012329
0.058055411484650155	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	εὐκαιρέω	1	7	6	3	3	2	1	τελέω ; 0.5010179281234741	τηγάνος ; 0.4521416425704956	ἰσηγορία ; 0.4492603838443756	σκοτομήνιος ; 0.46498310565948486	δεσμοφύλαξ ; 0.4789363145828247	δημιουργέω ; 0.4557991623878479
0.05321964728531897	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	ἀλώπηξ	0	31	13	1	13	1	27	ὄνος ; 0.47529929876327515	πολυκοιρανία ; 0.46315163373947144	Ωρηβ ; 0.4964978098869324	προσκόπτω ; 0.4479398727416992	φωσφόρος ; 0.774979829788208	ἐπιφημί ; 0.5455799102783203
-0.0757900995788578	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	ῥιπή	0	35	2	1	2	2	7	σκοτεινός ; 0.4483875632286072	ἰωή ; 0.4936532974243164	ἄτομος ; 0.5869659185409546	ἐξηχέομαι ; 0.467041015625	Λιμήν ; 0.4985034465789795	παλάθης ; 0.4148866534233093
0.007894255858105825	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	βοτάνη	0	5	40	17	9	2	4	καλάμινος ; 0.4612087905406952	πλατεῖα ; 0.4716240167617798	ὑπηνήτης ; 0.417585551738739	ὑπεραγαπάω ; 0.42914873361587524	ἀνατίθημι ; 0.43960464000701904	νομεύς ; 0.44437530636787415
0.028123492922303206	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	πρωτοστάτης	0	4	2	7	6	64	45	σκύβαλον ; 0.4817390441894531	ἐμβολή ; 0.4406706690788269	θεσμός ; 0.4885895848274231	ὑποτοπέω ; 0.4123225510120392	κρίνον ; 0.4281426668167114	σύλλογος ; 0.4269866347312927
0.04258980123224326	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ἀναζάω	0	6	2	2	1	25	25	Ἀμυδών ; 0.42998456954956055	ἐπεργασία ; 0.48224613070487976	ἱππόδαμος ; 0.4594099223613739	χαλκίον ; 0.5798656940460205	κνισός ; 0.5509807467460632	πλοῖον ; 0.42715969681739807
-0.017854130380698052	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	παρατείνω	0	8	6	8	137	7	59	Ἀρετή ; 0.49374547600746155	ἐπιεικεύομαι ; 0.4425196647644043	ὑποπίνω ; 0.4380042254924774	Παναίτιος ; 0.46612250804901123	Κάϊν ; 0.442551851272583	καθάπτω ; 0.47527509927749634
0.04479374839257094	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	φθείρω	1	4	3	136	221	1	29	Ἆσσος ; 0.5069690942764282	ὑπερνικάω ; 0.5618897676467896	ἐξάγω ; 0.6180288791656494	ἐξαίρω ; 0.6046353578567505	πρόσχυσις ; 0.5618336200714111	ἀπευκτός ; 0.515127420425415
