Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.07746680818817919	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	παράπτωμα	1	23	160	117	1	20	41	συμφέρω ; 0.6243256330490112	περαίνω ; 0.5540812611579895	ὑλοτόμος ; 0.5214532613754272	ἀγοραῖος ; 0.6050591468811035	συμπολεμέω ; 0.5349394083023071	καταλλάσσω ; 0.604343056678772
0.12584339361051927	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	αββα	1	1	13	8	2	1	3	φωσφόρος ; 0.9503064751625061	ἀγραυλέω ; 0.4893072247505188	στολισμός ; 0.550410807132721	λεμά ; 0.8494948148727417	θά ; 0.9663324952125549	συστενάζω ; 0.601526141166687
0.1268804472849016	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	εὐκαιρέω	1	7	6	3	3	2	1	ἱεροσυλία ; 0.5288810729980469	σωφερ ; 0.4994124174118042	ἐντιναγμός ; 0.5297843813896179	Δῆλος ; 0.5540658831596375	ἀκρόαμα ; 0.6439608335494995	κακοπαθέω ; 0.5301153063774109
-0.035062527440360425	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	θρέμμα	0	31	13	1	13	1	27	καμηλοπάρδαλις ; 0.5405573844909668	περικαθαρίζω ; 0.6109752058982849	Χασλωνιιμ ; 0.542023241519928	ἀγραυλέω ; 0.4893072247505188	φωσφόρος ; 0.9503064751625061	πάχος ; 0.6160153150558472
-0.022467956113360388	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	πόμα	1	35	2	1	2	2	7	τυρός ; 0.5178859233856201	Σόδομα ; 0.5454277396202087	ἄτομος ; 0.9541698694229126	ἐξανίστημι ; 0.5817183256149292	Γάζα ; 0.5389100909233093	ποικιλτής ; 0.5512269139289856
0.09669406669159958	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	ἐκλαλέω	1	5	40	17	9	2	4	χάραγμα ; 0.5322564840316772	εὐφημία ; 0.564089298248291	θέρος ; 0.52924644947052	συγκομίζω ; 0.5314176678657532	κατανωτίζομαι ; 0.5620366334915161	Πισιδία ; 0.5438210368156433
0.02659410079322133	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	μεγαλειότης	0	4	2	7	6	64	45	δύσκολος ; 0.5010232925415039	χαλάζα ; 0.5205129384994507	πολιτεύω ; 0.5512089133262634	ὑπερδυναμόω ; 0.6182368397712708	γένημα ; 0.5628726482391357	τρύγητος ; 0.5415118932723999
0.1146788921078637	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ἀγγεῖον	1	6	2	2	1	25	25	μετρίως ; 0.5732049345970154	χιών ; 0.497425377368927	ὅταν ; 0.508804976940155	χαλκίον ; 0.6484450697898865	λαθραίως ; 0.554741382598877	ἔμπνευσις ; 0.5101425647735596
0.0401110838402135	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	παρατείνω	0	8	6	8	137	7	59	Ιεσσαιμου ; 0.5151189565658569	Ἑμμώρ ; 0.4902004599571228	Νεβρωδ ; 0.5539653301239014	ὑγίεια ; 0.5568530559539795	ὑπεράγω ; 0.5553377866744995	καταξιόω ; 0.5336065292358398
0.05743015975666749	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	ὀλοθρεύω	1	4	3	136	221	1	29	Ἀττάλεια ; 0.7070565223693848	διανύω ; 0.7295778393745422	ἐξάγω ; 0.6917216777801514	ἐξαίρω ; 0.6801461577415466	πρόσχυσις ; 0.8742063045501709	κίνησις ; 0.5351287126541138
-0.02037235275387511	κυριακός	αββα	ἄθεος	ἀροτριάω	φυτεύω	γεωργέω	κυριακός	0	2	3	1	18	61	4	Δεμνα ; 0.513873815536499	συστενάζω ; 0.601526141166687	ἀγάπη ; 0.5533055663108826	δράγμα ; 0.5269801616668701	Γαυλων ; 0.49572092294692993	εὐκαιρέω ; 0.5166124701499939
-0.03102111236709504	καιρός	εὔκαιρος	εὐκαιρία	κυριότης	κυριεύω	ἡγεμονεύω	κυριότης	1	570	7	7	4	71	2	ἡμέρα ; 0.5666126012802124	εὐστάθεια ; 0.5355474352836609	πλήμμυρα ; 0.5786006450653076	γέφυρα ; 0.5475231409072876	δίδωμι ; 0.5220736265182495	Κυρήνιος ; 0.7185119390487671
0.005510706174696012	συμπολίτης	συμφυλέτης	λαός	ἀποστολή	εὐαγγελιστής	Μεσσίας	εὐαγγελιστής	1	1	1	2200	15	3	2	συγκληρονόμος ; 0.50606369972229	ἀποδοκιμάζω ; 0.538471519947052	Συμεων ; 0.5757030844688416	νυνί ; 0.5508127212524414	Ἀνδρέας ; 0.5143080949783325	ἴδε ; 0.5181467533111572
-0.011948935665002436	πόνος	πάσχω	συνωδίνω	ἀπόκρυφος	βάθος	κρύπτη	βάθος	1	97	60	1	28	31	1	ἀγνοέω ; 0.5286988615989685	κωλύω ; 0.5573964715003967	συστενάζω ; 0.9508397579193115	περίπατος ; 0.5157613158226013	Θερμα ; 0.565365731716156	καινός ; 0.5279527306556702
-0.0176458956408021	συναπόλλυμαι	ὀλοθρευτής	ὄλεθρος	σαλεύω	ταράσσω	ἔντρομος	συναπόλλυμαι	0	1	1	28	93	135	8	Σάρδεις ; 0.5051946043968201	τυπικῶς ; 0.8811280727386475	στενοχωρία ; 0.5664777755737305	σύμπας ; 0.49840420484542847	πίμπλημι ; 0.5332744121551514	Γαυνι ; 0.5564451217651367
0.17627056532382657	τεκνογονία	ἔγκυος	γένεσις	ἁμαρτία	πταίω	παράπτωμα	πταίω	1	1	2	63	714	20	41	ἀκλινής ; 0.5434831380844116	πυρόπνους ; 0.5616546869277954	ἀχρειότης ; 0.5139758586883545	τρυφάνω ; 0.5426437258720398	συμπολεμέω ; 0.5349394083023071	καταλλάσσω ; 0.604343056678772
0.25718900228673774	ἁμάρτημα	ἁμαρτωλός	παράπτωμα	ἀποπλέω	πλέω	παραπλέω	ἀποπλέω	1	41	226	41	4	13	1	συγκαταβαίνω ; 0.5392184853553772	δίκαιος ; 0.6364390850067139	καταλλάσσω ; 0.604343056678772	Ἀττάλεια ; 0.7070565223693848	ἐπιβοάω ; 0.49665960669517517	χρονοτριβέω ; 0.7009581923484802
-0.02841502057080192	παροργίζω	θυμομαχέω	θυμόομαι	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	θυμομαχέω	0	60	1	1	23	160	4	γνωριστής ; 0.5734286904335022	Βλάστος ; 0.6294729113578796	Σωφαχ ; 0.5577250719070435	συμφέρω ; 0.6243256330490112	περαίνω ; 0.5540812611579895	καθαρός ; 0.5553594827651978
0.03769864062286871	κυριότης	κυριεύω	ἡγεμονία	ἄκανθα	ἀκάνθινος	ἄψινθος	ἄκανθα	1	4	71	8	45	3	1	γέφυρα ; 0.5475231409072876	δίδωμι ; 0.5220736265182495	λακωνικός ; 0.5291327834129333	τρύγητος ; 0.5415118932723999	συγκεραυνόω ; 0.49591538310050964	Ἄψινθος ; 0.7159239053726196
0.03290357305828551	οἷος	ὁμοιόω	τοιοῦτος	ἐνθυμέομαι	διαλογίζομαι	συμβάλλω	οἷος	0	33	54	138	23	28	15	μυστήριον ; 0.5057300925254822	καταρτίζω ; 0.5587642788887024	ἐνάρχομαι ; 0.5585709810256958	συμφέρω ; 0.6243256330490112	τρυφάω ; 0.5402711629867554	προσλαλέω ; 0.5294539928436279
0.07783434490974117	λέπρα	κάμνω	λοιμός	διαχειρίζομαι	σφαγή	κατασφάζω	λέπρα	0	43	8	30	2	27	12	ἄνομος ; 0.5220635533332825	ἀποκαθαρίζω ; 0.5377914905548096	σφάλμα ; 0.4800970256328583	παρηγορία ; 0.4965817332267761	τετρακοσιοστός ; 0.5295446515083313	μόρος ; 0.5390454530715942
0.0630984238152299	ἰσχύω	δύναμαι	δυναμόω	καινός	ἔκπαλαι	πρίν	δύναμαι	0	134	543	6	101	2	73	ἐμμένω ; 0.5285047888755798	οἶδα ; 0.5637387633323669	λίαν ; 0.5910500884056091	κρύπτη ; 0.5279526710510254	συλλογίζομαι ; 0.6235240697860718	πενέω ; 0.583116888999939
0.05337195495615549	οἷος	ὁμοιόω	ὅμοιος	πρωτεύω	μεγιστάν	κυρία	οἷος	0	33	54	137	4	53	10	μυστήριον ; 0.5057300925254822	καταρτίζω ; 0.5587642788887024	ἀναποδισμός ; 0.48656564950942993	δύσκολος ; 0.5010232925415039	Ηλαμ ; 0.5409035086631775	στάμνος ; 0.5255500078201294
0.04551112031954574	ἀναγγέλλω	ἀγγελία	ἄγγελος	περίθεσις	ἐπενδύομαι	ἀμφιάζω	ἄγγελος	0	274	15	526	1	2	3	διαρτάω ; 0.6099721193313599	Ναυαθ ; 0.57563716173172	ἀστήρ ; 0.6018253564834595	ἐμπλοκή ; 0.9196716547012329	σκῆνος ; 0.569258451461792	μόλυνσις ; 0.5333966016769409
-0.03369394059015396	σπείρω	ἀροτριάω	ἐγκεντρίζω	ἀναβλέπω	βλέπω	ὁρατός	ὁρατός	1	113	18	7	60	266	5	συνευωχέομαι ; 0.557555079460144	δράγμα ; 0.5269801616668701	ὑπεξαιρέω ; 0.533782958984375	κάτοικος ; 0.5181294083595276	βρέχω ; 0.4798843264579773	βροτός ; 0.5179888010025024
0.08335259581127102	παροργίζω	παροργισμός	ὀργίζομαι	ἔριον	κόμη	κρανίον	κρανίον	1	60	8	9	13	13	7	γνωριστής ; 0.5734286904335022	ὀδυνάω ; 0.4756946861743927	καταλαμβάνω ; 0.5089123249053955	πλήρης ; 0.5170769095420837	Σουδ ; 0.5607843399047852	ἡμιθανής ; 0.5195592641830444
