Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.07058485845607346	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	παράπτωμα	1	23	160	117	1	20	41	κυδοιμέω ; 0.40252232551574707	ἀροτρίασις ; 0.44225847721099854	εὐλογιστία ; 0.456948459148407	κακοτεχνάομαι ; 0.48293760418891907	στενῶς ; 0.3912486433982849	δικαίωσις ; 0.44693276286125183
0.2203882607002765	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	αββα	1	1	13	8	2	1	3	φωσφόρος ; 0.9006872177124023	ἄμμος ; 0.4748508930206299	ἔνδυσις ; 0.42580446600914	λεμά ; 0.7279553413391113	θά ; 0.8506859540939331	μονογενής ; 0.4431661069393158
-0.001198582345143917	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	εὐκαιρέω	1	7	6	3	3	2	1	πέριξ ; 0.46137529611587524	κόσμιος ; 0.4285816252231598	Ἀμπλιᾶτος ; 0.4908145070075989	χοῖρος ; 0.41968098282814026	ἀκρόαμα ; 0.45204633474349976	Γαιβαα ; 0.455220103263855
-0.010949137716013468	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	ὑποζύγιον	0	31	13	1	13	1	27	ὄνος ; 0.48252421617507935	αὐτοκατάκριτος ; 0.41165414452552795	Ιωδα ; 0.5199682712554932	ἄμμος ; 0.4748508930206299	φωσφόρος ; 0.9006872177124023	ἐπιφημί ; 0.45620623230934143
-0.039287509352097294	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	πόμα	1	35	2	1	2	2	7	περιοικέω ; 0.4857551157474518	Χασλων ; 0.4205380976200104	ἄτομος ; 0.8927173614501953	ἐξηχέομαι ; 0.49095091223716736	Φασοδομιν ; 0.4184505343437195	δειπνέω ; 0.40422123670578003
0.06915034159394012	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	ἐκλαλέω	1	5	40	17	9	2	4	ἐλαιών ; 0.4627647399902344	φράζω ; 0.40115976333618164	Αιναγαλιμ ; 0.4251753091812134	Σελμανα ; 0.43951207399368286	συνακολουθέω ; 0.46966493129730225	νομοδιδάσκαλος ; 0.4800794720649719
0.08093993853588638	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	μεγαλειότης	0	4	2	7	6	64	45	συζώννυμι ; 0.42854371666908264	ὑπεναντίος ; 0.3826156258583069	Βαράκ ; 0.4326798915863037	λοιδορία ; 0.420962393283844	γένημα ; 0.44613325595855713	πόα ; 0.4508664011955261
0.08686345250487748	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ὑδρία	1	6	2	2	1	25	25	ὀλιγόπιστος ; 0.3983703851699829	Σεδδουκ ; 0.43165841698646545	ἐπιλείχω ; 0.4517866373062134	χαλκίον ; 0.5057145953178406	οἰφί ; 0.41728508472442627	κοντός ; 0.4512120485305786
-0.0061222518983075624	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	παρατείνω	0	8	6	8	137	7	59	Σαρια ; 0.39070093631744385	ὑβριστός ; 0.42835456132888794	ταπεινάω ; 0.4040669798851013	μόνον ; 0.49908921122550964	δυνατῶς ; 0.44634872674942017	σύνδουλος ; 0.4126211404800415
0.049766914210002344	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	φθείρω	1	4	3	136	221	1	29	Νέα ; 0.6413523554801941	διανύω ; 0.6583875417709351	ἐξάγω ; 0.6777193546295166	ἐξαίρω ; 0.5411774516105652	πρόσχυσις ; 0.6343388557434082	ἀδικέω ; 0.5078259110450745
