Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
-0.0009889934362133923	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	ἐνθυμέομαι	0	23	160	117	1	20	41	ἀγών ; 0.7432913780212402	ἐμπνέω ; 0.7199548482894897	λυσιτελής ; 0.7432249784469604	ἀγοραῖος ; 0.720167875289917	συγκαθαιρέω ; 0.6647175550460815	καταλλάσσω ; 0.7500331997871399
0.39131636267210457	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	μαράνα	1	1	13	8	2	1	3	φωσφόρος ; 0.8955343961715698	πεδέω ; 0.6886924505233765	ἑτοιμάζω ; 0.7221419811248779	Εὐπάτορα ; 0.685124933719635	θά ; 0.9084364771842957	Ἀλίη ; 0.7085715532302856
0.03402306338763961	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	προθεσμία	1	7	6	3	3	2	1	ὁδόω ; 0.6955356597900391	δασέως ; 0.6680738925933838	συμπαρακαλέομαι ; 0.7547709941864014	Σαλμυδήσσιος ; 0.678390383720398	ἦχος ; 0.6494564414024353	Κῦρπς ; 0.7014947533607483
0.02753374450969781	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	θρέμμα	0	31	13	1	13	1	27	ὄναγρος ; 0.7626323699951172	κώμη ; 0.649298369884491	ἀντλέω ; 0.6810325384140015	πεδέω ; 0.6886924505233765	φωσφόρος ; 0.8955343961715698	οἰ ; 0.7073748111724854
0.141804936401062	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	πόμα	1	35	2	1	2	2	7	κατάφοβοι ; 0.6580655574798584	οἰοιοῖ ; 0.649116575717926	ἄτομος ; 0.6368077993392944	βραχύτης ; 0.6382236480712891	λάφυρον ; 0.6840077042579651	ὀπτήρ ; 0.694334864616394
-0.025931257205543456	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	προσλαλέω	1	5	40	17	9	2	4	Σουσιγενής ; 0.6778613328933716	δείκνυμι ; 0.6695195436477661	εὐπυγία ; 0.6679222583770752	ἀναβιβάζω ; 0.6649492979049683	ἐκκαθαίρω ; 0.7180864810943604	ψευδοδιδάσκαλος ; 0.6719968318939209
0.07477295445584953	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	μεγαλειότης	0	4	2	7	6	64	45	ἄσωτος ; 0.7190284729003906	ἀναλέγω ; 0.6850868463516235	ἔκδοτος ; 0.6672887206077576	ἔνδεσις ; 0.6749118566513062	συμπρόσειμι ; 0.7284090518951416	ὑπολήνιον ; 0.6890717148780823
0.14314883764686537	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ἀγγεῖον	1	6	2	2	1	25	25	θήκη ; 0.6935991048812866	ᾅδης ; 0.688726007938385	Κίμων ; 0.6987583041191101	χαλκίον ; 0.6673392057418823	προδειπνέω ; 0.7020787000656128	φλυαρώδης ; 0.7146652340888977
-0.09775732154997319	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	παρατείνω	0	8	6	8	137	7	59	ἀφθορία ; 0.638157069683075	ἐπιτελέω ; 0.6674683094024658	τελευτή ; 0.6650980710983276	βαιός ; 0.6611086130142212	ὠμότης ; 0.777382493019104	Δημήτριος ; 0.6854766011238098
0.06295922063284987	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	ὀλοθρεύω	1	4	3	136	221	1	29	πρόσοικος ; 0.7105414271354675	κυλισμός ; 0.6803117394447327	ἐξάγω ; 0.7674560546875	ἐξαίρω ; 0.7097760438919067	πρόσχυσις ; 0.7753435969352722	φιλόσπονδος ; 0.7161808013916016
-0.13591210697094674	κυριακός	αββα	ἄθεος	ἀροτριάω	φυτεύω	γεωργέω	κυριακός	0	2	3	1	18	61	4	ὀψέ ; 0.6633424162864685	Ἀλίη ; 0.7085715532302856	προσοράω ; 0.7292400598526001	θήβη ; 0.7209525108337402	Νεμριμ ; 0.6803561449050903	ἀτέλεστος ; 0.6671919226646423
-0.08813540842185186	καιρός	εὔκαιρος	εὐκαιρία	κυριότης	κυριεύω	ἡγεμονεύω	καιρός	0	570	7	7	4	71	2	ἡμέρα ; 0.7747164368629456	ὠμότης ; 0.7109761238098145	ἐνδυναμόω ; 0.71185302734375	κοινολεχής ; 0.6701869964599609	Ενεμασσαρ ; 0.7014319896697998	Αφαιρεμα ; 0.6659955382347107
0.04870039605482168	συμπολίτης	συμφυλέτης	λαός	ἀποστολή	εὐαγγελιστής	Μεσσίας	λαός	0	1	1	2200	15	3	2	Κλεωναί ; 0.7328085899353027	ἔκκρουστος ; 0.6785138845443726	ἔθνος ; 0.6961860060691833	ἀποθηλύνω ; 0.7808923721313477	ἐριθεύομαι ; 0.7289317846298218	νεάνισκος ; 0.6418457627296448
0.015590036289774512	πόνος	πάσχω	συνωδίνω	ἀπόκρυφος	βάθος	κρύπτη	συνωδίνω	0	97	60	1	28	31	1	ὀνειδισμός ; 0.7301577925682068	δυσερμήνευτος ; 0.7330946922302246	συστενάζω ; 0.953794002532959	καταφορά ; 0.6503251791000366	ὀνικός ; 0.7176086902618408	ἐνθένδε ; 0.6829249262809753
-0.044721396257207946	συναπόλλυμαι	ὀλοθρευτής	ὄλεθρος	σαλεύω	ταράσσω	ἔντρομος	συναπόλλυμαι	0	1	1	28	93	135	8	Μακεδονία ; 0.6790235042572021	τυπικῶς ; 0.7518786191940308	πάτριος ; 0.6916158199310303	κινύσσομαι ; 0.6806212663650513	ὑπώπιον ; 0.6803120374679565	ἔργνυμι ; 0.6611639261245728
0.10416308841710098	τεκνογονία	ἔγκυος	γένεσις	ἁμαρτία	πταίω	παράπτωμα	πταίω	1	1	2	63	714	20	41	Σαλαδ ; 0.6607282161712646	Ἀσία ; 0.6909694075584412	Αλιφαλατ ; 0.7311630249023438	παράπτωμα ; 0.7074378728866577	συγκαθαιρέω ; 0.6647175550460815	καταλλάσσω ; 0.7500331997871399
0.20019263244059454	ἁμάρτημα	ἁμαρτωλός	παράπτωμα	ἀποπλέω	πλέω	παραπλέω	ἁμαρτωλός	0	41	226	41	4	13	1	μυδαλέος ; 0.6772477030754089	δίκαιος ; 0.7157449126243591	καταλλάσσω ; 0.7500331997871399	πρόσοικος ; 0.7105414271354675	κατά-ἕζομαι ; 0.6864231824874878	ἀφροντιστέω ; 0.7728862762451172
