Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.06780935139179589	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	παράπτωμα	1	23	160	117	1	20	41	δείδω ; 0.4371451735496521	διαδείκνυμι ; 0.4278796315193176	Αμμανῖτις ; 0.5005195736885071	χθονοτρεφής ; 0.5339300632476807	πλοιάριον ; 0.41364026069641113	ἁμαρτία ; 0.5010667443275452
0.1066642043952119	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	ἐκλάμπω	0	1	13	8	2	1	3	φωσφόρος ; 0.7925704121589661	Ἰθακήσιος ; 0.43648743629455566	δαήρ ; 0.4486679136753082	ἠλί ; 0.5589814186096191	θά ; 0.7818682789802551	Νάννος ; 0.41961976885795593
0.04220054604817536	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	ἀκαίρως	1	7	6	3	3	2	1	θέατρον ; 0.48974621295928955	περιπροχέομαι ; 0.4214628040790558	ὑποδαμνάω ; 0.4391712546348572	σκοτομήνιος ; 0.4519123136997223	γλῶσσα ; 0.4585525095462799	Μαρμηνα ; 0.46028944849967957
0.003953551297757041	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	ἀλώπηξ	0	31	13	1	13	1	27	ὄνος ; 0.46842479705810547	οἱόμαι ; 0.4457840919494629	κοίμημα ; 0.4704461991786957	Ἰθακήσιος ; 0.43648743629455566	φωσφόρος ; 0.7925704121589661	ἐπιφημί ; 0.5177254676818848
-0.026085140422582698	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	πόμα	1	35	2	1	2	2	7	εὐπηγής ; 0.49232327938079834	ἰωή ; 0.47047343850135803	ἄτομος ; 0.5759454369544983	χωρέω ; 0.48103636503219604	καταγγέλλω ; 0.45218971371650696	μήνυτρον ; 0.4686118960380554
-0.03441218215410702	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	βοτάνη	0	5	40	17	9	2	4	σπαρτίον ; 0.44289344549179077	Αἴσιμος ; 0.4658592939376831	αἶσα ; 0.4372408092021942	κερατίνη ; 0.459516704082489	ἀκροατής ; 0.41424739360809326	διαρροθέω ; 0.46716850996017456
0.059969111821077004	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	πρωτοστάτης	0	4	2	7	6	64	45	μοναρχικός ; 0.4931804835796356	παρευθύνω ; 0.453207790851593	καιρός ; 0.4496690034866333	Ἀλύβη ; 0.4180343747138977	γένημα ; 0.44314277172088623	σύλλογος ; 0.46439027786254883
0.058539081195337794	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ὑδρία	1	6	2	2	1	25	25	κεραυνός ; 0.44416093826293945	συννοέω ; 0.47931694984436035	ἱππόδαμος ; 0.4619307518005371	χαλκίον ; 0.54653000831604	κνισός ; 0.4284590482711792	ἐπιστηρίζω ; 0.44334521889686584
-0.021768596359659276	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	παρατείνω	0	8	6	8	137	7	59	ἀπεπιάομαι ; 0.46305567026138306	διαμένω ; 0.4687269330024719	συγγραφή ; 0.419057160615921	ῥῆμα ; 0.47584736347198486	ὑλοτομέω ; 0.4357384443283081	ὑπερβαλλόντως ; 0.48369765281677246
0.15107988582858867	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	φθείρω	1	4	3	136	221	1	29	Κεραμικός ; 0.4957536458969116	ὑπερνικάω ; 0.5176841020584106	ἐξάγω ; 0.5756357908248901	ἐξαίρω ; 0.5608720183372498	πρόσχυσις ; 0.5503926873207092	ἀδικέω ; 0.46810784935951233
