Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
-0.14944214027490133	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	λογισμός	0	23	160	117	1	20	41	μήποτε ; 0.7053252458572388	κακός ; 0.5578798055648804	συνίημι ; 0.6825029253959656	Ασμοδαιος ; 0.44675832986831665	Γαιθαν ; 0.41415053606033325	Χαραδαθ ; 0.5419281721115112
0.011017522675983327	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	αββα	1	1	13	8	2	1	3	φιλαργυρία ; 0.4779723882675171	κοσμοκράτωρ ; 0.437242329120636	ἐπικινέω ; 0.40840470790863037	πολιτάρχης ; 0.3824516534805298	συμπέμπω ; 0.43549656867980957	οὐρέω ; 0.4089609980583191
0.03651971970112483	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	προθεσμία	1	7	6	3	3	2	1	Νεσθα ; 0.4429941773414612	Φαλλους ; 0.4087349474430084	ἴβις ; 0.4426678419113159	ὁμόφρων ; 0.4479577839374542	τίμιος ; 0.39578354358673096	χνοῦν ; 0.4096446633338928
-0.07795844043811034	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	ἐπιφαίνω	1	31	13	1	13	1	27	μόσχος ; 0.8692007064819336	ὑπόνοια ; 0.42323780059814453	ὀσφραίνομαι ; 0.4360966086387634	κοσμοκράτωρ ; 0.437242329120636	φιλαργυρία ; 0.4779723882675171	ἰχθύς ; 0.39225244522094727
-0.015712773394683188	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	ψίξ	1	35	2	1	2	2	7	ἐγκοσμέω ; 0.43002068996429443	Ιεεθ ; 0.462434321641922	Ιεζραηλίτης ; 0.4216281771659851	δημόσιος ; 0.4030105173587799	πνέω ; 0.4861049950122833	φάρμακον ; 0.4005548357963562
0.06898980839447116	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	κάλαμος	0	5	40	17	9	2	4	χυδαῖος ; 0.4106947183609009	μεταμελέω ; 0.4099302589893341	ἀλίσγημα ; 0.41647645831108093	φάρμακον ; 0.8643285036087036	Δαμασκηνός ; 0.4382188022136688	πιαίνω ; 0.40994682908058167
0.01626448353382548	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	χόρτος	1	4	2	7	6	64	45	Εβελμαωλα ; 0.46599292755126953	προπίπτω ; 0.43580007553100586	Ιωαδ ; 0.4198070168495178	διασκιρτάω ; 0.41078105568885803	ταμεῖον ; 0.4172232449054718	λίβανος ; 0.41161641478538513
0.029639508621586597	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ὑδρία	1	6	2	2	1	25	25	πτερνισμός ; 0.39285847544670105	τριημερία ; 0.4163634777069092	Δαβωρ ; 0.4036208391189575	ἔνδοξος ; 0.43883267045021057	ῥαφίς ; 0.42803287506103516	ἐλπίζω ; 0.4251437783241272
-0.010953050854347224	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	συμβαίνω	1	8	6	8	137	7	59	ζωγραφέω ; 0.4330172538757324	Εσδραν ; 0.45104068517684937	καταστέλλω ; 0.3938881754875183	δοκέω ; 0.4825505018234253	ἐγκρυφίας ; 0.41202104091644287	διηγέομαι ; 0.9416871666908264
-0.06928272562917703	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	ἀνάγω	0	4	3	136	221	1	29	τάχιον ; 0.4188111424446106	Σίκιμα ; 0.4050304889678955	ἀδιάκριτος ; 0.49504050612449646	Αισαν ; 0.41082563996315	πυρόπνους ; 0.41588038206100464	ἐκδικήσις ; 0.413387656211853
0.11680557769714667	κυριακός	αββα	ἄθεος	ἀροτριάω	φυτεύω	γεωργέω	αββα	0	2	3	1	18	61	4	Αρισωθ ; 0.4055361747741699	οὐρέω ; 0.4089609980583191	χειρόομαι ; 0.4357571005821228	ὀπωροφυλάκιον ; 0.7916467785835266	ἐλαιών ; 0.9271408915519714	ἐκβράζω ; 0.44527295231819153
0.021297582651699787	καιρός	εὔκαιρος	εὐκαιρία	κυριότης	κυριεύω	ἡγεμονεύω	καιρός	0	570	7	7	4	71	2	ἀβοηθησία ; 0.4234784245491028	στρόφος ; 0.4240037798881531	ἀγριότης ; 0.4446054697036743	ἐπισκοπέω ; 0.3849691152572632	Εγλωμ ; 0.4774072468280792	ξυλόω ; 0.42202335596084595
-0.0154452238042046	συμπολίτης	συμφυλέτης	λαός	ἀποστολή	εὐαγγελιστής	Μεσσίας	ἀποστολή	1	1	1	2200	15	3	2	Αβιμελεχ ; 0.4707540273666382	Φεταια ; 0.42265671491622925	περιβλέπομαι ; 0.4337708353996277	Οδομηρα ; 0.4370271861553192	θρόνος ; 0.4379117786884308	Σαουλ ; 0.44290876388549805
0.1052568743669346	πόνος	πάσχω	συνωδίνω	ἀπόκρυφος	βάθος	κρύπτη	βάθος	1	97	60	1	28	31	1	ἐκπλήσσομαι ; 0.45233744382858276	ἐπαφρίζω ; 0.43521007895469666	Φρααθωνίτης ; 0.5115936994552612	Σαμαρίτης ; 0.4105391204357147	καταδύω ; 0.8784501552581787	λιποθυμέω ; 0.4318808317184448
0.1721576590764497	συναπόλλυμαι	ὀλοθρευτής	ὄλεθρος	σαλεύω	ταράσσω	ἔντρομος	ὀλοθρευτής	0	1	1	28	93	135	8	σύγκλεισμα ; 0.44620680809020996	Αριωργιμ ; 0.41432616114616394	δόκιμος ; 0.44516903162002563	ὑποκάτωθεν ; 0.9284162521362305	ἐνίστημι ; 0.4242943525314331	ἀκολουθία ; 0.37769824266433716
0.06725468231511234	τεκνογονία	ἔγκυος	γένεσις	ἁμαρτία	πταίω	παράπτωμα	τεκνογονία	0	1	2	63	714	20	41	τοκάς ; 0.459070086479187	Γαβααθ ; 0.40146005153656006	προσαποθνῄσκω ; 0.43504008650779724	ἀσέβεια ; 0.5303826332092285	Γαιθαν ; 0.41415053606033325	Χαραδαθ ; 0.5419281721115112
-0.11978875951794793	ἁμάρτημα	ἁμαρτωλός	παράπτωμα	ἀποπλέω	πλέω	παραπλέω	παράπτωμα	0	41	226	41	4	13	1	Φογωρ ; 0.8025960326194763	Ἐμμανουήλ ; 0.4608648419380188	Χαραδαθ ; 0.5419281721115112	τάχιον ; 0.4188111424446106	Φεσηχι ; 0.402573823928833	ἀπειλέω ; 0.4431331753730774
0.0628700342509933	παροργίζω	θυμομαχέω	θυμόομαι	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	θυμόομαι	0	60	1	1	23	160	4	ἐπιτήδευμα ; 0.6976213455200195	αὖλαξ ; 0.4962032437324524	ματαιόφρων ; 0.43914932012557983	μήποτε ; 0.7053252458572388	κακός ; 0.5578798055648804	Ηνγαδδι ; 0.4355178475379944
-0.051376758003634004	κυριότης	κυριεύω	ἡγεμονία	ἄκανθα	ἀκάνθινος	ἄψινθος	κυριεύω	0	4	71	8	45	3	1	ἐπισκοπέω ; 0.3849691152572632	Εγλωμ ; 0.4774072468280792	Ἰωδά ; 0.5086848735809326	λίβανος ; 0.41161641478538513	χόρτος ; 0.40406161546707153	εὖ ; 0.43911153078079224
0.03435947083014651	οἷος	ὁμοιόω	τοιοῦτος	ἐνθυμέομαι	διαλογίζομαι	συμβάλλω	συμβάλλω	1	33	54	138	23	28	15	καταχρίω ; 0.4210057854652405	παρωμίς ; 0.39211711287498474	τέλος ; 0.4440014958381653	μήποτε ; 0.7053252458572388	συνάντημα ; 0.4473680853843689	ἀντιβάλλω ; 0.40605980157852173
0.08147750187388159	λέπρα	κάμνω	λοιμός	διαχειρίζομαι	σφαγή	κατασφάζω	λοιμός	0	43	8	30	2	27	12	Ιεβασαμ ; 0.40940383076667786	Δαρείος ; 0.42965996265411377	φίλημα ; 0.39227530360221863	ἀντίληψις ; 0.40909284353256226	Γοδολια ; 0.49265819787979126	βηθ ; 0.41166025400161743
0.15122870295476426	ἰσχύω	δύναμαι	δυναμόω	καινός	ἔκπαλαι	πρίν	δύναμαι	0	134	543	6	101	2	73	ἀνδρίζομαι ; 0.6034255027770996	σπονδεῖον ; 0.47242802381515503	Σελεμιος ; 0.41713058948516846	ῥήγνυμι ; 0.937063455581665	ἐκβρασμός ; 0.38955312967300415	δῶμα ; 0.7100639343261719
-0.0450129713859182	οἷος	ὁμοιόω	ὅμοιος	πρωτεύω	μεγιστάν	κυρία	ὁμοιόω	0	33	54	137	4	53	10	καταχρίω ; 0.4210057854652405	παρωμίς ; 0.39211711287498474	Εσθαωλαῖοι ; 0.42698580026626587	Εβελμαωλα ; 0.46599292755126953	τολύπη ; 0.411825954914093	ἄρτιος ; 0.38887977600097656
-0.01132503416737024	ἀναγγέλλω	ἀγγελία	ἄγγελος	περίθεσις	ἐπενδύομαι	ἀμφιάζω	ἄγγελος	0	274	15	526	1	2	3	παλαιστή ; 0.42999812960624695	διάστασις ; 0.4089489281177521	τρέχω ; 0.9446540474891663	ἀρχηγός ; 0.4739660620689392	προσαπειλέομαι ; 0.4622618556022644	Νεβελ ; 0.43988102674484253
-0.14677967111461832	σπείρω	ἀροτριάω	ἐγκεντρίζω	ἀναβλέπω	βλέπω	ὁρατός	ἐγκεντρίζω	0	113	18	7	60	266	5	ἀμάω ; 0.9671249389648438	ὀπωροφυλάκιον ; 0.7916467785835266	Ααρα ; 0.4606251120567322	ἐνιαυτός ; 0.6661866307258606	Ιαβνηλ ; 0.4973449110984802	ἀγανακτέω ; 0.49909552931785583
-0.10314468314954423	παροργίζω	παροργισμός	ὀργίζομαι	ἔριον	κόμη	κρανίον	παροργισμός	0	60	8	9	13	13	7	ἐπιτήδευμα ; 0.6976213455200195	κράβαττος ; 0.405753493309021	Ωνι ; 0.4065532386302948	Ιαδινος ; 0.46200233697891235	πίννινος ; 0.4310820698738098	ἠρεμάζων ; 0.39602816104888916
0.008348148264703925	παραχειμάζω	ἔτος	φθινοπωρινός	θορυβάζω	θορυβέω	μεριμνάω	θορυβάζω	1	4	767	1	1	10	28	Βεωρ ; 0.40533941984176636	ὀγδοήκοντα ; 0.515518307685852	Φινω ; 0.4073041081428528	πιστὸς ; 0.47290611267089844	Βαγοι ; 0.42067089676856995	ἀμβλάκημα ; 0.4070494472980499
-0.021065126733812167	χαλκηδών	βήρυλλος	σμάραγδος	βάτος	ἄψινθος	βοτάνη	ἄψινθος	1	1	2	12	13	1	17	ἀντιπαρέρχομαι ; 0.4160115122795105	φυσητήρ ; 0.41215455532073975	Αμαδα ; 0.443848192691803	Φιθων ; 0.39284181594848633	εὖ ; 0.43911153078079224	ἀλίσγημα ; 0.41647645831108093
