Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.015484195294273861	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	ῥᾳδιούργημα	1	23	160	117	1	20	41	μήποτε ; 0.7009941339492798	δόρκων ; 0.5040398240089417	συνίημι ; 0.5628567934036255	συσκοτάζω ; 0.4836845397949219	Ιωαχας ; 0.5014356970787048	παρακομίζω ; 0.5687422752380371
0.037712038837080575	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	αββα	1	1	13	8	2	1	3	φιλαργυρία ; 0.553731381893158	σκέλος ; 0.5341498851776123	ἐπικινέω ; 0.5191450119018555	λογομαχέω ; 0.5791865587234497	λογισμός ; 0.5538252592086792	Ιεουηλ ; 0.543530285358429
0.03102028523034217	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	ἀναφωνέω	0	7	6	3	3	2	1	Ιαλων ; 0.5044231414794922	εὐωδία ; 0.5061324238777161	Γερρηνοί ; 0.5843104124069214	Ἑσλί ; 0.5233187675476074	Ασγαδ ; 0.5010397434234619	διαλοιδόρησις ; 0.5069315433502197
-0.038830366386636506	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	ἐπιφαίνω	1	31	13	1	13	1	27	μόσχος ; 0.8677695989608765	ἀπηλιώτης ; 0.4905865490436554	ἀποδιορίζω ; 0.4822385609149933	σκέλος ; 0.5341498851776123	φιλαργυρία ; 0.553731381893158	ἀνάπτω ; 0.548366904258728
0.02003867580567059	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	ψίξ	1	35	2	1	2	2	7	Σωθελε ; 0.5512391328811646	Αιθαν ; 0.5008927583694458	ἀνήκεστος ; 0.5598862767219543	παραπορεύομαι ; 0.5417271852493286	σαράβαρα ; 0.5400136709213257	συμμιγής ; 0.5201966166496277
0.02963621365765401	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	βοτάνη	0	5	40	17	9	2	4	εἰδέχθεια ; 0.5228555202484131	Δαβρι ; 0.5459073781967163	ὑπερδυναμόω ; 0.48702067136764526	φάρμακον ; 0.756923496723175	ῥοῦς ; 0.5842708945274353	ἀναποδίζω ; 0.5439732074737549
0.02094874286382381	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	χόρτος	1	4	2	7	6	64	45	Νεεμια ; 0.5945594310760498	Περσική ; 0.5190352201461792	κατατάσσω ; 0.5081893801689148	διασκιρτάω ; 0.48781007528305054	διά ; 0.497756689786911	δειλαίνω ; 0.5596483945846558
-0.059620718614845025	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ἐξανάστασις	0	6	2	2	1	25	25	γοητεία ; 0.5334781408309937	Φεριδα ; 0.501636803150177	Δαβωρ ; 0.5377566814422607	Σαχερδονος ; 0.49257099628448486	μετοικία ; 0.5129892826080322	Σεπφωρα ; 0.5167533755302429
0.027762468237268356	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	πρᾶγμα	1	8	6	8	137	7	59	Βαιθαχαρμα ; 0.5279300808906555	Μελχολ ; 0.6077375411987305	Αραβι ; 0.5334348678588867	ἀνταπόδοσις ; 0.5030897855758667	Σαμουιας ; 0.5293630361557007	διηγέομαι ; 0.8271209001541138
-0.07294895751810448	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	ὀλοθρεύω	1	4	3	136	221	1	29	τάσσω ; 0.5178427696228027	ῥιπτω ; 0.5359991192817688	Ρααβια ; 0.5141427516937256	διπλοῦς ; 0.5517663955688477	κωμόπολις ; 0.5401728749275208	κηδεία ; 0.47558772563934326
