Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
-0.1460838035841932	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	λογισμός	0	23	160	117	1	20	41	προσφεύγω ; 0.6675517559051514	φαιδρύνω ; 0.7186092138290405	μνησικακέω ; 0.630513608455658	ὁμόπτερος ; 0.6563135981559753	συμπεριφορά ; 0.7654005289077759	δεσμός ; 0.688880205154419
0.340143743885186	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	αββα	1	1	13	8	2	1	3	φωσφόρος ; 0.9372791051864624	παρίστημι ; 0.7370850443840027	ἐπιτίμησις ; 0.7472158670425415	λεμά ; 0.7391805648803711	θά ; 0.9429197311401367	φυσίωσις ; 0.6772301197052002
0.03660519751581093	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	προσαγωγή	0	7	6	3	3	2	1	Ἰωνάθας ; 0.7007424235343933	δασέως ; 0.7594923973083496	Διοκλῆς ; 0.6883744597434998	Ἀρτεμᾶς ; 0.6084235310554504	ἦχος ; 0.6867033243179321	ἀνανήφω ; 0.6917712688446045
0.10242618533746034	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	ἐπιφαίνω	1	31	13	1	13	1	27	μόσχος ; 0.8277163505554199	ἁλιεύς ; 0.6430074572563171	ἅρπαξ ; 0.7334901690483093	παρίστημι ; 0.7370850443840027	φωσφόρος ; 0.9372791051864624	καταδύω ; 0.689379096031189
0.24343978945567707	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	διατροφή	1	35	2	1	2	2	7	ὁμοθυμαδόν ; 0.7321010828018188	σταυρός ; 0.6799902319908142	ἔκστασις ; 0.6503798961639404	Ἀβαδδών ; 0.6717338562011719	Πελοπόννησος ; 0.6639971733093262	ἄοινος ; 0.6686575412750244
0.20447185925020395	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	προσλαλέω	1	5	40	17	9	2	4	ἐκλογισμός ; 0.6510558724403381	διακοντίζομαι ; 0.7072293162345886	Δαρδάνιων ; 0.6391283869743347	νήπλυτος ; 0.6992752552032471	ἀποδείκνυμι ; 0.7078970670700073	ἀναντιρρήτως ; 0.718929648399353
0.012028104651047866	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	μεγαλειότης	0	4	2	7	6	64	45	περισπασμός ; 0.6696518659591675	ἀμετάθετος ; 0.7288434505462646	νηνέμιος ; 0.6553992033004761	σκοτόεις ; 0.6861982941627502	κατατρώγω ; 0.6537882685661316	Κινησίας ; 0.6580922603607178
0.04675999204827419	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ἐξανάστασις	0	6	2	2	1	25	25	σφυδρόν ; 0.6612843871116638	λοχίζω ; 0.7020363807678223	ἐγώγε ; 0.7158094644546509	ἐπάγω ; 0.7273765802383423	πρίων ; 0.713836669921875	σκοπός ; 0.6388758420944214
-0.032273301076973904	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	παρατείνω	0	8	6	8	137	7	59	κατά-ὑπάρχω ; 0.7101194262504578	κατατείνω ; 0.6568346619606018	παραναλίσκω ; 0.658470630645752	γοῦν ; 0.7192239165306091	ἀγαθότης ; 0.7358706593513489	διηγέομαι ; 0.707818865776062
0.2253668184769459	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	ἐξολεθρεύω	1	4	3	136	221	1	29	ἀπαντάω ; 0.6984507441520691	εὐθυμέω ; 0.6537119150161743	καταδέσμους ; 0.6846250295639038	ἀπογεύω ; 0.6548495292663574	πρόσχυσις ; 0.825743556022644	ἴσχω ; 0.7122503519058228
