Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.06072234023999787	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	πταίω	1	23	160	117	1	20	41	περσική ; 0.3024900555610657	ἐπέρχομαι ; 0.3154368996620178	ἐννόημα ; 0.3113987147808075	ἐδανός ; 0.4284400939941406	εὐρέιος ; 0.2819439768791199	ἔλασις ; 0.2723414897918701
0.13129440517608765	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	μαράνα	1	1	13	8	2	1	3	φωσφόρος ; 0.8313006162643433	στραγγαλίς ; 0.2790813148021698	διαμελίζω ; 0.336170494556427	ἠλί ; 0.5752668976783752	θά ; 0.785700798034668	γυμνασιαρχέω ; 0.35388872027397156
0.023068567713990074	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	εὐκαιρέω	1	7	6	3	3	2	1	ἐφικνέομαι ; 0.30282750725746155	Ωβαδιος ; 0.37318336963653564	οἰνών ; 0.28947216272354126	αἴλινος ; 0.3238586187362671	Σεμριμ ; 0.32825779914855957	νόησις ; 0.3337988257408142
0.049810815393225766	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	θρέμμα	0	31	13	1	13	1	27	ἰκτίν ; 0.32622581720352173	ἀνύπαρκτος ; 0.2800300419330597	ἐπιτερπής ; 0.29853302240371704	στραγγαλίς ; 0.2790813148021698	φωσφόρος ; 0.8313006162643433	ἐπιφημί ; 0.3164268732070923
0.029467927954321682	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	πόμα	1	35	2	1	2	2	7	ἀνυπέρβλητος ; 0.29337015748023987	Δαμοτέλης ; 0.3069620132446289	ζαής ; 0.32872307300567627	δικτυωτός ; 0.38920116424560547	σκέπασμα ; 0.36236572265625	ἀτυράννευτος ; 0.32772135734558105
0.020688842892685022	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	σίναπι	0	5	40	17	9	2	4	σινάπιον ; 0.32041341066360474	κηρύσσω ; 0.31872469186782837	χλωρός ; 0.29451659321784973	εὔσημος ; 0.289554238319397	μαθηματικός ; 0.3767552971839905	λιτανεία ; 0.3590301275253296
-0.015056217537463418	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	πρωτεύω	0	4	2	7	6	64	45	χαλκοπλάστης ; 0.30668556690216064	Ἐτεόκρητες ; 0.33695411682128906	ἐπιλανθάνομαι ; 0.30963173508644104	ἔχρα ; 0.3293311297893524	νησιωτικός ; 0.2957003116607666	βοηλατικός ; 0.2697085738182068
0.054288441243776325	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ἀναζάω	0	6	2	2	1	25	25	πορρώτερον ; 0.3231770098209381	χάρυβδις ; 0.3533957004547119	βιαιότης ; 0.3398887515068054	χαλκίον ; 0.5438910126686096	σφῦρα ; 0.2782469391822815	ἀναπίπτω ; 0.2881038784980774
0.022144477462808648	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	παρατείνω	0	8	6	8	137	7	59	Βελβαιμ ; 0.30851149559020996	πρόλεσχος ; 0.3126585781574249	ψίλωσις ; 0.29696524143218994	ἔθνος ; 0.3143085539340973	ἐπίλυσις ; 0.30333641171455383	διηγέομαι ; 0.2923782467842102
0.13353805954822842	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	φθείρω	1	4	3	136	221	1	29	πλέω ; 0.35390573740005493	βραδέως ; 0.3340144157409668	καταλιθάζω ; 0.3040687143802643	καταδιώκω ; 0.31099438667297363	πρόσχυσις ; 0.6179643273353577	δείδω ; 0.285150408744812
