Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.15608941847441318	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	παράπτωμα	1	23	160	117	1	20	41	μετριάζω ; 0.7027796506881714	πράσσω ; 0.7354779243469238	ἀγνωσία ; 0.8079500198364258	ἀλογίστως ; 0.7127474546432495	συμπολεμέω ; 0.6730343103408813	ἁμαρτία ; 0.7663689255714417
0.4761192730180711	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	μαράνα	1	1	12	8	2	1	3	φωσφόρος ; 0.9805511236190796	ἐνδελεχής ; 0.7225918769836426	λάμπω ; 0.7038334608078003	λεμά ; 0.8714227080345154	θά ; 0.9976834654808044	Τρυφῶσα ; 0.6141354441642761
0.042494069896371	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	προθεσμία	1	7	6	3	3	2	1	κατευφημέω ; 0.6558243036270142	ψαλτῳδέω ; 0.7098486423492432	ἀκηδιάζω ; 0.732347846031189	σπείρω ; 0.7335030436515808	ἀκρόαμα ; 0.6815104484558105	προενάρχομαι ; 0.68489670753479
0.1506628520351604	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	ἀλώπηξ	0	31	13	1	12	1	26	Λωτ ; 0.7383150458335876	ὀστρακώδης ; 0.685656726360321	Μερρα ; 0.6593725085258484	ἐνδελεχής ; 0.7225918769836426	φωσφόρος ; 0.9805511236190796	δέος ; 0.7146674394607544
0.013062973927968291	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	ῥιπή	0	35	2	1	2	2	7	φόβος ; 0.7327063679695129	πυρετός ; 0.6482757329940796	ἄτομος ; 0.9917998313903809	κυνάριον ; 0.7622654438018799	ἐπιποθία ; 0.682906985282898	φιμόω ; 0.7155909538269043
0.06657603091049646	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	βοτάνη	0	5	40	17	9	2	4	κόκκος ; 0.7825617790222168	κλισία ; 0.6803891062736511	χόρτος ; 0.76462721824646	Σαμαιας ; 0.6808159947395325	συμβουλεύω ; 0.7106610536575317	ἐμός ; 0.6337511539459229
0.19970774363026156	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	μεγαλειότης	0	4	2	7	6	64	45	ἐλεφάντων ; 0.7587372064590454	ἐπιφάνεια ; 0.6724646091461182	κτίσις ; 0.7134792804718018	Σοδομῖται ; 0.6470142006874084	βοτάνη ; 0.7646273374557495	κλῆμα ; 0.7556154131889343
0.003943312470364946	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ἀναζάω	0	6	2	2	1	25	25	φυτόν ; 0.7069110870361328	ἱλαστήριον ; 0.6433906555175781	ἔμφοβος ; 0.6884640455245972	χαλκίον ; 0.682708740234375	ὄλυρα ; 0.6583656668663025	ἀδυνάω ; 0.6961537599563599
-0.06027050140575907	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	συστέλλω	0	8	6	8	135	7	58	εὐπορέομαι ; 0.6143779754638672	εὐοδόομαι ; 0.6206771731376648	Αλιμαζονις ; 0.7206454277038574	εὔνοια ; 0.7286704778671265	ἀπρόσκοπος ; 0.7475259304046631	προσκλίνομαι ; 0.7050434350967407
0.0577676293595723	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	ἀποπλέω	0	4	3	136	218	1	29	Σάμος ; 0.701749324798584	ἐπισφαλής ; 0.7288689017295837	ἐξάγω ; 0.8399524688720703	ἐξαναλίσκω ; 0.7337602376937866	πρόσχυσις ; 0.9390187859535217	ἀνώνυμος ; 0.7186577320098877
0.03457592592340347	κυριακός	αββα	ἄθεος	ἀροτριάω	φυτεύω	γεωργέω	αββα	0	2	3	1	18	61	4	ἀσθένεια ; 0.723275363445282	Τρυφῶσα ; 0.6141354441642761	ἐπιθυμητής ; 0.6912975907325745	ἀγριομυρίκη ; 0.6434675455093384	ἄμπελος ; 0.7223790287971497	σπείρω ; 0.645733654499054
