Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.07206324149815552	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	πταίω	1	23	160	117	1	20	41	προσφιλής ; 0.707741916179657	πράσσω ; 0.7561184167861938	κακοήθεια ; 0.7714566588401794	κακοτεχνάομαι ; 0.6495715975761414	ἀνθίστημι ; 0.665510892868042	ἁμαρτία ; 0.807077944278717
0.45282959864660693	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	αββα	1	1	12	8	2	1	3	φωσφόρος ; 0.971106231212616	ἐμβλέπω ; 0.6916439533233643	ἐπισκιάζω ; 0.6836968660354614	ἠλί ; 0.9320643544197083	θά ; 0.9843868613243103	κατατέρπω ; 0.6555386185646057
0.027960162444633063	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	προθεσμία	1	7	6	3	3	2	1	μεγαλωστί ; 0.7077698111534119	περίοδος ; 0.6541839838027954	ἀποκαταλλάσσω ; 0.7934918999671936	διαχλευάζω ; 0.6193797588348389	παραμυθία ; 0.7010922431945801	στρατολογέω ; 0.6535859107971191
0.2304477073286999	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	ἀλώπηξ	0	31	13	1	12	1	26	κάμηλος ; 0.6728719472885132	Μυρσινών ; 0.6771127581596375	πίνω ; 0.7176908254623413	ἐμβλέπω ; 0.6916439533233643	φωσφόρος ; 0.971106231212616	ἐπιπληρέω ; 0.7302892208099365
-0.07676563089921651	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	ῥιπή	0	35	2	1	2	2	7	ἀτιμία ; 0.6953736543655396	συγκάμπτω ; 0.6421172618865967	ἄτομος ; 0.9597528576850891	κυνάριον ; 0.7027392387390137	ἐπιποθία ; 0.7865421772003174	Χελβων ; 0.731834352016449
0.2650435529978726	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	προσλαλέω	1	5	40	17	9	2	4	κόκκος ; 0.7241687774658203	δασύς ; 0.6730784773826599	χόρτος ; 0.8758649826049805	ψευδοπροφητής ; 0.702645480632782	ῥήτωρ ; 0.6609962582588196	μονόομαι ; 0.6937419176101685
0.32466162188292375	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	μεγαλειότης	0	4	2	7	6	64	45	Σουσα ; 0.7055901288986206	ὑποχείριος ; 0.6703742146492004	διοίκησις ; 0.6394474506378174	διανθίζω ; 0.6475107073783875	βοτάνη ; 0.8758649230003357	δρυμός ; 0.7482370138168335
0.16841740238120678	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ἀναζάω	0	6	2	2	1	25	25	φυτόν ; 0.8016330003738403	παράπτωμα ; 0.6129597425460815	οὐδέποτε ; 0.6852613687515259	νάρδος ; 0.7259940505027771	ὑδρία ; 0.7103513479232788	ἀγγεῖον ; 0.7103514671325684
-0.15198285032145253	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	συστέλλω	0	8	6	8	135	7	58	Ιόππη ; 0.7322379946708679	ὑποστολή ; 0.6484789848327637	μαλακία ; 0.7159954905509949	λογισμός ; 0.6910987496376038	στρατεία ; 0.7161802053451538	πολίτης ; 0.6965981125831604
0.09967802596293224	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	ἀποπλέω	0	4	3	136	218	1	29	Παμφυλία ; 0.7319164872169495	ἐπισφαλής ; 0.8489581942558289	ἐξάγω ; 0.7920742034912109	ἐξαίρω ; 0.8245605230331421	παραπλησίως ; 0.7562565207481384	ἦθος ; 0.6573922634124756
