Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.06031114009626254	ἐνθυμέομαι	λογίζομαι	λογισμός	ῥᾳδιούργημα	πταίω	παράπτωμα	ῥᾳδιούργημα	1	23	160	117	1	20	41	ἄσοφος ; 0.5169023871421814	προγράφω ; 0.48482000827789307	προσεπικατατείνω ; 0.4490782618522644	κάλυξ ; 0.4378754198551178	πρόσφημι ; 0.47021645307540894	ἁμαρτία ; 0.51331627368927
0.14817455587356498	διαυγάζω	λάμπω	ἐκλάμπω	ἐλωΐ	μαράνα	αββα	λάμπω	0	1	12	8	2	1	3	φωσφόρος ; 0.9330384135246277	κεῖμαι ; 0.42140841484069824	περικοσμέω ; 0.4742807447910309	λεμά ; 0.6848554015159607	θά ; 0.9658118486404419	ἐπιθυμίαμα ; 0.5013144612312317
0.0665145752858175	ἐπιφωνέω	ἀναφωνέω	προσαγωγή	εὐκαιρέω	ἀκαίρως	προθεσμία	προθεσμία	1	7	6	3	3	2	1	συνεκκομίζω ; 0.4320428967475891	ἀτμός ; 0.42335599660873413	γελαστός ; 0.43047910928726196	ὁμολογουμένως ; 0.4724481999874115	ἐξέργω ; 0.45016488432884216	ἐνόδιος ; 0.46441787481307983
0.043116866011908506	ὑποζύγιον	ἀλώπηξ	θρέμμα	λάμπω	διαυγάζω	ἐπιφαίνω	ἀλώπηξ	0	31	13	1	12	1	26	πανδοχεῖον ; 0.5110346078872681	ἐξικετεύω ; 0.42739272117614746	κακόσπλαγχνος ; 0.44331127405166626	κεῖμαι ; 0.42140841484069824	φωσφόρος ; 0.9330384135246277	ἐπιφημί ; 0.45187613368034363
0.12537905633663848	τρόμος	ἀπομάσσομαι	ῥιπή	ψίξ	διατροφή	πόμα	ῥιπή	0	35	2	1	2	2	7	λόφος ; 0.41855886578559875	λιβανόω ; 0.5225220322608948	ἄτρεστος ; 0.5041977167129517	Ἡρακλῆς ; 0.478074312210083	ποτε ; 0.4616134464740753	ἄστρον ; 0.46468237042427063
0.06536023307430894	σίναπι	κάλαμος	βοτάνη	ἀποφθέγγομαι	ἐκλαλέω	προσλαλέω	ἐκλαλέω	1	5	40	17	9	2	4	προκηρύσσω ; 0.45913970470428467	ψέλιον ; 0.4528360068798065	διαρτάω ; 0.4644968509674072	πολυγηθής ; 0.4999160170555115	ἀποκρύπτω ; 0.4523269832134247	ἑλληνικός ; 0.446875661611557
0.06480603142177871	πρωτεύω	πρωτοστάτης	μεγαλειότης	τρίβολος	χόρτος	ἄκανθα	πρωτοστάτης	0	4	2	7	6	64	45	τέτμον ; 0.4675953984260559	ἀνακηρύσσω ; 0.44149017333984375	Δωδωναῖος ; 0.4255956709384918	συνομοπαθέω ; 0.467543363571167	τρυφάω ; 0.5198856592178345	καταπίπτω ; 0.47583916783332825
0.06680375279029283	συνεγείρω	ἐξανάστασις	ἀναζάω	ξέστης	ἀγγεῖον	ὑδρία	ὑδρία	1	6	2	2	1	25	25	Σαυη ; 0.45934155583381653	τερσαίνω ; 0.430112361907959	Χάρμος ; 0.47749337553977966	χαλκίον ; 0.5514503717422485	ἀνάγραπτος ; 0.46611788868904114	πούς ; 0.42726948857307434
-0.012417441609359592	παρατείνω	βραδύνω	συστέλλω	πρᾶγμα	πληροφορέω	συμβαίνω	παρατείνω	0	8	6	8	135	7	58	πνεύω ; 0.515630841255188	ἁδροσύνη ; 0.4582905173301697	συνθηράω ; 0.43397384881973267	φίλος ; 0.42789196968078613	κατηχέω ; 0.42897480726242065	φίλος ; 0.4295442998409271
0.11851249314327866	ἀποπλέω	πλοῦς	ἀνάγω	ἐξολεθρεύω	ὀλοθρεύω	φθείρω	φθείρω	1	4	3	136	218	1	29	ἐπιδημέω ; 0.42631804943084717	Αγγις ; 0.42865192890167236	ἐξάγω ; 0.681908905506134	ἐξαίρω ; 0.6327875852584839	πρόσχυσις ; 0.8073008060455322	καινοτομέω ; 0.45802879333496094
-0.1308879617561881	κυριακός	αββα	ἄθεος	ἀροτριάω	φυτεύω	γεωργέω	κυριακός	0	2	3	1	18	61	4	ἀγρυπνέω ; 0.43958377838134766	ἐπιθυμίαμα ; 0.5013144612312317	Ουεσβι ; 0.4764954447746277	πρᾶγος ; 0.4505496919155121	λαύρα ; 0.428651362657547	γένημα ; 0.4721252918243408
-0.023935418783232076	καιρός	εὔκαιρος	εὐκαιρία	κυριότης	κυριεύω	ἡγεμονεύω	κυριότης	1	569	7	7	4	71	2	ἡμέρα ; 0.6238417029380798	ὀψώνιον ; 0.47706300020217896	θωδαθα ; 0.4231084883213043	στρογγύλον ; 0.42506343126296997	ᾁδοβάτης ; 0.44434893131256104	ἄφθαρτος ; 0.4901854991912842
-0.0031026610125107212	συμπολίτης	συμφυλέτης	λαός	ἀποστολή	εὐαγγελιστής	Μεσσίας	λαός	0	1	1	2187	15	3	2	Κολοσσαί ; 0.47527268528938293	ἀντίκειμαι ; 0.47895389795303345	Ἰσραήλ ; 0.455548495054245	παραπλέω ; 0.43659353256225586	ὁμότιμος ; 0.5221465826034546	ἰδνόομαι ; 0.47863084077835083
-0.05587366656896231	πόνος	πάσχω	συνωδίνω	ἀπόκρυφος	βάθος	κρύπτη	συνωδίνω	0	96	59	1	28	31	1	Νικόστρατος ; 0.4519592523574829	πράσσω ; 0.44531720876693726	συστενάζω ; 0.952292799949646	σκότος ; 0.47548773884773254	κόλλοψ ; 0.44073837995529175	μόδιος ; 0.4907519817352295
-0.025635716012967935	συναπόλλυμαι	ὀλοθρευτής	ὄλεθρος	σαλεύω	ταράσσω	ἔντρομος	συναπόλλυμαι	0	1	1	27	93	135	8	δέκτωρ ; 0.5001049041748047	τυπικῶς ; 0.8218848705291748	ζημία ; 0.47939181327819824	σείω ; 0.5058680772781372	ἀμφιτειχής ; 0.4461798369884491	ἐκεῖθεν ; 0.450599730014801
0.06418405542893735	τεκνογονία	ἔγκυος	γένεσις	ἁμαρτία	πταίω	παράπτωμα	πταίω	1	1	2	61	711	20	41	Σκοτοῦσα ; 0.45381152629852295	ἑδώλιον ; 0.4313866198062897	συντελής ; 0.46756377816200256	ἁμαρτάνω ; 0.5903163552284241	πρόσφημι ; 0.47021645307540894	ἁμαρτία ; 0.51331627368927
0.09864953024427114	ἁμάρτημα	ἁμαρτωλός	παράπτωμα	ἀποπλέω	πλέω	παραπλέω	ἁμάρτημα	0	41	225	41	4	13	1	ἀνομία ; 0.473613440990448	ἀσεβής ; 0.6123971343040466	ἁμαρτία ; 0.51331627368927	ἐπιδημέω ; 0.42631804943084717	τιμωρία ; 0.46541428565979004	Βούδειον ; 0.4809466004371643
-0.110039622936697	παροργίζω	θυμομαχέω	θυμόομαι	ἐνθυμέομαι	λογίζομαι	ἀναλογίζομαι	θυμομαχέω	0	60	1	1	23	160	4	πιστῶς ; 0.5211948156356812	Βλάστος ; 0.4880416989326477	κατωτέρω ; 0.48267507553100586	ἄσοφος ; 0.5169023871421814	προγράφω ; 0.48482000827789307	περιρρώξ ; 0.4672594368457794
0.011258035044010295	κυριότης	κυριεύω	ἡγεμονία	ἄκανθα	ἀκάνθινος	ἄψινθος	ἡγεμονία	0	4	71	8	45	3	1	στρογγύλον ; 0.42506343126296997	ᾁδοβάτης ; 0.44434893131256104	̓Αθήνη ; 0.4811428189277649	καταπίπτω ; 0.47583916783332825	κυνίδιον ; 0.4710213840007782	Ἄψινθος ; 0.6764364838600159
0.08034812684867643	οἷος	ὁμοιόω	τοιοῦτος	ἐνθυμέομαι	διαλογίζομαι	συμβάλλω	ἐνθυμέομαι	1	33	53	136	23	28	15	ἄκακος ; 0.41764265298843384	μανία ; 0.49626582860946655	πῶς ; 0.4221222996711731	ἄσοφος ; 0.5169023871421814	ἀναγινώσκω ; 0.4391624927520752	ποιέω ; 0.4359409213066101
-0.00878749895392067	λέπρα	κάμνω	λοιμός	διαχειρίζομαι	σφαγή	κατασφάζω	λοιμός	0	43	8	30	2	26	11	ἀναφάλαντος ; 0.45104435086250305	πολυμήλη ; 0.4931134581565857	ἔγγιστα ; 0.42459702491760254	ἀκολούθως ; 0.42683112621307373	ποίμνη ; 0.4267458915710449	Σωσίπατρος ; 0.4492795467376709
0.0704796983121817	ἰσχύω	δύναμαι	δυναμόω	καινός	ἔκπαλαι	πρίν	πρίν	1	132	530	6	101	2	71	μεθέπω ; 0.4606902003288269	οἶδα ; 0.5064995884895325	εἴκω ; 0.4579029679298401	ἠερόεις ; 0.4208807349205017	παρασύρω ; 0.43532124161720276	ἀμφαδόν ; 0.4419609308242798
0.08053999593640049	οἷος	ὁμοιόω	ὅμοιος	πρωτεύω	μεγιστάν	κυρία	μεγιστάν	1	33	53	137	4	52	10	ἄκακος ; 0.41764265298843384	μανία ; 0.49626582860946655	Ἀπόλλων ; 0.4276597499847412	τέτμον ; 0.4675953984260559	σάλπιγξ ; 0.4101327955722809	πρέσβα ; 0.4669797420501709
0.07548753230005845	ἀναγγέλλω	ἀγγελία	ἄγγελος	περίθεσις	ἐπενδύομαι	ἀμφιάζω	ἄγγελος	0	269	15	512	1	2	3	ἀπαγγέλλω ; 0.597592294216156	ἀγέλαστος ; 0.4307781457901001	ἀστήρ ; 0.510682225227356	ἐμπλοκή ; 0.9149312376976013	θᾶττον ; 0.5122255086898804	δύσκωφος ; 0.3961866497993469
0.060555970484900135	σπείρω	ἀροτριάω	ἐγκεντρίζω	ἀναβλέπω	βλέπω	ὁρατός	ἐγκεντρίζω	0	113	18	7	59	263	5	Ἀλεκτρυών ; 0.5515388250350952	πρᾶγος ; 0.4505496919155121	μεγαλοσύνη ; 0.4843120872974396	Ἐδνά ; 0.48126620054244995	ἀνοίγω ; 0.5274826288223267	ἐνάμιλλος ; 0.4362686276435852
-0.0044306964077045485	παροργίζω	παροργισμός	ὀργίζομαι	ἔριον	κόμη	κρανίον	παροργίζω	0	60	8	9	13	11	7	πιστῶς ; 0.5211948156356812	Οἰκλῆς ; 0.443834513425827	ἐμπυριβήτης ; 0.43043988943099976	ὑπένερθε ; 0.4279012978076935	κόμη ; 0.5724352598190308	οἰωνοκτόνος ; 0.4479959309101105
-0.04980178823073145	παραχειμάζω	ἔτος	φθινοπωρινός	θορυβάζω	θορυβέω	μεριμνάω	θορυβέω	1	4	765	1	1	10	28	ἐπιπλέω ; 0.43497127294540405	ἡμέρα ; 0.6294729113578796	ἐπαφρίζω ; 0.5197653770446777	οὐδʼ ; 0.4474093019962311	Φογωρ ; 0.4375050663948059	ὀθνεῖος ; 0.43199700117111206
0.10577668287175046	χαλκηδών	βήρυλλος	σμάραγδος	βάτος	ἄψινθος	βοτάνη	βοτάνη	1	1	2	12	13	1	17	σάπφιρος ; 0.9409655928611755	χρυσόπρασος ; 0.6701165437698364	ἀρχιτελώνης ; 0.49362993240356445	ἐπιδεύομαι ; 0.48538655042648315	Ἄψινθος ; 0.6764364838600159	διαρτάω ; 0.4644968509674072
0.08917494635836115	χρηματίζω	ἀποκαλύπτω	ἀποκάλυψις	ἕως	παρατείνω	χρονίζω	ἀποκάλυψις	0	20	135	21	1705	8	32	ἀνδρηλάτης ; 0.47427287697792053	κρύπτω ; 0.4267547130584717	ἁγιότης ; 0.44036105275154114	εἰς ; 0.5283255577087402	πνεύω ; 0.515630841255188	πυρκαιά ; 0.4200889468193054
0.2982065883519443	τρεῖς	ἐννέα	τέσσαρες	τοιοῦτος	ὅμοιος	ἔοικα	ἔοικα	1	444	48	287	136	137	4	δύο ; 0.5891435146331787	μεσόκοιλος ; 0.5057809352874756	δύο ; 0.5297338962554932	πῶς ; 0.4221222996711731	Ἀπόλλων ; 0.4276597499847412	εἰλικρίνεια ; 0.4380105137825012
0.010688896232937783	ὁπότε	προφθάνω	πάλαι	ἄφιξις	ἀπολύω	ἐξέρχομαι	πάλαι	0	11	20	15	2	98	949	ψωμίον ; 0.4995693564414978	ἐκτρίβω ; 0.47654134035110474	δικηφόρος ; 0.43839603662490845	καταβιάζομαι ; 0.4597053527832031	μήτι ; 0.5160905122756958	ἐκπορεύομαι ; 0.645084798336029
0.003112535109491832	πλέω	ὑποπλέω	ἀνάγω	ἀποκαλύπτω	ἀποκάλυψις	χρηματίζω	ἀνάγω	0	13	2	136	135	21	20	τιμωρία ; 0.46541428565979004	Σαλμώνη ; 0.463863730430603	ἐξάγω ; 0.681908905506134	κρύπτω ; 0.4267547130584717	ἁγιότης ; 0.44036105275154114	ἀνδρηλάτης ; 0.47427287697792053
0.027522261408370108	γαζοφυλάκιον	κορβανᾶς	νυμφών	εὐγενής	ὑπεροχή	ἐξοχή	ὑπεροχή	1	30	1	7	11	7	1	Γεννησαρέτ ; 0.44843798875808716	Δόλιος ; 0.49124911427497864	φήρ ; 0.4320914149284363	Περίβοια ; 0.43604159355163574	στομόω ; 0.47318795323371887	ἀκροατήριον ; 0.6821416020393372
0.06868023717967575	ὠδίν	τεκνογονέω	γεννητός	φιλόθεος	φίλανδρος	φιλόστοργος	ὠδίν	0	39	1	7	1	1	2	γαστήρ ; 0.5297815203666687	οἰκοδεσποτέω ; 0.9800006747245789	κτερίσματα ; 0.48013776540756226	φιλήδονος ; 0.8956677317619324	ἀποπειράω ; 0.4499104619026184	ἀποστυγέω ; 0.48032015562057495
-0.0415445098175507	ἀφομοιόω	ἔοικα	οἷος	θορυβέω	μετεωρίζομαι	μέριμνα	ἀφομοιόω	0	1	4	33	10	1	17	εὖθριξ ; 0.5052363872528076	εἰλικρίνεια ; 0.4380105137825012	ἄκακος ; 0.41764265298843384	Φογωρ ; 0.4375050663948059	σῶμα ; 0.4378100335597992	ζωγραφία ; 0.47508591413497925
