Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.056904247966542754	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἡγεμών	0	18	313	20	104	71	8	ἐπᾴδω ; 0.4511202275753021	Ιων ; 0.3860710859298706	τειχίζω ; 0.4067181944847107	Γοωθαμ ; 0.5012903213500977	ἡνία ; 0.42962878942489624	Μαρία ; 0.4148204028606415
0.03429991982127789	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἐκτινάσσω	0	8	35	16	29	42	22	μονόζωνος ; 0.43089061975479126	ἐκψύχω ; 0.48376259207725525	Ιωαβ ; 0.44690507650375366	ἀνθέμιον ; 0.3743792474269867	περίμετρον ; 0.41714125871658325	ἐφίπταμαι ; 0.4258947968482971
0.14168973988951605	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	χρυσόπρασος ; 0.6118654012680054	χαλκηδών ; 0.9541680216789246	σμαράγδινος ; 0.5942802429199219	βηρύλλιον ; 0.754179835319519	σάπφιρος ; 0.9541680216789246	ποικιλτός ; 0.403617262840271
0.09237622427042064	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	28	6	31	5	36	11	ἀπογαλακτίζω ; 0.4477503001689911	κυνικός ; 0.42204028367996216	κατωτάτω ; 0.40749993920326233	Σαλήμ ; 0.4780392348766327	θυμιάω ; 0.421760231256485	ἀπότομος ; 0.42724400758743286
0.006249386378350541	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	κυριακός	0	2	191	1	1	9317	3	ἐξαρτίζω ; 0.4209335446357727	ἀντέχω ; 0.433091938495636	Εὐνίκη ; 0.4983212351799011	θά ; 0.9641013145446777	ἐγώ ; 0.5586824417114258	Ἐδνά ; 0.42738592624664307
-0.017823463068710466	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἔθνος	1	210	6	79	15	15	1173	προσάγω ; 0.557359516620636	πτερυγίον ; 0.4138178825378418	φόβος ; 0.412258505821228	διαλογισμός ; 0.4128744602203369	κατακαλύπτομαι ; 0.4733749330043793	ἀλλότριος ; 0.4033512473106384
0.11397041199015018	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	13	28	1	248	27	1	ἀνατέλλω ; 0.44904130697250366	τροχός ; 0.4819914996623993	φωσφόρος ; 0.9440467357635498	ἐκτρέπω ; 0.49521228671073914	ἐπιφημί ; 0.4704517126083374	χρονοτριβέω ; 0.7112991809844971
0.03230838114788814	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	παντοκράτωρ	1	7	9	6	4488	4	191	μακαριότης ; 0.42347681522369385	κίνησις ; 0.49326080083847046	κραταιότης ; 0.46305400133132935	εἶπον ; 0.5208591222763062	καΐἐκεῖνος ; 0.40528157353401184	ἀντέχω ; 0.433091938495636
0.05659312661883814	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	5	1	3	3	192	1487	Λουιθ ; 0.39575690031051636	ἀμάρτυρος ; 0.5026520490646362	Ταφου ; 0.48271381855010986	μακροήμερος ; 0.6041496396064758	ἀλυπότερος ; 0.3903866708278656	κλίνω ; 0.42639920115470886
0.12250916580664856	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	7	15	299	73	273	47	ψεύδομαι ; 0.41424381732940674	Θεόφιλος ; 0.4004248380661011	γιγνώσκω ; 0.5004241466522217	ἐπίσταμαι ; 0.5230448842048645	ἀπαγγέλλω ; 0.4524819552898407	σχῖνος ; 0.41186991333961487
