Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.08691741138508763	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	μεθερμηνεύω	1	18	313	20	104	71	8	ὑπερεντυγχάνω ; 0.24447527527809143	κατορθόω ; 0.2576894462108612	συναπόλλυμι ; 0.2517898678779602	Γοωθαμ ; 0.32982873916625977	ζημιόω ; 0.26058608293533325	συνοδία ; 0.31647610664367676
0.0006203680117775057	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἐκτινάσσω	0	8	35	16	29	42	22	Ασσουριιμ ; 0.3085424304008484	ὄζος ; 0.3103794455528259	θαυμάζω ; 0.2885708808898926	ἀποτινάσσω ; 0.26206088066101074	κακοπραγία ; 0.27902311086654663	ὑακίνθινος ; 0.272702157497406
0.07214522805126172	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	Ελιαζερ ; 0.6099234223365784	χαλκηδών ; 0.7697615027427673	ὕαλος ; 0.48807424306869507	βηρύλλιον ; 0.7499857544898987	σαρδόνυξ ; 0.8416708111763	ἀποχωρίζω ; 0.29011261463165283
0.05630500792856946	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	28	6	31	5	36	11	σκῶλον ; 0.2616981267929077	πλημμέλημα ; 0.30062514543533325	βάλλω ; 0.28873270750045776	Γαιδαδ ; 0.38534826040267944	ἐπισκευάζω ; 0.2595684230327606	πρῷρα ; 0.3032208979129791
0.0196970791867343	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	βραδύς	1	2	191	1	1	9317	3	πεντηκοστή ; 0.3619864881038666	εὔνους ; 0.28869181871414185	καταπροδίδωμι ; 0.4118361175060272	θά ; 0.8439316749572754	θεός ; 0.3730538487434387	συλλυπέομαι ; 0.3712122440338135
-0.008855930421875768	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἀναστροφή	0	210	6	79	15	15	1173	προσάγω ; 0.3928878903388977	ἀποστερέω ; 0.2723470628261566	λείπω ; 0.30729377269744873	Πάτμος ; 0.29822567105293274	στρόφος ; 0.2776704728603363	δένδρον ; 0.2656571865081787
0.13312767429696215	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	13	28	1	248	27	1	ἀπόλοιπος ; 0.2977789044380188	τροχός ; 0.33299916982650757	φωσφόρος ; 0.8960694074630737	χειραγωγός ; 0.2803301215171814	ἐπιφημί ; 0.4336494207382202	Ζηνᾶς ; 0.4347148537635803
-0.018038036773350974	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	παντοκράτωρ	1	7	9	6	4488	4	191	διαπορέω ; 0.32425427436828613	περιέχω ; 0.274358868598938	Ωβαδιος ; 0.364678293466568	εἶπον ; 0.4467400312423706	ἐπᾴδω ; 0.29274600744247437	εὔνους ; 0.28869181871414185
0.001830548350643113	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	5	1	3	3	192	1487	αἰνιγματιστής ; 0.283051073551178	ταλαίπορος ; 0.3993401825428009	ὑποφαίνω ; 0.45055219531059265	μακροήμερος ; 0.5632046461105347	ἐξανατέλλω ; 0.28170186281204224	ἐντέλλομαι ; 0.36182448267936707
0.07400635664392725	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ἐξηγέομαι	0	7	15	299	73	273	47	συλλογίζω ; 0.2658628821372986	βαΐνη ; 0.2755914330482483	ἀναγγέλλω ; 0.3765537738800049	ἀναγγέλλω ; 0.3629140257835388	ἀπαγγέλλω ; 0.3765537738800049	Γώγ ; 0.28578823804855347
