Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.04588869329312001	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	μεθερμηνεύω	1	18	313	20	104	71	8	κίνημα ; 0.44567811489105225	ἀλκιβιάδες ; 0.41825616359710693	δηναιός ; 0.4684208929538727	Γοωθαμ ; 0.4808935523033142	Κλυταιμήστρα ; 0.4664686918258667	Παρμενίδης ; 0.4562073349952698
0.05741865512553973	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔντρομος	0	8	35	16	29	42	22	ἠχή ; 0.509285032749176	Λαβδάκειος ; 0.4379182457923889	ἀδεής ; 0.4094715416431427	τείνω ; 0.3992308974266052	ἤλεκτρον ; 0.4122316241264343	Μελανίππη ; 0.44564366340637207
0.2612211058053014	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	χρυσόπρασος ; 0.6093192100524902	χαλκηδών ; 0.9254170060157776	σμαράγδινος ; 0.557076096534729	βηρύλλιον ; 0.5924412608146667	σάπφιρος ; 0.9254170060157776	διατροπή ; 0.44362154603004456
0.0794047957674513	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	28	6	31	5	36	11	Δάμιππος ; 0.47652921080589294	ταυροπόλος ; 0.47804421186447144	χοῦς ; 0.48714759945869446	ἀγρότερος ; 0.46991944313049316	δημοτικός ; 0.4259089529514313	ξενολογέω ; 0.5014312267303467
-0.03834265663227637	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	κυριακός	0	2	191	1	1	9317	3	στενάζω ; 0.454112708568573	ὑβρίστρια ; 0.44821757078170776	Ουεσβι ; 0.4951481223106384	θά ; 0.9540284872055054	Μιλήσιος ; 0.517268717288971	Χάρακα ; 0.42674148082733154
0.0029337951982376653	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἀναστροφή	0	210	6	79	15	15	1173	προσάγω ; 0.5720604658126831	δηλόω ; 0.46630364656448364	ἀνάπειρος ; 0.461912602186203	προσπέτομαι ; 0.4101255536079407	κρείσσων ; 0.4491002559661865	Λεοντεύς ; 0.41763660311698914
0.03339930119193907	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	ἐπιφαίνω	0	13	28	1	248	27	1	ἀνατέλλω ; 0.47986751794815063	δάκος ; 0.41132238507270813	φωσφόρος ; 0.9006729125976562	ἀστραπή ; 0.4431871175765991	ἐπιφημί ; 0.536853015422821	ἀποκεφαλίζω ; 0.4909265339374542
-0.01808520357807586	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	λέγω	0	7	9	6	4488	4	191	συκῆ ; 0.4678775370121002	εὐφραντικός ; 0.4321252405643463	μέγεθος ; 0.41023287177085876	εἶπον ; 0.643389105796814	ἀδελφιδῆ ; 0.43904751539230347	ὑβρίστρια ; 0.44821757078170776
0.060631852334739056	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	5	1	3	3	192	1487	ὁρατής ; 0.43419796228408813	Λευκτρικός ; 0.46840009093284607	ἀμφιάζω ; 0.4613826274871826	μακροήμερος ; 0.5886906385421753	ζοφερός ; 0.5221785306930542	Περιθοίδης ; 0.4548047184944153
0.14034176904840465	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	7	15	299	73	273	47	κατέχω ; 0.43317025899887085	παι~ς ; 0.4485127627849579	γιγνώσκω ; 0.4729856252670288	προσρέω ; 0.4928264915943146	γνωρίζω ; 0.5273650884628296	Αδα ; 0.43264496326446533
0.12144993856523373	θορυβάζω	καταπονέω	προσδοκάω	προμεριμνάω	ἀνασκευάζω	δέκα	δέκα	1	1	4	29	1	1	351	λήκυθος ; 0.48729512095451355	ἠχήεις ; 0.42768633365631104	κυνόφρων ; 0.48855748772621155	περιοχή ; 0.4255959391593933	κολωνία ; 0.5129417777061462	εἴκοσι ; 0.5647772550582886
0.03406448509592924	παραχειμασία	θέρος	ἐνιαυτός	χειμών	διετία	βάτος	παραχειμασία	0	1	11	168	13	2	13	ἀνεύθετος ; 0.5370338559150696	κλεψύδρα ; 0.4296632409095764	μήν ; 0.4822552800178528	φανερῶς ; 0.5139046311378479	συγχέω ; 0.4488147795200348	ἐπιδεύομαι ; 0.5050164461135864
0.03327026969120267	ἀπολύω	μεταίρω	ἐκπορεύομαι	ἄφιξις	ἐκχωρέω	βιβρώσκω	ἄφιξις	0	100	6	204	2	5	44	ἀφορμή ; 0.4385349154472351	Καρχηδών ; 0.45115387439727783	ἐξέρχομαι ; 0.514672040939331	ἀφροσύνη ; 0.47665950655937195	Ἐφραίμ ; 0.4240308403968811	ἁλίζω ; 0.47395753860473633
0.018470249643235237	συνωδίνω	πάσχω	παθητός	συγκακοπαθέω	προπάσχω	ἐπιλύω	συνωδίνω	0	1	60	1	2	1	2	συστενάζω ; 0.9362539052963257	ἀνασταυρόω ; 0.526771068572998	Αβεννερ ; 0.44148123264312744	Χελκιος ; 0.4818710684776306	ἑρμηνευτής ; 0.4445717930793762	εἰπόν ; 0.5184204578399658
0.08789575901072533	περιβάλλω	ἱματίζω	ἐνδιδύσκω	περίθεσις	ἐπενδύομαι	ἡγεμών	ἡγεμών	1	94	2	4	1	2	104	ὡραιοῦμαι ; 0.43903660774230957	Αραμιν ; 0.45463940501213074	νηνέμιος ; 0.43563923239707947	ἐμπλοκή ; 0.8677557706832886	θᾶττον ; 0.4804580807685852	Γοωθαμ ; 0.4808935523033142
-0.005437653024896516	πάντοτε	ἑκάστοτε	παροίχομαι	διαγίνομαι	μακρός	ἐπίσημος	παροίχομαι	0	43	1	1	3	37	11	κοινωνία ; 0.45045793056488037	μεταδιαιτέω ; 0.49155527353286743	Λευκτρικός ; 0.46840009093284607	ἀμφιάζω ; 0.4613826274871826	ἐπιτάφιον ; 0.4613313674926758	καυσία ; 0.46497946977615356
-0.06123689457190007	ξενία	ἀνάγαιον	κορβανᾶς	ταμεῖον	ὑπερῷον	ἀγγεῖον	κορβανᾶς	0	4	2	1	4	33	25	μήτ̓ ; 0.4478997588157654	Εμεμαων ; 0.4865187108516693	ιηN ; 0.47808462381362915	αὔρα ; 0.439628005027771	λίβανος ; 0.4664843678474426	διαγινώσκω ; 0.4502730965614319
0.05246724098488137	παράπτωμα	πταίω	προαμαρτάνω	ἁμάρτημα	ῥᾳδιούργημα	συνέχω	πταίω	0	41	20	2	41	1	62	οἰκτιρμός ; 0.4548381567001343	καπηλεύω ; 0.47554484009742737	λάχανον ; 0.4440150260925293	ἀναρχία ; 0.4644559621810913	τάλας ; 0.4785887598991394	ἀποπομπαῖος ; 0.46585404872894287
-0.010329661109752752	δυσεντέριον	πυρέσσω	λέπρα	ἄρρωστος	κάμνω	συμβαίνω	λέπρα	0	1	2	43	7	8	59	Σελλοί ; 0.47337573766708374	καταμηνύω ; 0.5149179100990295	κωπήεις ; 0.458324134349823	πεσσεύω ; 0.48976829648017883	λυπηρός ; 0.47903281450271606	ἐπιλλίζω ; 0.44831791520118713
-0.0006413647216410578	ἔπαυλις	σκηνή	πανδοχεῖον	κατάλυμα	σκήνωμα	πρίν	πανδοχεῖον	0	46	455	1	17	83	73	Εθερ ; 0.4601864516735077	κιβωτός ; 0.4472452700138092	Ιαδιας ; 0.4747775197029114	ἱερόν ; 0.4524269700050354	πόλις ; 0.45593708753585815	ἀμφαδόν ; 0.44939470291137695
