Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.07083457373270224	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἡγεμών	0	18	313	20	104	71	8	ὑετίζω ; 0.42947596311569214	σύννευσις ; 0.41834813356399536	χωρίζω ; 0.4532301425933838	ἀνευρίσκω ; 0.44592970609664917	δώτωρ ; 0.4221443235874176	οὐδεπώποτε ; 0.4474301040172577
0.06417569842163928	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔνδυμα	1	8	35	16	29	42	22	Συριστί ; 0.42598897218704224	σκοτεινός ; 0.4483875632286072	αιδαδ ; 0.4783895015716553	λουτρόν ; 0.4110841155052185	διαρρήγνυμι ; 0.4924747347831726	ὀσφύς ; 0.47023946046829224
0.2643745332002136	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	Ελιαζερ ; 0.6360526084899902	χαλκηδών ; 0.7564532160758972	ἑβδομηκοστός ; 0.47477972507476807	βηρύλλιον ; 0.7076336145401001	Ιαζιηλ ; 0.8223211765289307	Σηλωμ ; 0.43394094705581665
0.13865687534735932	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	28	6	31	5	36	11	μυστήριον ; 0.42793789505958557	κωλύμη ; 0.4366649389266968	μνήμη ; 0.43460720777511597	ἀλάστωρ ; 0.4613535702228546	ἀργός ; 0.4039461016654968	πλαγιάζω ; 0.4473111927509308
-0.02121813016006202	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	ἄθεος	0	2	191	1	1	9317	3	ἀλάβαστρον ; 0.4687827527523041	ἀπερύκω ; 0.4412563443183899	γενεαλογέομαι ; 0.46731865406036377	θά ; 0.7806535363197327	θεός ; 0.4994654059410095	χλεύασμα ; 0.45542359352111816
0.05028959082554163	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἔθνος	1	210	6	79	15	15	1173	φέρω ; 0.5307936668395996	Ἰδαῖε ; 0.4849697947502136	ἐνέρτερος ; 0.4125080108642578	περίσσευμα ; 0.4801446497440338	ἐλασσόω ; 0.4565398693084717	λαός ; 0.5267273783683777
0.055243213751752784	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	13	28	1	248	27	1	προσκόπτω ; 0.4479398727416992	στοργή ; 0.4691696763038635	φωσφόρος ; 0.774979829788208	διανίστημι ; 0.4754437804222107	ἐπιφημί ; 0.5455799102783203	Σκῦρος ; 0.4493904113769531
-0.014954019116848682	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	λέγω	0	7	9	6	4488	4	191	τελέω ; 0.5010179281234741	ὑπεραγαπάω ; 0.42914873361587524	τηγάνος ; 0.4521416425704956	λέγω2 ; 0.5989688634872437	νομεύς ; 0.44437530636787415	ἀπερύκω ; 0.4412563443183899
0.08059339953456124	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	5	1	3	3	192	1487	κάκωσις ; 0.4425155818462372	βρότεος ; 0.4618144631385803	ἁψιμαχέω ; 0.49773257970809937	μακροήμερος ; 0.670682430267334	Ἀπολλῶς ; 0.46370548009872437	ἐντέλλω ; 0.4799511432647705
0.1633636680757509	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	7	15	299	73	273	47	φη ; 0.44428932666778564	περιφράσσω ; 0.3940829336643219	ἀναγγέλλω ; 0.5023372173309326	ἀναγγέλλω ; 0.5071285963058472	διηγέομαι ; 0.5071285963058472	μορφή ; 0.438534677028656
