Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
-0.01322460498175887	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἐξουσιάζω	0	18	313	20	104	71	9	ἐκλοίπω ; 0.4820321500301361	ἀποκρίνομαι ; 0.3903849422931671	Ομμιν ; 0.4201998710632324	συμμετέχω ; 0.44977208971977234	συντρίβω ; 0.4566124677658081	Θεμαδ ; 0.4190170168876648
-0.059832548466277224	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἐκτινάσσω	0	8	35	16	29	42	22	κατακαλύπτω ; 0.40491193532943726	ὠδίνω ; 0.40429189801216125	σεβάζομαι ; 0.41388076543807983	ἐγκαινίζω ; 0.4735419452190399	καλύπτω ; 0.4992581605911255	πεντηκονταετής ; 0.3861514925956726
0.25448365428711167	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	χρυσόπρασος ; 0.6043739318847656	χαλκηδών ; 0.9400714635848999	σμαράγδινος ; 0.5909491777420044	ἀχάτης ; 0.7392470836639404	σάπφιρος ; 0.9400714635848999	σύντριψις ; 0.38881078362464905
0.14415106948011708	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	28	6	31	5	36	11	οὐδαμοῦ ; 0.4218297600746155	ἀθῶος ; 0.3949347138404846	ξηρός ; 0.41263628005981445	πλημμηλέω ; 0.45136892795562744	λύχνος ; 0.4493215084075928	διασπασμός ; 0.45652276277542114
0.058438845357879854	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	κυριακός	0	2	191	1	1	9318	3	ταπεινάω ; 0.43978166580200195	ὅδε ; 0.5035637617111206	ἐπιθυμητής ; 0.47671517729759216	θά ; 0.9646708965301514	ἐγώ ; 0.4526312053203583	ἀκαταμάχητος ; 0.4566056430339813
0.04915776990016785	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἔθνος	1	212	6	79	15	15	1174	προσάγω ; 0.5673710703849792	Ωμαν ; 0.410495400428772	Χαλδαίος ; 0.4349585175514221	συνωμοσία ; 0.4285995364189148	Αμασιαν ; 0.4034799337387085	λαός ; 0.4572177529335022
0.14539545654693153	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	13	28	1	248	27	1	κεῖμαι ; 0.45182061195373535	συριγμός ; 0.4717915654182434	φωσφόρος ; 0.9494842886924744	ἐκτρέπω ; 0.4566957950592041	καταπολεμέω ; 0.4422004222869873	χρονοτριβέω ; 0.7350870370864868
-0.013962200110994027	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	προσλαλέω	0	7	9	6	4491	4	191	εὔσπλαγχνος ; 0.46833983063697815	κίνησις ; 0.43196141719818115	Εϊρωθ ; 0.4978596866130829	εἶπον ; 0.4878251254558563	ἐμπαραγίγνομαι ; 0.4764864444732666	ὅδε ; 0.5035637617111206
0.05356191716681302	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	5	1	3	3	193	1487	πότε ; 0.41537222266197205	ἀμάρτυρος ; 0.5331630706787109	ἀμφιβάλλω ; 0.45549219846725464	μακροήμερος ; 0.5726298093795776	ἀπληστία ; 0.3998253643512726	ἐντέλλομαι ; 0.527050256729126
0.0723230688504238	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ἐξηγέομαι	0	7	15	299	73	274	47	καταδαμάω ; 0.5203235745429993	προτρέπω ; 0.448556125164032	γιγνώσκω ; 0.5011257529258728	συμβάλλω ; 0.40301889181137085	ἀπαγγέλλω ; 0.40545231103897095	εὔθραστος ; 0.455355167388916
0.07743962694543066	θορυβάζω	καταπονέω	προσδοκάω	προμεριμνάω	ἀνασκευάζω	δέκα	προμεριμνάω	0	1	4	29	1	1	351	ἐκστρέφομαι ; 0.48193788528442383	Σωσθένης ; 0.4325306713581085	Ἀρτεμᾶς ; 0.4134948253631592	μεθύσκομαι ; 0.40444475412368774	ἀξιόπιστος ; 0.4243367314338684	εἴκοσι ; 0.5285150408744812
0.02626544213532589	παραχειμασία	θέρος	ἐνιαυτός	χειμών	διετία	βάτος	παραχειμασία	0	1	11	168	13	2	13	ἀγρυπνία ; 0.4075036942958832	ἁλυκός ; 0.44097909331321716	ἑορτή ; 0.4525390565395355	ἀκηδιάω ; 0.38946276903152466	ἀποικίζω ; 0.3954274654388428	τερεμίνθος ; 0.4314107894897461
-0.02587595616951821	ἀπολύω	μεταίρω	ἐκπορεύομαι	ἄφιξις	ἐκχωρέω	βιβρώσκω	ἄφιξις	0	100	6	204	2	5	44	θεάομαι ; 0.4528747797012329	ῥῆσις ; 0.4002441167831421	ἐξέρχομαι ; 0.5534477829933167	ψυχή ; 0.42306071519851685	συμφύομαι ; 0.5048350095748901	Χουνθα ; 0.40324366092681885
0.02743703064375491	συνωδίνω	πάσχω	παθητός	συγκακοπαθέω	προπάσχω	ἐπιλύω	συνωδίνω	0	1	60	1	2	1	2	συστενάζω ; 0.9579811096191406	παρακαλύπτομαι ; 0.4348748028278351	Γαλατία ; 0.4074595272541046	γενεαλογία ; 0.48053714632987976	μιμητής ; 0.48654797673225403	πλοῦς ; 0.4801021218299866
0.01768218077876571	περιβάλλω	ἱματίζω	ἐνδιδύσκω	περίθεσις	ἐπενδύομαι	ἡγεμών	ἡγεμών	1	94	2	4	1	2	104	διαρρήγνυμι ; 0.5278080701828003	ταλαντιαῖος ; 0.48589029908180237	χλαῖνα ; 0.6047388315200806	ἐμπλοκή ; 0.8926328420639038	ἐνθουσιάζω ; 0.4280163049697876	συμμετέχω ; 0.44977208971977234
0.011025812293090131	πάντοτε	ἑκάστοτε	παροίχομαι	διαγίνομαι	μακρός	ἐπίσημος	ἑκάστοτε	0	43	1	1	3	37	11	εὐάρεστος ; 0.48267805576324463	Ιαους ; 0.4337097108364105	ἀμάρτυρος ; 0.5331630706787109	ἀμφιβάλλω ; 0.45549219846725464	ὑπόκρισις ; 0.4242894649505615	αἴρω ; 0.4809446930885315
-0.05023456879524835	ξενία	ἀνάγαιον	κορβανᾶς	ταμεῖον	ὑπερῷον	ἀγγεῖον	ταμεῖον	0	4	2	1	4	33	25	διάσταλσις ; 0.4107138216495514	γραφίς ; 0.4098774790763855	μεθύσκομαι ; 0.38417530059814453	περικοσμέω ; 0.3908279240131378	ἐκτύπωσις ; 0.45685070753097534	αἰγίδιον ; 0.45058032870292664
0.014095647536655764	παράπτωμα	πταίω	προαμαρτάνω	ἁμάρτημα	ῥᾳδιούργημα	συνέχω	ῥᾳδιούργημα	0	41	20	2	41	1	62	καταλλάσσω ; 0.5009790062904358	συναθροίζω ; 0.3894929587841034	εὐκαιρέω ; 0.41075339913368225	σποδιά ; 0.39658159017562866	ἀγοραῖος ; 0.5907585620880127	κακουχέομαι ; 0.4113871455192566
0.008960836750875167	δυσεντέριον	πυρέσσω	λέπρα	ἄρρωστος	κάμνω	συμβαίνω	κάμνω	0	1	2	43	7	8	59	Ιόππης ; 0.5600086450576782	πυρετός ; 0.5010205507278442	ξύρησις ; 0.41000884771347046	ὑπηρετέω ; 0.4051530361175537	περικατάληπτος ; 0.3942057490348816	συνίστημι ; 0.48281341791152954
0.027484281643885555	ἔπαυλις	σκηνή	πανδοχεῖον	κατάλυμα	σκήνωμα	πρίν	πανδοχεῖον	0	46	455	1	17	83	73	Θαλχα ; 0.4965221881866455	συσκιάζον ; 0.46447837352752686	εἰδώλιον ; 0.5149980783462524	φιλανθρώπως ; 0.4247267246246338	πρώιμος ; 0.4353049695491791	πενέω ; 0.4821951389312744
-0.03464211673312201	πανδοχεῖον	σκηνοποιός	πραιτώριον	βασίλειος	οἶκος	ζῳοποιέω	οἶκος	0	1	1	8	6	2180	11	εἰδώλιον ; 0.5149980783462524	ὁμότεχνος ; 0.7401981353759766	Αρημα ; 0.49209195375442505	ἀποστάζω ; 0.4478422999382019	πόλις ; 0.45818454027175903	Ραφιδιν ; 0.40562552213668823
0.08296425639054994	φέγγος	διαυγάζω	ἐκλάμπω	ἐπιφαίνω	λάμπω	ἀρτιγέννητος	ἐπιφαίνω	0	28	1	8	27	13	1	συριγμός ; 0.4717915654182434	φωσφόρος ; 0.9494842886924744	παράφρων ; 0.4271649122238159	καταπολεμέω ; 0.4422004222869873	κεῖμαι ; 0.45182061195373535	ἄδολος ; 0.6609132289886475
0.3119658791633932	κορβανᾶς	νυμφών	κοιτών	ὑπερῷον	ἀνάγαιον	σωφρονίζω	σωφρονίζω	1	1	7	16	33	2	1	μεθύσκομαι ; 0.38417530059814453	γρηγόρησις ; 0.4310324490070343	θλαδίας ; 0.4134131669998169	ἐκτύπωσις ; 0.45685070753097534	γραφίς ; 0.4098774790763855	καλοδιδάσκαλος ; 0.9159618020057678
0.09725561402362803	λογίζομαι	ἐνθυμέομαι	ἔννοια	ἀναλογίζομαι	διαλογίζομαι	παραχειμάζω	ἔννοια	0	160	23	12	4	28	4	φιλανθρωπία ; 0.5122045278549194	Εὐφράτης ; 0.39520061016082764	προσέχω ; 0.40640130639076233	μετακιρνάομαι ; 0.4490529000759125	κυδοιμέω ; 0.4400442838668823	Νικόπολις ; 0.5256233215332031
0.05956120431009648	ἐλλογέω	καταλέγω	ἰῶτα	χειρόγραφον	ἐπιγραφή	βασίλειος	βασίλειος	1	2	3	1	7	5	6	κῦδος ; 0.4267994463443756	δραχμή ; 0.4135424494743347	νασιφ ; 0.4659826457500458	δόμα ; 0.42568308115005493	τιάρα ; 0.4757711887359619	ἀποστάζω ; 0.4478422999382019
0.12736487880192032	φυτεύω	ἐκριζόω	σπείρω	ἐπισπείρω	γεωργός	καταπέτασμα	καταπέτασμα	1	61	14	113	1	28	44	ἀκοινώνητος ; 0.40107962489128113	ἐπισπουδάζω ; 0.4536486566066742	σπόρος ; 0.43741506338119507	φύλλον ; 0.41438359022140503	Βαλαδαν ; 0.4460034966468811	στάσιμος ; 0.4998282194137573
0.005430006052919822	καταστρώννυμι	ἀναιρέω	διαχειρίζομαι	θανατόω	σφαγή	ἀνάγω	καταστρώννυμι	0	10	112	2	171	27	136	κραταιός ; 0.4254910349845886	διαλλάσσω ; 0.42950674891471863	ὀργίλος ; 0.41939449310302734	τελευτάω ; 0.5200163125991821	συνοράω ; 0.41947251558303833	ἐξάγω ; 0.6338685750961304
