Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.06985285658223866	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	μεθερμηνεύω	1	18	313	20	104	71	9	ἐπικαλύπτω ; 0.4444824755191803	ἐξεγείρω ; 0.4024874269962311	πλειστάκις ; 0.412214457988739	Αζιν ; 0.43279579281806946	πατάσσω ; 0.4622252583503723	χορηγία ; 0.46867525577545166
0.09380010895201052	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἐκτινάσσω	0	8	35	16	29	42	22	ἀκατάκριτος ; 0.42644837498664856	περιοικέω ; 0.4857551157474518	ἐθελοκωφόω ; 0.415094792842865	ἀποτινάσσω ; 0.4009319543838501	διατείνω ; 0.41049277782440186	περισκελής ; 0.44554072618484497
0.14727564124501433	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	ψηφολογέω ; 0.603937566280365	χαλκηδών ; 0.7298107147216797	ὕαλος ; 0.5580776929855347	βηρύλλιον ; 0.7688316106796265	σαρδόνυξ ; 0.8005640506744385	Ησαιας ; 0.4141475558280945
0.12514255327518103	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	28	6	31	5	36	11	μαλακός ; 0.44029903411865234	ἀνταποθνῄσκω ; 0.4017096757888794	ἴχνος ; 0.39490413665771484	Θαρα ; 0.45569053292274475	ἀγριομυρίκη ; 0.4319266080856323	διηθέω ; 0.4271948039531708
0.02175213144495397	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	βραδύς	1	2	191	1	1	9318	3	καταχρύσεα ; 0.448089063167572	ὅδε ; 0.4793144166469574	γενεαλογέομαι ; 0.45524680614471436	θά ; 0.8506859540939331	θεός ; 0.51237952709198	χλεύασμα ; 0.5011336803436279
0.10370124938030612	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἔθνος	1	212	6	79	15	15	1174	ἐνιαύσιος ; 0.5093241930007935	ἀγαθοποιέω ; 0.45060086250305176	σφαλερός ; 0.436207115650177	ἀπολογία ; 0.3889913260936737	πραΰθυμος ; 0.4331657290458679	χώρα ; 0.4655801057815552
0.05847977910763541	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	13	28	1	248	27	1	ἄμμος ; 0.4748508930206299	νῶτος ; 0.4600914716720581	φωσφόρος ; 0.9006872177124023	ἐκτρέπω ; 0.4472496509552002	ἐπιφημί ; 0.45620623230934143	ἐπιβουλή ; 0.4733412265777588
-0.004788585624534214	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	ἀναφωνέω	0	7	9	6	4491	4	191	πέριξ ; 0.46137529611587524	Σελμανα ; 0.43951207399368286	κόσμιος ; 0.4285816252231598	εἶπον ; 0.46875521540641785	νομοδιδάσκαλος ; 0.4800794720649719	ὅδε ; 0.4793144166469574
0.06714717989901003	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	5	1	3	3	193	1487	ὥς ; 0.4259880781173706	χυτήν ; 0.46933627128601074	τίτλος ; 0.4484824538230896	μακροήμερος ; 0.6552935838699341	ὀλίγος ; 0.38510164618492126	ἐντέλλομαι ; 0.503592848777771
0.0955975158857375	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ἐξηγέομαι	0	7	15	299	73	274	47	Αροηδις ; 0.40404850244522095	ασαρημωθ ; 0.44646814465522766	γιγνώσκω ; 0.5339478254318237	ἀναγγέλλω ; 0.4555814564228058	γιγνώσκω ; 0.5285052061080933	ἐνθύμησις ; 0.4167364239692688
0.148795190438393	θορυβάζω	καταπονέω	προσδοκάω	προμεριμνάω	ἀνασκευάζω	δέκα	δέκα	1	1	4	29	1	1	351	συγκρύπτω ; 0.500739574432373	ὕψιστε ; 0.4265822172164917	ἐλάττωσις ; 0.47857987880706787	ἐκπερισσῶς ; 0.4062275290489197	ἔνταλμα ; 0.428605854511261	εἴκοσι ; 0.6007921695709229
0.08129106939741398	παραχειμασία	θέρος	ἐνιαυτός	χειμών	διετία	βάτος	βάτος	1	1	11	168	13	2	13	πυρόομαι ; 0.40529656410217285	Ιεριηλ ; 0.4051401615142822	Εφααθ ; 0.4191713333129883	παντοδύναμος ; 0.4701233208179474	Νασαραχ ; 0.46005380153656006	ἐρίφιον ; 0.46258875727653503
0.05847512191798898	ἀπολύω	μεταίρω	ἐκπορεύομαι	ἄφιξις	ἐκχωρέω	βιβρώσκω	ἄφιξις	0	100	6	204	2	5	44	ἀποτόμως ; 0.4328306019306183	μεταβαίνω ; 0.47934815287590027	ἐξέρχομαι ; 0.5718941688537598	σπερματισμός ; 0.4435005187988281	Γαδγαδ ; 0.4551233947277069	πέσσω ; 0.44927138090133667
-0.051764207793022377	συνωδίνω	πάσχω	παθητός	συγκακοπαθέω	προπάσχω	ἐπιλύω	παθητός	0	1	60	1	2	1	2	συστενάζω ; 0.8872517943382263	δέσις ; 0.4014364182949066	κίνδυνος ; 0.4975678324699402	ὁσίως ; 0.4468971788883209	περισσοτέρως ; 0.4613908529281616	Φρυγία ; 0.4938860237598419
0.09259168452070993	περιβάλλω	ἱματίζω	ἐνδιδύσκω	περίθεσις	ἐπενδύομαι	ἡγεμών	ἡγεμών	1	94	2	4	1	2	104	ἐνδύω ; 0.4826805889606476	πτερόν ; 0.4480823874473572	φυλακτήριον ; 0.45361968874931335	ἐμπλοκή ; 0.7011477947235107	πτύελος ; 0.4279595613479614	Αζιν ; 0.43279579281806946
-0.03648678433878694	πάντοτε	ἑκάστοτε	παροίχομαι	διαγίνομαι	μακρός	ἐπίσημος	πάντοτε	0	43	1	1	3	37	11	ἀγάπη ; 0.4062304198741913	Ἆσσος ; 0.4622907042503357	χυτήν ; 0.46933627128601074	τίτλος ; 0.4484824538230896	μακράν ; 0.45803940296173096	Σοῦσα ; 0.40369918942451477
