Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.03768399875237227	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	μεθερμηνεύω	1	18	313	20	104	71	9	εὔκλεια ; 0.2740674614906311	ἀνίημι ; 0.2816418409347534	Δουλιχιόν ; 0.27716267108917236	κοῖτος ; 0.28708553314208984	πλατύτης ; 0.2941432595252991	Ροως ; 0.3123897314071655
-0.009202412453224756	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	σείω	0	8	35	16	29	42	22	Ρεηρωθ ; 0.3447897732257843	συμφύω ; 0.2552328109741211	ῥόπτρον ; 0.28012847900390625	ἀποτινάσσω ; 0.3052809536457062	Ἐλευσῖνι ; 0.2934882640838623	γωνιαῖος ; 0.3297189474105835
0.14436143681081143	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	Ελιαζερ ; 0.49894243478775024	χαλκηδών ; 0.8848721981048584	σμαράγδινος ; 0.42568737268447876	βηρύλλιον ; 0.5899178981781006	σάπφιρος ; 0.8848722577095032	ϝN ; 0.2992352843284607
0.052701229254647486	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἀφανής	0	28	6	31	5	36	11	κῆπος ; 0.2937461733818054	βατταλογέω ; 0.3221680521965027	ἐπίγνωσις ; 0.30548447370529175	ἐπίχαρτος ; 0.2975212335586548	ὁμείρομαι ; 0.29243746399879456	φίλιννα ; 0.3261207938194275
-0.009457329239737411	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	ἄθεος	0	2	191	1	1	9318	3	θηριόν ; 0.36556458473205566	ἀποκρυβή ; 0.29381686449050903	ἀπαλλοτριόομαι ; 0.3437272310256958	θά ; 0.9360270500183105	εὐσύμβλητος ; 0.31674253940582275	Μαναχαθι ; 0.34857311844825745
0.005016383099668231	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἀναστροφή	0	212	6	79	15	15	1174	προσάγω ; 0.390522301197052	ποδάγρα ; 0.2965930104255676	τῆθος ; 0.31984102725982666	εὐχάριστος ; 0.3471594452857971	οἰκιακός ; 0.30972716212272644	Νηριου ; 0.31729158759117126
0.004511405716716987	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	φῶς	0	13	28	1	248	27	1	τριέτης ; 0.260378897190094	τροχός ; 0.28520941734313965	φωσφόρος ; 0.9302740097045898	μειζότερος ; 0.2636454105377197	ἐπιφημί ; 0.4269534945487976	χρονοτριβέω ; 0.3470590114593506
-0.0353924027574809	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	λέγω	0	7	9	6	4491	4	191	πτηνόν ; 0.32250702381134033	γρύζω ; 0.2800605893135071	μιαροφαγέω ; 0.293184757232666	εἶπον ; 0.41071298718452454	ὑπήκοοι ; 0.3232654929161072	ἀποκρυβή ; 0.29381686449050903
-0.011816438152339293	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	διαγίνομαι	0	5	1	3	3	193	1487	ἐνσχολάζω ; 0.32043594121932983	ἀμάρτυρος ; 0.34381303191185	ὀπισθοφανῶς ; 0.36181074380874634	πολυήμερος ; 0.5071967840194702	δυσχάριστος ; 0.30587223172187805	ἐντέλλομαι ; 0.3486047685146332
0.05149466672690112	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	7	15	299	73	274	47	ἐγγίζω ; 0.27559730410575867	χαλκέων ; 0.2911496162414551	εἶπό ; 0.2696768045425415	σφάζω ; 0.2849900722503662	ἄργμα ; 0.27973753213882446	ἀχρηματία ; 0.2609192728996277
