Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.042627060783895554	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἄρχω	0	18	313	20	104	71	9	παρακεῖμαι ; 0.40523043274879456	μισθόω ; 0.4124184846878052	εἰρηνεύω ; 0.4252486228942871	Ελναθαν ; 0.46042925119400024	δώτωρ ; 0.42321258783340454	παλαμναῖος ; 0.43328985571861267
0.023524175986894325	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔνδυμα	1	8	35	16	29	42	22	ἄπωθεν ; 0.4410783350467682	εὐπηγής ; 0.49232327938079834	ἄτομος ; 0.43360912799835205	προσφορέω ; 0.495269238948822	μελετέω ; 0.41571667790412903	σχιστός ; 0.4682406783103943
0.24822655738544613	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	Ελιαζερ ; 0.5937457084655762	χαλκηδών ; 0.7386301755905151	ὕαλος ; 0.5118975639343262	σαρδόνυξ ; 0.7371767163276672	σαρδόνυξ ; 0.8138185739517212	στραγγαλόομαι ; 0.45311176776885986
0.1325720690157109	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	28	6	31	5	36	11	Ἀρίων ; 0.42144858837127686	ὀφθαλμός ; 0.44992050528526306	ξενιτεία ; 0.4294719398021698	παραλλαγή ; 0.4419725239276886	Ἀνδραιμονίδης ; 0.41565439105033875	χερσαῖος ; 0.47017714381217957
0.0698340594487113	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	ἄθεος	0	2	191	1	1	9318	3	ἄχος ; 0.4584497809410095	Κύκλωψ ; 0.44388943910598755	περίειμι ; 0.49004215002059937	θά ; 0.7818682789802551	θεός ; 0.5246423482894897	χλεύασμα ; 0.5557424426078796
0.021110498557567026	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἀναστροφή	0	212	6	79	15	15	1174	φέρω ; 0.567807674407959	Ἰδαῖε ; 0.5119857788085938	συγγενής ; 0.48314058780670166	ἀπαράμυθος ; 0.41527000069618225	ἐλασσόω ; 0.5080074071884155	χώρα ; 0.4541666805744171
-0.002341383006009612	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	13	28	1	248	27	1	Ἰθακήσιος ; 0.43648743629455566	στοργή ; 0.4282054305076599	φωσφόρος ; 0.7925704121589661	ἐπεμβαίνω ; 0.44298940896987915	ἐπιφημί ; 0.5177254676818848	ἐπιμάσσομαι ; 0.4241372346878052
0.009619033185181036	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	ἀναφωνέω	0	7	9	6	4491	4	191	θέατρον ; 0.48974621295928955	κερατίνη ; 0.459516704082489	περιπροχέομαι ; 0.4214628040790558	εἶπον ; 0.528477132320404	διαρροθέω ; 0.46716850996017456	Κύκλωψ ; 0.44388943910598755
0.022997840147428783	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	διαγίνομαι	0	5	1	3	3	193	1487	Φρυνίων ; 0.47711992263793945	ὑλήεις ; 0.4455830752849579	ἀγραυλέω ; 0.49513471126556396	μακροήμερος ; 0.6692731976509094	μύλαξ ; 0.4264155328273773	ἐντέλλομαι ; 0.4864678382873535
0.08874567747746148	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	7	15	299	73	274	47	εὐπορία ; 0.4305519461631775	Ἰσκαριώτης ; 0.4734594225883484	γιγνώσκω ; 0.5071892738342285	πολύχαλκος ; 0.4937736988067627	ἀναμιμνήσκω ; 0.44417208433151245	προαπόλλυμαι ; 0.4505210816860199
0.11065854297309485	θορυβάζω	καταπονέω	προσδοκάω	προμεριμνάω	ἀνασκευάζω	δέκα	προμεριμνάω	0	1	4	29	1	1	351	Φοινίκης ; 0.5313518643379211	ἔμβολον ; 0.49491482973098755	ἐνιζάνω ; 0.4490084648132324	ἐμώ ; 0.4743720293045044	δηϊόω ; 0.47968047857284546	εἴκοσι ; 0.6265615820884705
0.007871047421209865	παραχειμασία	θέρος	ἐνιαυτός	χειμών	διετία	βάτος	διετία	0	1	11	168	13	2	13	Ἄρατος ; 0.43652820587158203	ἔκδηλος ; 0.45020413398742676	ἡμέρα ; 0.469582200050354	μυλικός ; 0.41628411412239075	ὀψώνιον ; 0.43165820837020874	ὑποστρώννυμι ; 0.4675302505493164
0.02073971144610698	ἀπολύω	μεταίρω	ἐκπορεύομαι	ἄφιξις	ἐκχωρέω	βιβρώσκω	ἄφιξις	0	100	6	204	2	5	44	φωλεός ; 0.4595991373062134	πανθυμαδόν ; 0.4690680205821991	ἐξέρχομαι ; 0.5846642851829529	καταβιάζομαι ; 0.44105297327041626	Νοομα ; 0.4652232527732849	πέσσω ; 0.45556870102882385
0.0025207861450776137	συνωδίνω	πάσχω	παθητός	συγκακοπαθέω	προπάσχω	ἐπιλύω	πάσχω	0	1	60	1	2	1	2	συστενάζω ; 0.7946455478668213	ὑποδείκνυμι ; 0.4304462671279907	παρθενοπίπης ; 0.4569205939769745	ἄριστος ; 0.484721302986145	αὐστηρός ; 0.43879735469818115	ἔνθεν ; 0.4696294665336609
0.12615121445288147	περιβάλλω	ἱματίζω	ἐνδιδύσκω	περίθεσις	ἐπενδύομαι	ἡγεμών	ἡγεμών	1	94	2	4	1	2	104	σίρις ; 0.506152868270874	συναπάγομαι ; 0.4880128502845764	ἐπιλησμονή ; 0.4970903694629669	ἐμπλοκή ; 0.6948643326759338	θᾶττον ; 0.5323258638381958	Ελναθαν ; 0.46042925119400024
-0.053001024580342615	πάντοτε	ἑκάστοτε	παροίχομαι	διαγίνομαι	μακρός	ἐπίσημος	πάντοτε	0	43	1	1	3	37	11	ἀγάπη ; 0.4726652204990387	ὄροφος ; 0.46461808681488037	ὑλήεις ; 0.4455830752849579	ἀγραυλέω ; 0.49513471126556396	πλήρωμα ; 0.4427335560321808	̓́Ανθρωπος ; 0.45488691329956055
0.008487095470216033	ξενία	ἀνάγαιον	κορβανᾶς	ταμεῖον	ὑπερῷον	ἀγγεῖον	ἀγγεῖον	1	4	2	1	4	33	25	συμπάρειμι1 ; 0.44175320863723755	τρυφάνω ; 0.49792152643203735	ιηN ; 0.4368101954460144	κατακαυχάομαι ; 0.40511536598205566	ταμιεῖον ; 0.485792338848114	κνισός ; 0.4284590482711792
