Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
-0.0667717061701022	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἄρχω	0	18	313	20	104	71	9	Ναμουηλ ; 0.2935742735862732	ἐρωτάω ; 0.29973986744880676	διαλέγομαι ; 0.26000481843948364	ἀντίληψις ; 0.2903422713279724	Εγλωμ ; 0.4252516031265259	ἐξαρνέομαι ; 0.24938425421714783
-0.034549210458419244	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	τρόμος	0	8	35	16	29	42	22	Αζουρ ; 0.29383185505867004	πολύπλοκος ; 0.26161640882492065	Παθαιος ; 0.25892162322998047	Γαδηρωθ ; 0.27402615547180176	ἐπιστρέφω ; 0.27747842669487	συσσύρω ; 0.2594371736049652
-0.0036574925475033326	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	κρείττων ; 0.3008408546447754	ἐπιχορηγία ; 0.2634751796722412	ἱέρωμα ; 0.28123435378074646	μῶμος ; 0.27318981289863586	Ἑλλάς ; 0.24468253552913666	ἀγγελία ; 0.2453523576259613
0.10432069659900212	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἀφανής	0	28	6	31	5	36	11	Τωβιθ ; 0.250411719083786	εἰκών ; 0.2483818531036377	καταδύω ; 0.8649972081184387	φιλάγαθος ; 0.2829006314277649	Βαλτασαρ ; 0.27166372537612915	Σαττιν ; 0.4766070246696472
-0.10480138089358715	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	μαράνα	0	2	191	1	1	9318	3	διαρρέω ; 0.2818036675453186	ἐκφοβέω ; 0.8653524518013	προσαναφέρω ; 0.2663692235946655	ζήλος ; 0.25483736395835876	σιδηροῦς ; 0.3352217972278595	χλαμύς ; 0.2981422543525696
0.03149018070213483	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	προσφέρω	0	212	6	79	15	15	1174	Μασφε ; 0.26760047674179077	Ἐλεισαῖε ; 0.30989256501197815	δαμάζω ; 0.2700692415237427	ζωγραφία ; 0.26134777069091797	Γεσιωνγαβερ ; 0.2604835629463196	Σελχα ; 0.30426159501075745
-0.04500428200891443	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	φῶς	0	13	28	1	248	27	1	θεομαχέω ; 0.2952839136123657	Σίμων ; 0.2697460651397705	υἱοθεσία ; 0.2710684537887573	δίκη ; 0.781252384185791	γενικός ; 0.2594545781612396	ἀπειλέω ; 0.30048513412475586
0.2014154720755018	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	ἀποφθέγγομαι	0	7	9	6	4491	4	191	πενταπλασίως ; 0.28770774602890015	φάρμακον ; 0.831360936164856	ἀγαθόω ; 0.2728310525417328	τετράς ; 0.26762330532073975	κύων ; 0.2756524980068207	ἐκφοβέω ; 0.8653524518013
0.011775515937389402	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	σχολάζω	0	5	1	3	3	193	1487	δύναμις ; 0.27829599380493164	Γας ; 0.2781175971031189	Ζωελεθ ; 0.3372124135494232	αθουκιιν ; 0.2742270231246948	ἐφέλκω ; 0.4203709661960602	αἰσχύνη ; 0.3336283266544342
0.11421995747127456	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ἀναγγέλλω	0	7	15	299	73	274	47	ἐγχρονίζω ; 0.31055933237075806	ἐννοσσεύω ; 0.2794812321662903	κατακρύπτω ; 0.4336048364639282	συμβαίνω ; 0.952528715133667	δηλόω ; 0.3159577250480652	γενεά ; 0.6747728586196899
0.08242403690231792	θορυβάζω	καταπονέω	προσδοκάω	προμεριμνάω	ἀνασκευάζω	δέκα	δέκα	1	1	4	29	1	1	351	Ἠλίας ; 0.25775647163391113	ἐρημικός ; 0.3106251358985901	τείνω ; 0.2667701542377472	πεινάζω ; 0.2469482421875	Εζεκιου ; 0.2988640367984772	Μεραρι ; 0.3991449177265167
-0.10833244440917561	παραχειμασία	θέρος	ἐνιαυτός	χειμών	διετία	βάτος	διετία	0	1	11	168	13	2	13	Ἀσμοδαῖος ; 0.29555022716522217	πως ; 0.24820229411125183	καρπίζομαι ; 0.7912905216217041	ψογίζω ; 0.2788473963737488	μίμημα ; 0.2796878218650818	ἐξαλλοτριόω ; 0.24925348162651062
0.26511232292380943	ἀπολύω	μεταίρω	ἐκπορεύομαι	ἄφιξις	ἐκχωρέω	βιβρώσκω	ἐκχωρέω	0	100	6	204	2	5	44	μήπω ; 0.2750602960586548	διόλλυμι ; 0.31645137071609497	ὀχυρόω ; 0.5141957402229309	Σαμσαῖος ; 0.2506679594516754	ἀποκλύζω ; 0.26856958866119385	ξηραίνω ; 0.574726939201355
-0.003336529224907736	συνωδίνω	πάσχω	παθητός	συγκακοπαθέω	προπάσχω	ἐπιλύω	προπάσχω	0	1	60	1	2	1	2	παράδειγμα ; 0.26919108629226685	βεβαίωσις ; 0.2852230668067932	Ταβερεμμαν ; 0.30707263946533203	ἀγορά ; 0.2713775634765625	φῶς ; 0.2715713679790497	Ωφαλ ; 0.28338658809661865
-0.05678561302743382	περιβάλλω	ἱματίζω	ἐνδιδύσκω	περίθεσις	ἐπενδύομαι	ἡγεμών	περιβάλλω	0	94	2	4	1	2	104	αἰσχύνη ; 0.9480913877487183	Φαραθωνι ; 0.3359016180038452	διασχίζω ; 0.26507967710494995	ἐκλογιστία ; 0.2769344449043274	Φαλλους ; 0.25662270188331604	ἀντίληψις ; 0.2903422713279724
-0.010718481189667922	πάντοτε	ἑκάστοτε	παροίχομαι	διαγίνομαι	μακρός	ἐπίσημος	πάντοτε	0	43	1	1	3	37	11	εὐαγγελιστής ; 0.2600094974040985	διήγησις ; 0.2891820967197418	Γας ; 0.2781175971031189	Ζωελεθ ; 0.3372124135494232	ὀψέ ; 0.264555424451828	χρυσοχόος ; 0.2813148498535156
-0.018148033553999715	ξενία	ἀνάγαιον	κορβανᾶς	ταμεῖον	ὑπερῷον	ἀγγεῖον	ξενία	0	4	2	1	4	33	25	ἐκψύχω ; 0.26333123445510864	Ανανιας ; 0.306873619556427	πολυοδία ; 0.2786264419555664	σαβαωθ ; 0.2546200752258301	νήπιος ; 0.30744192004203796	παρακαλύπτω ; 0.25475600361824036
0.29966450423191054	παράπτωμα	πταίω	προαμαρτάνω	ἁμάρτημα	ῥᾳδιούργημα	συνέχω	ῥᾳδιούργημα	0	41	20	2	41	1	62	πονηρός ; 0.28385308384895325	Βερχια ; 0.2832961678504944	Εμηρ ; 0.2691376209259033	Φογωρ ; 0.7947131395339966	μειόω ; 0.2593872547149658	θελητής ; 0.8935501575469971
0.21855172027292177	δυσεντέριον	πυρέσσω	λέπρα	ἄρρωστος	κάμνω	συμβαίνω	δυσεντέριον	0	1	2	43	7	8	59	Κοίλη ; 0.29193878173828125	Χωνενιας ; 0.302019327878952	θεμιτός ; 0.2564135193824768	στερεός ; 0.2696775197982788	Ιεχθαηλ ; 0.27314308285713196	διηγέομαι ; 0.9525286555290222
0.14938112213834537	ἔπαυλις	σκηνή	πανδοχεῖον	κατάλυμα	σκήνωμα	πρίν	πανδοχεῖον	0	46	455	1	17	83	73	ἕνδεκα ; 0.4723784029483795	λικμάω ; 0.30616939067840576	αλαιμωθ ; 0.270710825920105	ἰατρεῖον ; 0.2781606614589691	αἰρω ; 0.848190426826477	δῶμα ; 0.6907997131347656
-0.021317269893611268	πανδοχεῖον	σκηνοποιός	πραιτώριον	βασίλειος	οἶκος	ζῳοποιέω	βασίλειος	0	1	1	8	6	2180	11	αλαιμωθ ; 0.270710825920105	λυτρών ; 0.290594220161438	συνθρύπτω ; 0.3044966459274292	ἐμαυτός ; 0.3037927448749542	ἐμπίμπλημι ; 0.30164265632629395	Ελθουλαδ ; 0.27046680450439453
0.0016311672861946125	φέγγος	διαυγάζω	ἐκλάμπω	ἐπιφαίνω	λάμπω	ἀρτιγέννητος	διαυγάζω	0	28	1	8	27	13	1	Σίμων ; 0.2697460651397705	υἱοθεσία ; 0.2710684537887573	Φιδων ; 0.29213011264801025	γενικός ; 0.2594545781612396	θεομαχέω ; 0.2952839136123657	πλατύνω ; 0.26959145069122314
0.018925549641646028	κορβανᾶς	νυμφών	κοιτών	ὑπερῷον	ἀνάγαιον	σωφρονίζω	σωφρονίζω	1	1	7	16	33	2	1	πολυοδία ; 0.2786264419555664	μετοικεσία ; 0.28602999448776245	σισόη ; 0.27278414368629456	νήπιος ; 0.30744192004203796	Ανανιας ; 0.306873619556427	ἐφημερία ; 0.25207075476646423
-0.10683964606093871	λογίζομαι	ἐνθυμέομαι	ἔννοια	ἀναλογίζομαι	διαλογίζομαι	παραχειμάζω	ἔννοια	0	160	23	12	4	28	4	τράχηλος ; 0.5060133934020996	μήποτε ; 0.7072321176528931	Ανα ; 0.27158594131469727	ὑπερέχω ; 0.2969105839729309	ἀλεκτοροφωνία ; 0.25610196590423584	αὐθαιρέτως ; 0.26987677812576294
0.0040054744060910585	ἐλλογέω	καταλέγω	ἰῶτα	χειρόγραφον	ἐπιγραφή	βασίλειος	χειρόγραφον	0	2	3	1	7	5	6	μνησικακέω ; 0.24879975616931915	ἄθυτος ; 0.261159211397171	ζυγός ; 0.28133106231689453	δορκάς ; 0.2557086646556854	Αγαρι ; 0.25364893674850464	ἐμαυτός ; 0.3037927448749542
-0.18969073581698428	φυτεύω	ἐκριζόω	σπείρω	ἐπισπείρω	γεωργός	καταπέτασμα	ἐκριζόω	0	61	14	113	1	28	44	ἐλαιών ; 0.9297144412994385	ἐγκώμιον ; 0.2763477563858032	ἀμάω ; 0.9560627341270447	κάθοδος ; 0.28053754568099976	γεραίρω ; 0.2750926613807678	μεγαλωσύνη ; 0.2806438207626343
0.11658848062485053	καταστρώννυμι	ἀναιρέω	διαχειρίζομαι	θανατόω	σφαγή	ἀνάγω	ἀνάγω	1	10	112	2	171	27	136	Οφνι ; 0.26209715008735657	δώδεκα ; 0.347574919462204	Σαβιν ; 0.2765887677669525	Κόρινθος ; 0.25848931074142456	ἀφυλάκτως ; 0.2657414376735687	διαφυλάσσω ; 0.4215148687362671
-0.026114585090029785	χρυσόλιθος	χρυσόπρασος	σάρδιον	τοπάζιον	χαλκηδών	τρίχινος	χρυσόπρασος	0	4	1	9	6	1	2	μῶμος ; 0.27318981289863586	σκύβαλον ; 0.2593407928943634	Ουβαλ ; 0.26412415504455566	πέμπω ; 0.2733168303966522	Ἑλλάς ; 0.24468253552913666	ῥάπισμα ; 0.2612191438674927
-0.010401227086231868	κατακυριεύω	κατεξουσιάζω	κυριεύω	ἡγεμονεύω	ἡγεμονία	σιτομέτριον	σιτομέτριον	1	20	2	71	2	8	1	διαλέγομαι ; 0.26000481843948364	φοιβάω ; 0.27500802278518677	Εγλωμ ; 0.4252516031265259	παρορμάω ; 0.24667252600193024	κολακεύω ; 0.26604264974594116	καρποφόρος ; 0.25706541538238525
-0.05059916855320909	κατανοέω	λογισμός	ἔννοια	διενθυμέομαι	διαλογίζομαι	κόμη	ἔννοια	0	43	117	12	1	28	13	τέκτων ; 0.26563137769699097	συνίημι ; 0.6663408875465393	Ανα ; 0.27158594131469727	πτύρομαι ; 0.24420002102851868	ἀλεκτοροφωνία ; 0.25610196590423584	συνήθεια ; 0.2935088276863098
0.013976126351650714	φιάλη	θήκη	ἀγγεῖον	ποτήριον	ἄντλημα	βίος	φιάλη	0	47	4	25	64	1	79	Βαλάκ ; 0.27791696786880493	ἀνασχίζω ; 0.2660802900791168	παρακαλύπτω ; 0.25475600361824036	ἀντιμετρέω ; 0.2787834703922272	διάχυσις ; 0.2507348656654358	δαμάζω ; 0.2700692415237427
0.03337088723857018	δίδωμι	προδίδωμι	ἐπιδίδωμι	ἀναδίδωμι	δόμα	ὁρατός	ἀναδίδωμι	0	2545	4	22	3	62	5	δέκα ; 0.289448618888855	Αβεννηρ ; 0.2928011417388916	Βεελσεπφων ; 0.2522975504398346	Βεωρ ; 0.261325478553772	Μελχια ; 0.2779792845249176	Εμεκ ; 0.31803226470947266
-0.001964321634127436	ἔθνος	συμπολίτης	συμφυλέτης	θυγάτηρ	πολιτεία	ἀφανής	ἀφανής	1	1174	1	1	667	10	5	Σελχα ; 0.30426159501075745	ῥαντίζω ; 0.27804088592529297	νεώς ; 0.2790485620498657	ἐπιστρέφω ; 0.27750277519226074	Κυδιως ; 0.26889270544052124	φιλάγαθος ; 0.2829006314277649
0.015111568291973687	βραδύς	μέχρι(ς)	ἕως	συστέλλω	βραδύνω	οἶκος	ἕως	0	3	18	1710	8	6	2180	χλαμύς ; 0.2981422543525696	ἑρπετόν ; 0.29508867859840393	ὁρίζω ; 0.2994440197944641	καί ; 0.3197731375694275	ἄλειμμα ; 0.27481502294540405	ἐμπίμπλημι ; 0.30164265632629395
-0.016453894898086963	ὀργή	θυμόομαι	προσοχθίζω	παροργισμός	ὀργίλος	διατροφή	παροργισμός	0	339	1	23	8	5	2	παρέρχομαι ; 0.37261512875556946	πατριά ; 0.2708982229232788	Ζαβδιας ; 0.27810758352279663	Σαμιρ ; 0.2788882851600647	Ραμεν ; 0.2651863396167755	τρίβω ; 0.3091067969799042
0.023443733848645648	μεγιστάν	κυρία	εὐγενής	ὑπεροχή	ἐξοχή	λάμπω	λάμπω	1	53	10	11	7	1	13	πανοῦργος ; 0.3006672263145447	σύμμαχος ; 0.2999124825000763	ὕαλος ; 0.2608320713043213	περιαιρέω ; 0.27143123745918274	λάτρις ; 0.30166923999786377	θεομαχέω ; 0.2952839136123657
0.021444879689550278	ἀποστολή	προφῆτις	Μεσσίας	ψευδοπροφήτης	ἀπόστολος	φιλαδελφία	ψευδοπροφήτης	0	15	8	2	20	79	9	βλέφαρον ; 0.25613296031951904	σαθρός ; 0.25607120990753174	περιβόλαιον ; 0.2977176904678345	ἥσυχος ; 0.24018773436546326	Εσεβαν ; 0.27292701601982117	Νετωφατι ; 0.2708451747894287
-0.0462381338567196	βοτάνη	κάλαμος	χόρτος	σίναπι	τρίβολος	πατρῷος	κάλαμος	0	17	40	64	5	6	12	ἀγάπη ; 0.29010307788848877	κτίστης ; 0.27375707030296326	ὑπάγω ; 0.2955441176891327	νουθέτησις ; 0.2557971775531769	ἐπικραταιόω ; 0.25041937828063965	κοδράντης ; 0.24459272623062134
