Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.006029785598556214	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	κυριεύω	0	18	313	20	104	71	9	ὡσανεί ; 0.4054774343967438	Σαλαμανασαρ ; 0.4376187324523926	ἔνδειξις ; 0.3920418322086334	Ασιφα ; 0.4156216084957123	Αχσαν ; 0.4788045883178711	ἀνθράκινος ; 0.43793389201164246
-0.08550577797036357	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	τρόμος	0	8	35	16	29	42	22	ἀκολουθία ; 0.37769824266433716	ἐγκοσμέω ; 0.43002068996429443	ἀποθησαυρίζω ; 0.433981716632843	μιαροφαγέω ; 0.4289523959159851	ἀπαραίτητος ; 0.515748918056488	Αδρααζαρ ; 0.39338934421539307
0.0039247571247474355	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	χαλκηδών	0	2	1	8	4	1	4	φυσητήρ ; 0.41215455532073975	ἀντιλοιδορέω ; 0.4212409257888794	διανόημα ; 0.4335283637046814	Γαβηρωθχαμααμ ; 0.4426814913749695	ἀντιπαρέρχομαι ; 0.4160115122795105	Κόρινθος ; 0.500952422618866
0.01130746918997838	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἀφανής	0	28	6	31	5	36	11	Σαμαρίτης ; 0.4105391204357147	φθορά ; 0.39156168699264526	καταδύω ; 0.8201165199279785	κεφαλαιόω ; 0.4526354670524597	περιμένω ; 0.41461271047592163	Αλεφ ; 0.4911804795265198
-0.023753323278561167	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	κυριακός	0	2	191	1	1	9318	3	Αρισωθ ; 0.4055361747741699	ἐκφοβέω ; 0.5197795629501343	χειρόομαι ; 0.4357571005821228	συμπέμπω ; 0.43549656867980957	σύ ; 0.4302248954772949	ἀγκών ; 0.39670926332473755
0.03318128491950001	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	προσφέρω	0	212	6	79	15	15	1174	Ναζαρά ; 0.3993763327598572	αλαιμωθ ; 0.4057013690471649	Δωκ ; 0.4140387773513794	Σαθουρ ; 0.4240739345550537	ἐξίημι ; 0.4198274314403534	Αραχι ; 0.4689018726348877
-0.07423682729887832	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	διαυγάζω	0	13	28	1	248	27	1	Αχσαν ; 0.4432726800441742	λῃστήριον ; 0.4063008725643158	φιλαργυρία ; 0.4779723882675171	δίκη ; 0.630710244178772	ἰχθύς ; 0.39225244522094727	ἀπειλέω ; 0.4431331753730774
-0.00729458481194184	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	ἐπιφωνέω	0	7	9	6	4491	4	191	Νεσθα ; 0.4429941773414612	φάρμακον ; 0.8227332830429077	Φαλλους ; 0.4087349474430084	ἔγκληρος ; 0.41947218775749207	πιαίνω ; 0.40994682908058167	ἐκφοβέω ; 0.5197795629501343
-0.0041473597838447285	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	σχολάζω	0	5	1	3	3	193	1487	Ρωγηλ ; 0.4753835201263428	εἰκότως ; 0.41274410486221313	ἀλήθεια ; 0.42511314153671265	βρόμος ; 0.4399178624153137	τελευτή ; 0.448116660118103	ὀνοκένταυρος ; 0.4351908564567566
0.026713075708410694	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ἐξηγέομαι	0	7	15	299	73	274	47	ἐγχρονίζω ; 0.44656795263290405	χορηγέω ; 0.41698843240737915	Αμισαδαι ; 0.49249881505966187	συμβαίνω ; 0.8627609014511108	δηλόω ; 0.446262925863266	σωτήριον ; 0.5541074872016907
