Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.013104565629161041	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἄρχω	0	18	313	20	104	71	9	δουλαγωγέω ; 0.2879072427749634	ἀναιρέω ; 0.2926511764526367	Εσδρηλων ; 0.2688722610473633	Γοωθαμ ; 0.3397751450538635	ἐκδιώκω ; 0.28560522198677063	Καῦδα ; 0.28730201721191406
-0.04148028171287396	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	σείω	0	8	35	16	29	42	22	Ελισαι ; 0.3135784864425659	προίωξις ; 0.29474735260009766	πισσηρός ; 0.2794966697692871	θρύψις ; 0.2831641435623169	Ἐλευσῖνι ; 0.29372426867485046	τρίχωμα ; 0.2773853540420532
0.13661014465537197	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	χρυσόπρασος ; 0.5337013006210327	χαλκηδών ; 0.907179594039917	βήρυλλος ; 0.3819698095321655	βηρύλλιον ; 0.7419403791427612	σάπφιρος ; 0.9071794748306274	ἀκροατήριον ; 0.3102312684059143
0.09761141813457297	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	28	6	31	5	36	11	Σεϊραμ ; 0.30967897176742554	πολυμερῶς ; 0.3175507187843323	βολβός ; 0.2822321355342865	πτήσσω ; 0.3037387430667877	ψυχαστής ; 0.31588882207870483	Αλεφ ; 0.33469027280807495
-0.052267469006438694	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	κύριος	0	2	191	1	1	9318	3	ἀέξω ; 0.29791951179504395	φιλοπονία ; 0.2688092589378357	φρυάζω ; 0.2851443886756897	θά ; 0.9473810195922852	ὥς ; 0.2812192738056183	βορά ; 0.27537834644317627
-0.04268821863078526	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἀναστροφή	0	212	6	79	15	15	1174	ξυλοφόρος ; 0.3415970802307129	εὐθεώρητος ; 0.2819795310497284	βίος ; 0.6214470863342285	σαυρωτήρ ; 0.2896462678909302	τεός ; 0.29426121711730957	ἀλιτήριος ; 0.29013288021087646
-0.031416487243963453	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	φῶς	0	13	28	1	248	27	1	ἐκφέρω ; 0.31874334812164307	ἔρυμα ; 0.28010329604148865	φωσφόρος ; 0.9343077540397644	Τέλης ; 0.3021101951599121	Ἀνατολή ; 0.301903635263443	διημερεύω ; 0.27722448110580444
-0.04135967512400068	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	προσλαλέω	0	7	9	6	4491	4	191	πτηνόν ; 0.30151286721229553	Ναιμάν ; 0.2656286954879761	Μήδοι ; 0.298675537109375	λέγω2 ; 0.3179965615272522	Ἀσταρτεῖον ; 0.3067372441291809	φιλοπονία ; 0.2688092589378357
-0.026522030777883676	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	παροίχομαι	0	5	1	3	3	193	1487	καταιβάτης ; 0.3055291175842285	λοίσθιος ; 0.3240075707435608	Λασαία ; 0.46493422985076904	πολυήμερος ; 0.503864049911499	τελευτή ; 0.29720351099967957	κατασκέπτομαι ; 0.31679320335388184
0.05501064543770404	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ἐρεύγομαι	0	7	15	299	73	274	47	νεόκτιστος ; 0.28523609042167664	ἀνάγνωσις ; 0.2766883373260498	χλιδάω ; 0.28791484236717224	ἑκουσίως ; 0.27500098943710327	ἐκλύω ; 0.3056992292404175	γενεά ; 0.42426180839538574
