Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.0337756077802131	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	μεθερμηνεύω	1	18	313	20	104	71	9	δόμα ; 0.27175113558769226	διερύκω ; 0.26261985301971436	ἔνδημος ; 0.2730787396430969	Γοωθαμ ; 0.28305256366729736	πενταετηρικός ; 0.298992395401001	Βαριησοῦς ; 0.3116178512573242
0.04911609265454206	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	σείω	0	8	35	16	29	42	22	περιπαθής ; 0.3172762989997864	ἀνυπέρβλητος ; 0.29337015748023987	Ηλωνμαωνενιμ ; 0.33088743686676025	πολύδενδρος ; 0.2792908549308777	ὀβελίσκος ; 0.298814982175827	θώραξ ; 0.3668266534805298
0.16814986728696374	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	χρυσόλιθος ; 0.6265568733215332	χαλκηδών ; 0.730914831161499	σάπφιρος ; 0.40949127078056335	βηρύλλιον ; 0.7399497032165527	σαρδόνυξ ; 0.7883594632148743	ἀριστέω ; 0.3138371706008911
0.08926149357803431	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	28	6	31	5	36	11	Θεολύτη ; 0.2827482223510742	οἴαξ ; 0.29923340678215027	ἐγκάθημαι ; 0.32496780157089233	δημόσιος ; 0.26564478874206543	ἀνεπιτήδειος ; 0.28483909368515015	νομέης ; 0.297024667263031
-0.024375167513625118	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	παντοκράτωρ	0	2	191	1	1	9318	3	τροχάζω ; 0.3338131308555603	ῥῆμα ; 0.29173165559768677	βῶλαξ ; 0.2905421257019043	θά ; 0.785700798034668	μαινάς ; 0.2717335522174835	περιρρηδής ; 0.2731550335884094
0.004084043379899427	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἔθνος	1	212	6	79	15	15	1174	ζύγαστρον ; 0.3342069387435913	βιοτή ; 0.2894834876060486	βίος ; 0.5470055341720581	ὑπακοή ; 0.2910286486148834	μοιχός ; 0.32611337304115295	πρᾶγμα ; 0.3143085539340973
0.01730569910486826	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	13	28	1	248	27	1	στραγγαλίς ; 0.2790813148021698	ὄμμα ; 0.3255394697189331	φωσφόρος ; 0.8313006162643433	ἀστραπή ; 0.3023287057876587	ἐπιφημί ; 0.3164268732070923	Αιλιμ ; 0.31569573283195496
-0.02637820764622706	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	λέγω	0	7	9	6	4491	4	191	ἐφικνέομαι ; 0.30282750725746155	εὔσημος ; 0.289554238319397	Ωβαδιος ; 0.37318336963653564	εὔμηλος ; 0.3029900789260864	λιτανεία ; 0.3590301275253296	ῥῆμα ; 0.29173165559768677
-0.02611183976847914	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	σχολάζω	0	5	1	3	3	193	1487	καταστορέννυμι ; 0.2701463997364044	ψευδάδελφος ; 0.3159973621368408	προεκπέμπω ; 0.3913859724998474	πολυήμερος ; 0.5981950759887695	καταπαύω ; 0.3523014783859253	ἐναντίον ; 0.3087238669395447
0.04972803685986246	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ἐρεύγομαι	0	7	15	299	73	274	47	αἱρέομαι ; 0.2811656594276428	θέορτος ; 0.25896358489990234	ἀέθλιος ; 0.3120666742324829	συμβαίνω ; 0.2923782467842102	δηλόω ; 0.3690916895866394	σωτήριον ; 0.30958977341651917
0.0007959462564378073	θορυβάζω	καταπονέω	προσδοκάω	προμεριμνάω	ἀνασκευάζω	δέκα	προμεριμνάω	0	1	4	29	1	1	351	ὀγκός2 ; 0.47936415672302246	κατατιτρώσκω ; 0.32405251264572144	Ἰάλμενος ; 0.2684679925441742	Δαυλία ; 0.3825049102306366	ἐπιβατός ; 0.33015623688697815	Σωθηβα ; 0.30432963371276855
0.028738372839322235	παραχειμασία	θέρος	ἐνιαυτός	χειμών	διετία	βάτος	διετία	0	1	11	168	13	2	13	χαράδρα ; 0.35515427589416504	βαβύκα ; 0.28013819456100464	ἀναβλέπω ; 0.31600648164749146	Γναῖος ; 0.283258855342865	Θεόκλεα ; 0.30724209547042847	δεῖπνος ; 0.3026255667209625
-0.04771237255010222	ἀπολύω	μεταίρω	ἐκπορεύομαι	ἄφιξις	ἐκχωρέω	βιβρώσκω	ἄφιξις	0	100	6	204	2	5	44	ἐμφανίζω ; 0.288114994764328	ἐπαράομαι ; 0.36616000533103943	ἐκτείνω ; 0.35435330867767334	δορυφορία ; 0.31831124424934387	στλεγγίδιον ; 0.31798481941223145	Ελεκεθ ; 0.289493590593338
0.0012844110476936121	συνωδίνω	πάσχω	παθητός	συγκακοπαθέω	προπάσχω	ἐπιλύω	πάσχω	0	1	60	1	2	1	2	συστενάζω ; 0.8102531433105469	ἡγηλάζω ; 0.2591002583503723	Αβισουε ; 0.4346102476119995	αἰσχροκερδῶς ; 0.3943249583244324	ἐγκοπή ; 0.3428571820259094	περαιτέρω ; 0.43816202878952026
-0.03493530665208125	περιβάλλω	ἱματίζω	ἐνδιδύσκω	περίθεσις	ἐπενδύομαι	ἡγεμών	ἡγεμών	1	94	2	4	1	2	104	πορπύρα ; 0.28334707021713257	Ἄντιφος ; 0.3361964821815491	κατασχίζω ; 0.3688901662826538	ἐμπλοκή ; 0.714462161064148	δορίκτητος ; 0.31479084491729736	Γοωθαμ ; 0.28305256366729736
-0.03678759131596945	πάντοτε	ἑκάστοτε	παροίχομαι	διαγίνομαι	μακρός	ἐπίσημος	μακρός	0	43	1	1	3	37	11	οἰκεῖος ; 0.30545586347579956	ἄλλοθεν ; 0.295000821352005	ψευδάδελφος ; 0.3159973621368408	προεκπέμπω ; 0.3913859724998474	παλιμμήκης ; 0.36114761233329773	πηρά ; 0.36418670415878296
-0.05245664256104257	ξενία	ἀνάγαιον	κορβανᾶς	ταμεῖον	ὑπερῷον	ἀγγεῖον	ἀγγεῖον	1	4	2	1	4	33	25	μισθόομαι ; 0.3187398314476013	Μοίριχος ; 0.3816327154636383	ἐγκαταπήγνυμι ; 0.36389803886413574	Πλευρώνιος ; 0.31968456506729126	Ἱεροσόλυμα ; 0.3285842537879944	σφῦρα ; 0.2782469391822815
-0.0354753015889325	παράπτωμα	πταίω	προαμαρτάνω	ἁμάρτημα	ῥᾳδιούργημα	συνέχω	πταίω	0	41	20	2	41	1	62	ἔλασις ; 0.2723414897918701	εὐρέιος ; 0.2819439768791199	ἐλευθέρωσις ; 0.36225003004074097	ἐκκλίνω ; 0.2802606225013733	ἐδανός ; 0.4284400939941406	ἄθετος ; 0.2820100784301758
