Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.1753176845622153	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	μεθερμηνεύω	1	18	311	20	104	71	8	μοχθέω ; 0.603171706199646	ἀναβαίνω ; 0.4987480342388153	πλημμελής ; 0.5670199394226074	Θαιμανίτις ; 0.5306471586227417	κατακρατέω ; 0.5268311500549316	Ἐλύμας ; 0.6176164150238037
0.1339344318348452	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἐκτινάσσω	0	8	35	16	29	42	21	φευκτός ; 0.5362725257873535	ὠδίν ; 0.5881773233413696	θαυμάζω ; 0.6038672924041748	κολλάω ; 0.5941816568374634	φάτνωμα ; 0.6328363418579102	πορνοκόπος ; 0.5572987794876099
0.3351102440093972	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	ψηφολογέω ; 0.7682760953903198	χαλκηδών ; 0.9842058420181274	σάρδιον ; 0.6583693027496338	βηρύλλιον ; 0.9127723574638367	σάπφιρος ; 0.9842058420181274	πρόλοβος ; 0.537939727306366
0.08471605895914547	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	28	6	31	5	34	11	ἐργασίμη ; 0.5244790315628052	κρυπτός ; 0.5585805773735046	ἅλμη ; 0.5188663601875305	ὑπόφρικος ; 0.589175820350647	μυστήριον ; 0.5690388679504395	προαίρω ; 0.4806324541568756
-0.09605667186649974	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	κυριακός	0	2	191	1	1	9279	3	δίπηχυς ; 0.5395948886871338	ὅδε ; 0.7082191705703735	ἀμελέω ; 0.6414608955383301	θά ; 0.9967635869979858	σύ ; 0.8243018984794617	φιλεχθρέω ; 0.5419204831123352
0.1263927588115052	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἔθνος	1	209	6	79	15	15	1166	προσάγω ; 0.6690953969955444	λυτρόομαι ; 0.5118337869644165	ἄκαρπος ; 0.5692593455314636	Ἰεζάβελ ; 0.6138290166854858	οἰκέτις ; 0.5884379148483276	γῆ ; 0.6261528730392456
0.23467735954224178	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	12	28	1	248	26	1	σταυρόω ; 0.5637329816818237	νεφέλη ; 0.614913821220398	φωσφόρος ; 0.9789886474609375	σκότος ; 0.6599529981613159	δέος ; 0.5802192687988281	χρονοτριβέω ; 0.7864586114883423
0.08938666250519967	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	ἀναφωνέω	0	7	9	6	4471	4	191	ὑγιής ; 0.5450252294540405	ἀποφράσσω ; 0.5364229679107666	ἀνακρούω ; 0.5182384252548218	εἶπον ; 0.6508121490478516	πιστὸς ; 0.5126039385795593	ὅδε ; 0.7082191705703735
0.10398550633197384	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	5	1	3	3	191	1480	τάχος ; 0.6138156056404114	ἐπιγαμία ; 0.5535349249839783	ἐπισφαλής ; 0.6756953597068787	μακροήμερος ; 0.7617734670639038	ἀπληστία ; 0.5223045349121094	ἀκούω ; 0.582562267780304
0.16304887267181722	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ἐρεύγομαι	0	7	15	298	73	269	47	ἐπερώτημα ; 0.5265986919403076	ἀγαπάω ; 0.48334312438964844	ἀκούω ; 0.6364204287528992	ἀναγγέλλω ; 0.6202784776687622	ἀπαγγέλλω ; 0.6227043867111206	περικοσμέω ; 0.5414524674415588
