Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.14222827846130298	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἐξουσιάζω	0	18	311	20	104	71	8	φρικασμός ; 0.43233221769332886	ἀναβαίνω ; 0.3667984902858734	παροξυσμός ; 0.4500288963317871	Θαιμανίτις ; 0.4960462749004364	ἀντιτάσσω ; 0.4218069016933441	Ἐμμανουήλ ; 0.5668700933456421
0.13907108190109646	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔνδυμα	1	8	35	16	29	42	21	Ακχω ; 0.5128010511398315	ὠδίς ; 0.46740585565567017	ἀντιφιλοσοφέω ; 0.4152759313583374	ἐπιλαμβάνω ; 0.3758363723754883	κενολογέω ; 0.4602973163127899	λινοῦς ; 0.5416175127029419
0.1762249708857782	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	ψηφολογέω ; 0.7159143686294556	χαλκηδών ; 0.8646985292434692	σμάραγδος ; 0.5932899713516235	βηρύλλιον ; 0.8782751560211182	Ιοκομ ; 0.899905800819397	ἐνδοξάζομαι ; 0.4855259656906128
0.1835160387204678	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	28	6	31	5	34	11	δολιότης ; 0.4668329954147339	κρυπτός ; 0.4378315210342407	ἅλμη ; 0.4541313350200653	Αδαμ ; 0.46808719635009766	ὁμοπάτριος ; 0.4510830342769623	παρακομίζω ; 0.42294466495513916
-0.10276088877650003	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	μαράνα	0	2	191	1	1	9279	3	ῥητῶς ; 0.47885143756866455	ὅδε ; 0.5781458616256714	φρυάζω ; 0.5441281199455261	θά ; 0.9751509428024292	θεός ; 0.8337659239768982	ἄχαρις ; 0.42359066009521484
0.10736280120960062	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἔθνος	1	209	6	79	15	15	1166	προσάγω ; 0.567219614982605	χρῆσις ; 0.43347951769828796	Σαβατ ; 0.4573899507522583	τέχνη ; 0.45618730783462524	ἄφρων ; 0.4613116383552551	λαός ; 0.5473682880401611
0.14883817601208604	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	12	28	1	248	26	1	φλοιός ; 0.4035974144935608	εὔστοχος ; 0.4738941788673401	φωσφόρος ; 0.957991361618042	σκότος ; 0.5598999857902527	ἐφοράω ; 0.47159725427627563	προμελετάω ; 0.5848995447158813
0.010831002357327368	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	ἀναφωνέω	0	7	9	6	4471	4	191	εὐκοσμέω ; 0.44832319021224976	ψευδής ; 0.49370697140693665	ψαλτῳδέω ; 0.5640245079994202	εἶπον ; 0.6916906237602234	ἔνδειξις ; 0.48867520689964294	ὅδε ; 0.5781458616256714
0.1475649031268334	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	5	1	3	3	191	1480	ἐσχάτως ; 0.41893064975738525	Κυπριάρχης ; 0.5212255120277405	βραδυπλοέω ; 0.598482072353363	πολυήμερος ; 0.7357745170593262	ὥρα ; 0.4307696223258972	ἀκούω ; 0.5731925964355469
0.17921284875022458	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	7	15	298	73	269	47	Ιορδάνης ; 0.4419470429420471	μεταλαμβάνω ; 0.3536528944969177	ἀναγγέλλω ; 0.6085888147354126	ἀναγγέλλω ; 0.5416302680969238	ἀπαγγέλλω ; 0.6085888147354126	ἄπνοος ; 0.440446138381958
