Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.08713055483205712	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	μεθερμηνεύω	1	18	311	20	104	71	8	δουλικός ; 0.5160796642303467	ἀνίστημι ; 0.5176290273666382	ἀπαίρω ; 0.5944929718971252	ἔνι ; 0.6208313703536987	μηχανόεις ; 0.5644267201423645	Ἰοῦστος ; 0.6116186380386353
0.09398396199700965	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔνδυμα	1	8	35	16	29	42	21	σκιατροφέω ; 0.5174906253814697	ὠδίν ; 0.5493175983428955	διακωλύω ; 0.5777962803840637	ἐφίστημι ; 0.5438970327377319	χαλκήλατος ; 0.5691990256309509	φρενομόρως ; 0.5028252601623535
0.4126653828694098	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	2	1	8	4	1	4	χρυσόπρασος ; 0.6807206273078918	χαλκηδών ; 0.9531088471412659	κασσίτερος ; 0.5939866304397583	σαρδόνυξ ; 0.7329729795455933	σάπφιρος ; 0.9531090259552002	παλάθης ; 0.5564818978309631
0.11652374959122203	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	βάθος	0	28	6	31	5	34	11	παιπαλόεις ; 0.5117510557174683	ὑποσκέλισμα ; 0.5752004384994507	ἥττημα ; 0.5310924649238586	εὐκηλήτειρα ; 0.5583678483963013	εὐσήμως ; 0.504358172416687	ὁσσάτιος ; 0.5545176863670349
-0.05856952486884526	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	κυριακός	0	2	191	1	1	9279	3	γρηγορέω ; 0.5617049932479858	ὅδε ; 0.6122891306877136	ἀνθονομέω ; 0.5385318398475647	θά ; 0.9630632996559143	θεός ; 0.7276462316513062	ταφεύς ; 0.5232717990875244
0.06342434445637529	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἔθνος	1	209	6	79	15	15	1166	προσάγω ; 0.6412098407745361	κάματος ; 0.5340017080307007	κείμαι ; 0.5446545481681824	φιλοσοφία ; 0.5644831657409668	λόφος ; 0.5397495031356812	ὀχυρότης ; 0.5833884477615356
0.1256744964245054	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	12	28	1	248	26	1	ἐκπορεύομαι ; 0.5416232347488403	νεφέλη ; 0.5751391649246216	φωσφόρος ; 0.9271579384803772	ζωή ; 0.6412771940231323	συμμάχομαι ; 0.5131052732467651	Καισάρεια ; 0.5578839778900146
0.038850986827072886	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	παντοκράτωρ	1	7	9	6	4471	4	191	παραδοχή ; 0.5498262643814087	Πήγασος ; 0.5737859010696411	δασέως ; 0.5527077913284302	εἶπον ; 0.7216546535491943	πενθητήρ ; 0.5923277735710144	ὅδε ; 0.6122891306877136
0.06379400077753894	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	5	1	3	3	191	1480	γένειον ; 0.5501295328140259	τεκνόω ; 0.523675799369812	ναυλοχέω ; 0.5818964838981628	μακροήμερος ; 0.6895937323570251	καίπερ ; 0.5981365442276001	ἀποστέλλω ; 0.5809677839279175
0.14557540763219765	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	7	15	298	73	269	47	αὐδή ; 0.5569384098052979	φιλόστοργος ; 0.5370898842811584	ἀναγγέλλω ; 0.6774114966392517	δεικνύω ; 0.6259835958480835	ἀπαγγέλλω ; 0.6774114966392517	κέω ; 0.5274670124053955
