Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.06727668243554102	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	ἔθνος	1	72	3	1	36	8	1173	1	1	ἀρετή ; 0.7371246814727783	κατάστημα ; 0.6945762634277344	νηφάλιος ; 0.6639533638954163	ἀκρόπολις ; 0.698039710521698	ἀντιπαραγωγή ; 0.6894647479057312	γῆ ; 0.6934792995452881	Αγγαιου ; 0.6607358455657959	γραπτόν ; 0.6281796097755432
0.10916393317451822	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	καταλέγω	0	1	7	41	7	3	4	2	1	κεραία ; 0.7356033325195312	Μαλωχ ; 0.6315112113952637	διασάφησις ; 0.6770194172859192	παρακατατίθημι ; 0.7198442220687866	σεμνός ; 0.6417655348777771	Θεσσαλονίκη ; 0.6600378751754761	ἡμιθανής ; 0.6436060667037964	Δεσσαος ; 0.7925142049789429
0.06796531874829942	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοίως	0	54	52	6	47	4	9	6	137	εἰμί ; 0.6449569463729858	ἑαυτοῦ ; 0.6968705654144287	κατάδηλος ; 0.657373309135437	ψώρα ; 0.6211404204368591	παρακλήτωρ ; 0.7173327207565308	σκῦλα ; 0.6878138780593872	Μωλαδα ; 0.6709616184234619	ἄνομος ; 0.7481725215911865
0.15979417044220234	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	κάμνω	0	8	30	22	1	7	444	351	316	ἀνέγκλητος ; 0.6068134307861328	μεταίτιος ; 0.701836347579956	θυγάτριον ; 0.6678532361984253	Πέτρος ; 0.6531417369842529	στέγω ; 0.6130921840667725	ἐκεῖνος ; 0.7744085788726807	εἴκοσι ; 0.814517617225647	πεντήκοντα ; 0.7192432284355164
0.12245439377450512	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	ὀθόνη	1	1	31	118	1	101	5	2	8	θυλάκιον ; 0.7156404256820679	πλουσίως ; 0.6649380922317505	πανοῦργος ; 0.7051898241043091	καλοδιδάσκαλος ; 0.8885661363601685	λοιμεύομαι ; 0.6738893985748291	χειμάζομαι ; 0.7740466594696045	Χαλαννη ; 0.6902955770492554	ἀλείφω ; 0.6905217170715332
0.10254500318834747	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἄνομος	1	29	93	8	35	1	1	2	115	ἀγχιστεία ; 0.6934714317321777	ῥήγνυμι ; 0.7623952031135559	Αγγιθ ; 0.6285931468009949	ζηλώσις ; 0.6622377634048462	ἄτομος ; 0.9749013185501099	Ἰουδαϊκῶς ; 0.9432483911514282	βραδυπλοέω ; 0.6500219702720642	ἄδικος ; 0.7481725215911865
0.00809647446322348	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	φθινοπωρινός	0	2	766	2	168	1	1	36	8	πυρόπνους ; 0.726460337638855	Ιαμουνι ; 0.7401449084281921	συμπληρόω ; 0.7112691402435303	μήν ; 0.8280174732208252	ῥοῖζος ; 0.6899608373641968	νηφάλιος ; 0.6639533638954163	ἀκρόπολις ; 0.698039710521698	φορθομμιν ; 0.6389141082763672
-0.023095737099237845	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἄγγελος	0	15	15	526	16	73	3	699	2	ἀποπλάνησις ; 0.745609700679779	μηνύω ; 0.7011761665344238	παρρησιάζομαι ; 0.6338756680488586	ἀπόκρυφος ; 0.749488353729248	δεικνύω ; 0.7630459070205688	Ιουηλ ; 0.6253731846809387	ἀποθνῄσκω ; 0.7090938091278076	πρόπαππος ; 0.6471643447875977
0.05719236457036425	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	ἀγωγή	1	266	7	60	1	8	7	1	15	παραθλίβω ; 0.6897563934326172	ἀποσυνάγωγος ; 0.6613420844078064	Ραφαηλ ; 0.6272366046905518	ἐγκατοικέω ; 0.877414345741272	σκοτόομαι ; 0.6393468379974365	Δορκάς ; 0.6489427089691162	πρεσβῦτις ; 0.7388748526573181	ἄδοξος ; 0.6936520338058472
0.03427319314394073	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	γεννητός	0	263	1	2	7	39	10	511	1	συγγενίς ; 0.7122088074684143	ἔρις ; 0.6792169809341431	ὁρκωμοσία ; 0.6552274227142334	ἀπάτησις ; 0.6184170842170715	ταλαιπωρία ; 0.6729278564453125	καταλείπω ; 0.6585891246795654	συλλοιδορέω ; 0.5950817465782166	ἄμετρος ; 0.6688355207443237
0.03364640196538693	ψωμίον	σιτομέτριον	πόμα	ψίξ	διατροφή	ἀλώπηξ	θρέμμα	ὑποζύγιον	ἀλώπηξ	1	4	1	7	2	2	13	1	31	δάνος ; 0.6525722742080688	Μαρωδαχβαλαδαν ; 0.6390541195869446	συμμερίζομαι ; 0.6764921545982361	κατανύξις ; 0.6438146233558655	κωμόπολις ; 0.6755330562591553	θλάσμα ; 0.6361878514289856	Κερωε ; 0.6094205379486084	ὄνος ; 0.7290236949920654
0.0067350139505854	τεκνογονέω	τεκνογονία	γένεσις	ἔγκυος	τίκτω	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	τεκνογονέω	0	1	1	63	2	263	1	8	3	οἰκοδεσποτέω ; 0.9825648665428162	ἀπαράβατος ; 0.6977861523628235	γεννάω ; 0.6605285406112671	ὁρκωμοσία ; 0.6552274227142334	συγγενίς ; 0.7122088074684143	ἐθελοθρησκία ; 0.6787780523300171	ἐπιστάτης ; 0.6516351699829102	Σαμαρι ; 0.6938376426696777
0.023634632626917507	πλοῦς	παραλέγομαι	ἀποπλέω	ἀνάγω	βραδυπλοέω	παραχειμάζω	χειμών	ἔτος	χειμών	1	3	2	4	136	1	4	13	766	ἀρκετός ; 0.6829724311828613	ἆσσον ; 0.7764763832092285	ἀμέμπτως ; 0.7338340878486633	ἐξάγω ; 0.7390910387039185	Κνίδος ; 0.7516601085662842	πρῷρα ; 0.6474746465682983	ἐπιδύω ; 0.6446585059165955	Ιαμουνι ; 0.7401449084281921
-0.012003489161597214	οἷος	ὁμοιόω	ὁμοίωμα	ἀφομοιόω	ὁμοίωσις	ἐλλογέω	καταλέγω	ἀποστάσιον	οἷος	0	33	54	47	1	9	2	3	7	φονοκτονία ; 0.6374901533126831	εἰμί ; 0.6449569463729858	ψώρα ; 0.6211404204368591	διηνεκής ; 0.7005065679550171	ὀβελίσκος ; 0.6216869354248047	ζημία ; 0.6731539368629456	σεμνός ; 0.6417655348777771	Μαλωχ ; 0.6315112113952637
0.015567941929122697	εὐσεβῶς	θρησκός	δεισιδαίμων	ἱεροπρεπής	εὐσεβής	ἔοικα	ὁμοίωσις	ὁμοιότης	ὁμοιότης	1	2	1	1	3	36	4	9	6	σκεπαστής ; 0.6506540775299072	Γαλιλαίᾳ ; 0.707403838634491	ἀετός ; 0.6579033732414246	κατάστημα ; 0.6945762634277344	ἀκρόπολις ; 0.698039710521698	παρακλήτωρ ; 0.7173327207565308	ὀβελίσκος ; 0.6216869354248047	κατάδηλος ; 0.657373309135437
0.0917542978009751	δεισιδαίμων	δεισιδαιμονία	θεοσέβεια	θρησκός	ἱεροπρεπής	σαλεύω	σείω	τρέμω	δεισιδαίμων	0	1	1	1	1	3	93	42	16	ἀετός ; 0.6579033732414246	συγκάλυμμα ; 0.615117073059082	νηφάλιος ; 0.6639533638954163	Γαλιλαίᾳ ; 0.707403838634491	κατάστημα ; 0.6945762634277344	ῥήγνυμι ; 0.7623952031135559	ῥήγνυμι ; 0.7074026465415955	φιλαρχία ; 0.6702427268028259
