Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.031083271403692048	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	ἔθνος	1	72	3	1	36	8	1173	1	1	προγίνομαι ; 0.2907845973968506	κατάστημα ; 0.46026378870010376	τεκνοτροφέω ; 0.35659509897232056	στυγνός ; 0.2460220754146576	νυκτερίς ; 0.3034728169441223	δένδρον ; 0.2656571865081787	ἀργυρολόγητος ; 0.3897309899330139	μακροθύμως ; 0.362396240234375
0.052214622844979686	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	καταλέγω	0	1	7	41	7	3	4	2	1	νασιφ ; 0.5133302807807922	συνοίκησις ; 0.364768922328949	ἀρραβών ; 0.26749229431152344	Ιερουσολημ ; 0.3794791102409363	ἑτεροζυγέω ; 0.32240474224090576	Γαλααδίτις ; 0.3948173522949219	Λιβύη ; 0.32757318019866943	Ιεραμηλι ; 0.5000978708267212
-0.002445218130624094	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοίωμα	0	54	52	6	47	4	9	6	137	ἐπίπονος ; 0.2645537853240967	Ασιμαθ ; 0.277204692363739	ἀνδρολογεῖον ; 0.4408007860183716	Γώγ ; 0.28578823804855347	δώρημα ; 0.3204951286315918	πεύκινος ; 0.30096957087516785	Χουθ ; 0.35479259490966797	κακός ; 0.2847330868244171
0.01972997275931393	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	δυσεντέριον	0	8	30	22	1	7	444	351	316	παραβολεύομαι ; 0.3173045217990875	προσκολλάω ; 0.2511809468269348	ματαιολόγος ; 0.320274293422699	Εσερων ; 0.38177984952926636	τηγανίζω ; 0.29005491733551025	ἕξ ; 0.35493922233581543	εἴκοσι ; 0.36734965443611145	ὀκτώ ; 0.334051251411438
-0.01703928669658661	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	θεοδίδακτος	0	1	31	118	1	101	5	2	8	ἀπῶρυξ ; 0.4320339560508728	ἔνταλμα ; 0.2927699387073517	ἐκπτύω ; 0.27844855189323425	καλοδιδάσκαλος ; 0.8734104633331299	ὑπαγορεύω ; 0.2783973217010498	τρικυμία ; 0.40007662773132324	ταλαντιαῖος ; 0.3329486846923828	ψιλόω ; 0.3392670750617981
0.0930965604549922	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἄνομος	1	29	93	8	35	1	1	2	115	ἀποτινάσσω ; 0.26206088066101074	ταράσσω ; 0.25845637917518616	Ασσουριιμ ; 0.3085424304008484	ὄζος ; 0.3103794455528259	ἄτομος ; 0.8901050090789795	Ἰουδαϊκῶς ; 0.8170313835144043	παρείσακτος ; 0.6161921620368958	παράνομος ; 0.30207517743110657
-0.03905639413955361	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	θεοσεβής	1	2	766	2	168	1	1	36	8	Πόρκιος ; 0.370825856924057	Επιφι ; 0.4183065593242645	τριετῆς ; 0.4316389560699463	ἡμέρα ; 0.2773585915565491	ἀδελφικῶς ; 0.4100192189216614	τεκνοτροφέω ; 0.35659509897232056	στυγνός ; 0.2460220754146576	ἀναβλαστάνω ; 0.3010823130607605
0.034985429561095904	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἄγγελος	0	15	15	526	16	73	3	699	2	κάρταλλος ; 0.26390478014945984	βαΐνη ; 0.2755914330482483	σεραφιν ; 0.3157144784927368	δυσεντέριον ; 0.2544846832752228	ἀναγγέλλω ; 0.3629140257835388	Ραιφαν ; 0.332561194896698	πιθανολογία ; 0.26582762598991394	Θεόφιλος ; 0.29811668395996094
0.03858401886371865	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	ἀόρατος	0	266	7	60	1	8	7	1	15	ὁράω ; 0.3259976804256439	τρυγών ; 0.3016696572303772	ἀνοίγω ; 0.3236977458000183	ἐγκατοικέω ; 0.46463000774383545	κολλούριον ; 0.27923476696014404	πέλμα ; 0.32729047536849976	πρεσβῦτις ; 0.6830630302429199	στρόφος ; 0.2776704728603363
-0.011399591286215593	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	γεννητός	0	263	1	2	7	39	10	511	1	ἀπογαλακτίζω ; 0.29974403977394104	καταλαλιά ; 0.5129451751708984	διετηρίς ; 0.40042349696159363	κόσμιος ; 0.28884363174438477	γαστήρ ; 0.28527235984802246	ὁλοκληρία ; 0.2929495573043823	παῖς ; 0.41830751299858093	ἀποστεγάζω ; 0.3994721472263336
0.0237324957995112	ψωμίον	σιτομέτριον	πόμα	ψίξ	διατροφή	ἀλώπηξ	θρέμμα	ὑποζύγιον	ἀλώπηξ	1	4	1	7	2	2	13	1	31	ναῦλον ; 0.3542114496231079	οἰκετεία ; 0.4810659885406494	γλωσσοτομέω ; 0.3447508215904236	τρυφερότης ; 0.3716473877429962	σκέπασμα ; 0.3529597818851471	ᾠόν ; 0.26323068141937256	Φαισουρ ; 0.4303007125854492	ὄνος ; 0.3502565622329712
-0.0020714453438351876	τεκνογονέω	τεκνογονία	γένεσις	ἔγκυος	τίκτω	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	ἐπίλυσις	1	1	1	63	2	263	1	8	3	οἰκοδεσποτέω ; 0.9235754013061523	ἄναλος ; 0.4261772632598877	προβαίνω ; 0.2822035551071167	διετηρίς ; 0.40042349696159363	ἀπογαλακτίζω ; 0.29974403977394104	ἐκριζωτής ; 0.39114701747894287	συνοδία ; 0.31647610664367676	ἐνέργημα ; 0.375846266746521
-0.039397532106744626	πλοῦς	παραλέγομαι	ἀποπλέω	ἀνάγω	βραδυπλοέω	παραχειμάζω	χειμών	ἔτος	ἔτος	1	3	2	4	136	1	4	13	766	ἐπισφαλής ; 0.45669281482696533	ἆσσον ; 0.6163942813873291	Ἀττάλεια ; 0.5254073739051819	ἐξάγω ; 0.3944723606109619	Κνίδος ; 0.5815600156784058	Ζηνᾶς ; 0.40449103713035583	εὔχαρις ; 0.3002309203147888	Επιφι ; 0.4183065593242645
0.05024243872300321	οἷος	ὁμοιόω	ὁμοίωμα	ἀφομοιόω	ὁμοίωσις	ἐλλογέω	καταλέγω	ἀποστάσιον	καταλέγω	1	33	54	47	1	9	2	3	7	τροπή ; 0.27661579847335815	ἐπίπονος ; 0.2645537853240967	Γώγ ; 0.28578823804855347	Ορνιου ; 0.4318844676017761	ἐπιδιπλόω ; 0.309524804353714	Τέρτιος ; 0.35056430101394653	ἑτεροζυγέω ; 0.32240474224090576	συνοίκησις ; 0.364768922328949
