Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.04156672092809255	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	ἔθνος	1	72	3	1	36	8	1173	1	1	καθαρότης ; 0.5152971744537354	Κυτίνιον ; 0.4404081404209137	ἀνάλκεια ; 0.4295356869697571	ἀνέλεος ; 0.4294588565826416	χρυσαυγέω ; 0.4717351794242859	Λεοντεύς ; 0.41763660311698914	Ἱκέτας ; 0.4472898840904236	περικνημίς ; 0.4462798237800598
0.014051334248981084	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	καταλέγω	0	1	7	41	7	3	4	2	1	φονοκτονέω ; 0.45940011739730835	Ἰφθίμη ; 0.4241393208503723	παρών ; 0.4791595935821533	κρυπτῶς ; 0.45746174454689026	δυωδεκάμηνος ; 0.4850812256336212	Γαλααδίτις ; 0.4340927302837372	Ἄζωτος ; 0.4339332580566406	ἀκροατήριον ; 0.6001821756362915
-0.034558883679170704	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοιόω	0	54	52	6	47	4	9	6	137	μανία ; 0.421731173992157	φωλεός ; 0.45462363958358765	ὑπέρδικος ; 0.4496883153915405	Αδα ; 0.43264496326446533	χαλιναγωγέω ; 0.47988462448120117	μῆδος ; 0.47584718465805054	ἐκγενής ; 0.4638284742832184	ἐπαρτύω ; 0.4129927158355713
0.11634110522476698	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	λοιμός	0	8	30	22	1	7	444	351	316	λυπηρός ; 0.47903281450271606	πολυπληθία ; 0.4163573384284973	ἀρισφαλής ; 0.41063570976257324	Σελλοί ; 0.47337573766708374	πεσσεύω ; 0.48976829648017883	δεύτερος ; 0.5539852380752563	εἴκοσι ; 0.5647772550582886	ὀκτώ ; 0.5134634971618652
0.04435482480782876	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	θεοδίδακτος	0	1	31	118	1	101	5	2	8	ὑπερέκεινα ; 0.4928736388683319	μνήμη ; 0.4491789937019348	αιδαδ ; 0.4310930371284485	ἐπειδήπερ ; 0.5093256235122681	προκόπτω ; 0.4337412118911743	ἀπείραστος ; 0.4427533745765686	ἀεικίζω ; 0.427703320980072	μετωπηδόν ; 0.4430232346057892
0.12676474012483208	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἄνομος	1	29	93	8	35	1	1	2	115	τείνω ; 0.3992308974266052	ἐκπεράω ; 0.4724886119365692	ἠχή ; 0.509285032749176	Λαβδάκειος ; 0.4379182457923889	ἄτομος ; 0.503422737121582	Ἰουδαϊκῶς ; 0.9209967255592346	ἀκοντίζω ; 0.47519591450691223	δίκαιος ; 0.45167529582977295
-0.02624545225835495	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	θεοσεβής	1	2	766	2	168	1	1	36	8	συγχέω ; 0.4488147795200348	πηχύς ; 0.5408212542533875	Διόσπολις ; 0.46429693698883057	μήν ; 0.4822552800178528	ἐπαφρίζω ; 0.5877367258071899	ἀνάλκεια ; 0.4295356869697571	ἀνέλεος ; 0.4294588565826416	χράω1 ; 0.4290613532066345
0.06559350594621571	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ζῳογονέω	1	15	15	526	16	73	3	699	2	ἄμομφος ; 0.41793593764305115	παι~ς ; 0.4485127627849579	ἀστήρ ; 0.49927613139152527	Ἰκάριος ; 0.40093493461608887	προσρέω ; 0.4928264915943146	Πριήνη ; 0.461140513420105	περιποίησις ; 0.4313431978225708	Ασεδωθ ; 0.44579535722732544
-0.03812194556927484	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	βλέμμα	0	266	7	60	1	8	7	1	15	καμμύω ; 0.4934651255607605	κλυτοεργός ; 0.4326254427433014	ἀτενίζω ; 0.5161497592926025	ἐγκατοικέω ; 0.638806939125061	Βαιθασιμωθ ; 0.46010589599609375	̓́Αμμων ; 0.4167029857635498	̓Ουλπιανός ; 0.4256613552570343	κρείσσων ; 0.4491002559661865
-0.0017532074731227976	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	γεννητός	0	263	1	2	7	39	10	511	1	Θέστιος ; 0.4668843746185303	προέχομαι ; 0.4982679784297943	οἰωνόβρωτος ; 0.5247228145599365	πίτυρον ; 0.45000582933425903	ὠδίνω ; 0.4924914836883545	προγίγνομαι ; 0.42532652616500854	οἰκητήρ ; 0.44514766335487366	̓ἀχαιός ; 0.4394698143005371
