Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.08912840130507227	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	ἐντόπιος	1	72	3	1	36	8	1173	1	1	γενναίως ; 0.7328130006790161	σεληνιάζομαι ; 0.7332419753074646	ἡλιαία ; 0.6921967267990112	δύσχρηστος ; 0.7423481345176697	ἐνθύμησις ; 0.7101834416389465	λαός ; 0.6722006797790527	Αμαδαθος ; 0.6982277631759644	ἀήτης ; 0.6781097650527954
0.04890667218171907	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	ἰῶτα	0	1	7	41	7	3	4	2	1	σκαληνός ; 0.6222509145736694	κουρίδιος ; 0.6890086531639099	Ουγαυα ; 0.7444949150085449	Θέογνις ; 0.6647603511810303	κάτοικτος ; 0.6557093858718872	κορίσκη ; 0.6429233551025391	Κλαστίδιον ; 0.6797559857368469	σκεπεινός ; 0.7439967393875122
0.0726733373148375	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοιόω	0	54	52	6	47	4	9	6	137	ἰδέω ; 0.6325086355209351	τάνυμαι ; 0.6613813638687134	Θάσος ; 0.6769631505012512	ἀναβράζω ; 0.6755995750427246	ἀνόμοιος ; 0.7183138728141785	εὐεργέτης ; 0.7436912059783936	Δίυλλος ; 0.6760953068733215	ἄνομος ; 0.8206340670585632
0.17519133296199363	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	δυσεντέριον	0	8	30	22	1	7	444	351	316	ἀνείργω ; 0.6587014198303223	μάχαιρα ; 0.687192440032959	πανσυδίῃ ; 0.632904589176178	Ιερκααν ; 0.6938357353210449	εὔκλεια ; 0.6410290002822876	ἑπτά ; 0.7955825924873352	εἴκοσι ; 0.8626407980918884	πεντήκοντα ; 0.8005930185317993
0.00836321709942478	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	παιδεύω	0	1	31	118	1	101	5	2	8	ταυτολογέω ; 0.7665739059448242	Μακεδονία ; 0.6735274791717529	μάθησις ; 0.7502266764640808	Σικιμῖται ; 0.7285442352294922	αἱμύλιος ; 0.6621041297912598	βλητέος ; 0.6650176048278809	ἀναφύω ; 0.6888454556465149	ἀνώιστος ; 0.6667256355285645
0.13704356419966857	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἐθνικῶς	1	29	93	8	35	1	1	2	115	καταδιώκω ; 0.6877650022506714	ἀκέομαι ; 0.7017514705657959	δοκἐω ; 0.7220935225486755	ζήλωσις ; 0.6985874176025391	ἐντός ; 0.7367419004440308	Ἰουδαϊκῶς ; 0.8216927647590637	ἐπισκευή ; 0.6832783222198486	ἄδικος ; 0.8206340074539185
0.04943298423039211	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	φθινοπωρινός	0	2	766	2	168	1	1	36	8	Ἰωάννα ; 0.6420828104019165	ἡμέρα ; 0.7092430591583252	Ἀναξανδρίδης ; 0.6421279907226562	διακείρω ; 0.6999675631523132	φθόνος ; 0.6865772604942322	ἡλιαία ; 0.6921967267990112	δύσχρηστος ; 0.7423481345176697	μακαρίζω ; 0.6680240631103516
0.13861388279745124	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἄγγελος	0	15	15	526	16	73	3	699	2	τοσοῦτον ; 0.7502840161323547	κατακάρφομαι ; 0.6475260257720947	λἐγω ; 0.6323838829994202	Ὕρτακος ; 0.5984773635864258	ἀναγγέλλω ; 0.694159984588623	ἔκδεια ; 0.6531128883361816	ἀποθνῄσκω ; 0.7301781177520752	νῆσος ; 0.7041293978691101
0.04943169484642085	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	βλέμμα	0	266	7	60	1	8	7	1	15	συγκρύφω ; 0.674027681350708	ἔσθημα ; 0.7124036550521851	στρατοκῆρυξ ; 0.6672074198722839	θρασύς ; 0.7292152047157288	παραπληξία ; 0.6803143620491028	νεφθαρ ; 0.7015972137451172	μετέχω ; 0.6758517026901245	κρύπτω ; 0.6663419008255005
0.06761339428162716	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	συλαγωγέω	1	263	1	2	7	39	10	511	1	θυγάτηρ ; 0.6845163106918335	Βαρθολομαῖος ; 0.7297602891921997	συνομιλέω ; 0.7435500621795654	φωνέω ; 0.6724015474319458	γαστήρ ; 0.7070465087890625	ἀπόπολις ; 0.6952702403068542	ἀλιπαρής ; 0.6761728525161743	ἀποθλίβω ; 0.6635556221008301
-0.002960315063939012	ψωμίον	σιτομέτριον	πόμα	ψίξ	διατροφή	ἀλώπηξ	θρέμμα	ὑποζύγιον	ἀλώπηξ	1	4	1	7	2	2	13	1	31	νοσφίζω ; 0.7024484872817993	παιδίσκος ; 0.7003847360610962	ἰσχαλέος ; 0.6345053911209106	ἀποσκευάζω ; 0.6783474683761597	κύθρα ; 0.7232869863510132	ἐπίνειον ; 0.6716278791427612	Εμμανουηλ ; 0.6936013102531433	ὄνος ; 0.7079588174819946
4.6060483327448054e-07	τεκνογονέω	τεκνογονία	γένεσις	ἔγκυος	τίκτω	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	τεκνογονέω	0	1	1	63	2	263	1	8	3	οἰκοδεσποτέω ; 0.8770327568054199	καταποθέω ; 0.6527358293533325	παναπήμων ; 0.6824314594268799	συνομιλέω ; 0.7435500621795654	θυγάτηρ ; 0.6845163106918335	παρέχω ; 0.7751609086990356	αὔξω ; 0.6924726963043213	πίλημα ; 0.6795328855514526
0.02674043809072979	πλοῦς	παραλέγομαι	ἀποπλέω	ἀνάγω	βραδυπλοέω	παραχειμάζω	χειμών	ἔτος	χειμών	1	3	2	4	136	1	4	13	766	ἄψινθος ; 0.679691731929779	σπυρίς ; 0.7235276699066162	ἐπαναιρέω ; 0.7192299365997314	ἐξαποστέλλω ; 0.8188662528991699	δεξιολάβος ; 0.6659145355224609	πόρτις ; 0.6725295782089233	συνηχέω ; 0.660488486289978	ἡμέρα ; 0.7092430591583252
0.011965220275440447	οἷος	ὁμοιόω	ὁμοίωμα	ἀφομοιόω	ὁμοίωσις	ἐλλογέω	καταλέγω	ἀποστάσιον	οἷος	0	33	54	47	1	9	2	3	7	Αστιν ; 0.6879021525382996	ἰδέω ; 0.6325086355209351	ἀναβράζω ; 0.6755995750427246	ὁμόφρων ; 0.6810042858123779	βλαβερός ; 0.670669436454773	ἐλαφηβολία ; 0.7349420189857483	κάτοικτος ; 0.6557093858718872	κουρίδιος ; 0.6890086531639099
0.010294268486028102	εὐσεβῶς	θρησκός	δεισιδαίμων	ἱεροπρεπής	εὐσεβής	ἔοικα	ὁμοίωσις	ὁμοιότης	εὐσεβῶς	0	2	1	1	3	36	4	9	6	μισοπόνηρος ; 0.6605504155158997	πράξιμος ; 0.6530248522758484	ἐλάχιστος ; 0.676240086555481	σεληνιάζομαι ; 0.7332419753074646	δύσχρηστος ; 0.7423481345176697	ἀνόμοιος ; 0.7183138728141785	βλαβερός ; 0.670669436454773	Θάσος ; 0.6769631505012512
