Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.12814597818590723	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	ἔθνος	1	72	3	1	36	8	1174	1	1	ἔρευνα ; 0.7028704285621643	προσκαλέω ; 0.6716240048408508	οἰκουργός ; 0.6296586990356445	ὁρατής ; 0.6932348012924194	πάθος ; 0.7073487043380737	λαός ; 0.6702370643615723	Εδδι ; 0.6561429500579834	ἐκγελάω ; 0.6456276178359985
0.06425415046183408	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	ἰῶτα	0	1	7	41	7	3	4	2	1	βιάζω ; 0.6359779834747314	Αὐγοῦστος ; 0.6436402201652527	ἀνταποστέλλω ; 0.6812204122543335	ναῦλον ; 0.7026602029800415	παραμύθιον ; 0.6867330074310303	μαγικός ; 0.7006573677062988	διακαθαίρω ; 0.6347332000732422	ὁρμή ; 0.6647042036056519
0.07698492250980504	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοίως	0	54	52	6	47	4	9	6	137	ἄτιμος ; 0.651565432548523	παιδίον ; 0.645828366279602	ἀκρίς ; 0.676540732383728	ὁμοίοω ; 0.701623260974884	ἄμμος ; 0.7380112409591675	ὑπείκω ; 0.6952075362205505	ῥυπαρεύω ; 0.6254492998123169	δίκαιος ; 0.7723583579063416
0.09593730991012739	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	λοιμός	0	8	30	22	1	7	445	351	316	ζάω ; 0.6165112257003784	Ραεμμαθ ; 0.6159176826477051	ἔνατος ; 0.5913068056106567	Ιαδηλα ; 0.6611102819442749	ἀσθένεια ; 0.6786301732063293	τέσσαρες ; 0.7144205570220947	τεσσαράκοντα ; 0.786599338054657	πεντήκοντα ; 0.668906569480896
0.10010046653096077	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	ὀθόνη	1	1	31	121	1	101	5	2	8	συνεργέω ; 0.7649948596954346	παραβολή ; 0.7734906673431396	πανοῦργος ; 0.6756241917610168	καλοδιδάσκαλος ; 0.9070473313331604	ουαυ ; 0.6509509682655334	ἄγναφος ; 0.664690375328064	κατώτερος ; 0.6527181267738342	διακονέω ; 0.7026892900466919
0.0957433966763157	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἐθνικῶς	1	29	93	8	35	1	1	2	115	γέμω ; 0.6897856593132019	σείω ; 0.6842187643051147	ἐπισείω ; 0.6558530330657959	πεζικός ; 0.6223925948143005	ἄτομος ; 0.9673919081687927	Ἰουδαϊκῶς ; 0.9174232482910156	προάγω ; 0.6408323645591736	δίκαιος ; 0.6722129583358765
0.0017498802043750539	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	φθινοπωρινός	0	2	767	2	168	1	1	36	8	ἐπάλξις ; 0.5807240009307861	ἡμέρα ; 0.7099722623825073	βασιλικός ; 0.7025249600410461	ἑορτή ; 0.7162798047065735	ὀργίλως ; 0.6961501240730286	οἰκουργός ; 0.6296586990356445	ὁρατής ; 0.6932348012924194	ἐπιταράσσω ; 0.6154198050498962
0.07612236676083672	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἄγγελος	0	15	15	526	16	73	3	699	2	χερσόομαι ; 0.7222973704338074	μηνύω ; 0.7223603129386902	Γαβριηλ ; 0.6559145450592041	ἀκαταστασία ; 0.6286555528640747	Μααταρωθορεχ ; 0.6739202737808228	ὑπερβαλλόντως ; 0.6323373317718506	ἀποθνῄσκω ; 0.6704345941543579	ἐγκρατεύομαι ; 0.6983113288879395
0.08642792839237234	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	ἀγωγή	1	266	7	60	1	8	7	1	15	ὁράω ; 0.7079572677612305	ῥακώδης ; 0.5778555870056152	ἵστημι ; 0.6259219646453857	ἐγκατοικέω ; 0.8635848760604858	Ταφνάς ; 0.6755748987197876	σπλαγχνίζω ; 0.7652561664581299	συγκοινωνέω ; 0.6654700040817261	ἐπικάλυμμα ; 0.6474711298942566
0.07949144002998576	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	γεννητός	0	263	1	2	7	39	10	511	1	Ωξ ; 0.6985650658607483	Ελισαμα ; 0.6726399660110474	κωθωνίζομαι ; 0.73675537109375	ὁράω ; 0.6297358274459839	γαστήρ ; 0.6734369993209839	Ιεσμεγα ; 0.6296562552452087	Εδενι ; 0.6655336022377014	ὑπερλίαν ; 0.712997555732727
