Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.09419547467562106	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	ἔθνος	1	72	3	1	36	8	1174	1	1	βάσανος ; 0.4661310017108917	δακρυοπετής ; 0.5016115307807922	Πηνελόπη ; 0.4784112870693207	βάσκανος ; 0.45981207489967346	παρακολουθέω ; 0.4632875919342041	χώρα ; 0.4541666805744171	μιαιφονία ; 0.552040159702301	ἐγκόπτω ; 0.47806304693222046
0.055992061906332435	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	πρωτοστάτης	1	1	7	41	7	3	4	2	1	νασιφ ; 0.5662651062011719	πυξίον ; 0.4296867251396179	Ναυσίθοος ; 0.4240987300872803	τροπόω ; 0.43601590394973755	μισάνθρωπος ; 0.4322119355201721	μοναρχικός ; 0.4931804835796356	παρευθύνω ; 0.453207790851593	ὁρκάνη ; 0.5279711484909058
-0.036460991883053406	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοιόω	0	54	52	6	47	4	9	6	137	παιγνία ; 0.4443090558052063	ἀτέλεστος ; 0.4581092596054077	ἀνδρολογεῖον ; 0.5112513303756714	προαπόλλυμαι ; 0.4505210816860199	σεμνόστομος ; 0.5175013542175293	χροιά ; 0.4593403935432434	ἀνήρ ; 0.5031253099441528	συναναστροφή ; 0.43769654631614685
0.030500535369209825	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	δυσεντέριον	0	8	30	22	1	7	445	351	316	μισθέω ; 0.4435637593269348	Ὑάκινθος ; 0.4672238230705261	σκιάδειον ; 0.44961294531822205	ἀποθλίβω ; 0.46056970953941345	καταθάπτω ; 0.44451451301574707	δύο ; 0.5890263915061951	εἴκοσι ; 0.6265615820884705	ὀκτώ ; 0.5285210609436035
0.03371639076821431	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	παιδεύω	0	1	31	121	1	101	5	2	8	συμπαρακαλέομαι ; 0.5003623366355896	Εὔβοια ; 0.4247823655605316	ὑπακούω ; 0.5208069086074829	ἐπειδήπερ ; 0.45799991488456726	δοκιμασία ; 0.4732522964477539	βλητέος ; 0.5154420137405396	ἅπτω ; 0.4900473952293396	κινυρός ; 0.4400249421596527
0.06639286293083618	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἐθνικῶς	1	29	93	8	35	1	1	2	115	προσφορέω ; 0.495269238948822	ἐρίζω ; 0.42873597145080566	ἄπωθεν ; 0.4410783350467682	εὐπηγής ; 0.49232327938079834	ἄτομος ; 0.5759454369544983	Ἰουδαϊκῶς ; 0.8237717151641846	παρείσακτος ; 0.5419268608093262	δίκαιος ; 0.46919554471969604
-0.021156195966275215	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	ἔτος	0	2	767	2	168	1	1	36	8	ὀψώνιον ; 0.43165820837020874	μήν ; 0.5150106549263	Ελιασιβ ; 0.4648132920265198	ἡμέρα ; 0.469582200050354	αἰτίωμα ; 0.4314810633659363	Πηνελόπη ; 0.4784112870693207	βάσκανος ; 0.45981207489967346	πορσύνω ; 0.3882918357849121
0.044219465955052384	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἄγγελος	0	15	15	526	16	73	3	699	2	Εὔτρησις ; 0.44230860471725464	Ἰσκαριώτης ; 0.4734594225883484	Ἀμμώνας ; 0.4676772356033325	Ὑάμπολις ; 0.500446617603302	πολύχαλκος ; 0.4937736988067627	τηρέω ; 0.4680292308330536	ἀηθέσσω ; 0.4604768753051758	συννοέω ; 0.47931694984436035
0.06254156546525896	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	ἀγωγή	1	266	7	60	1	8	7	1	15	ἑδραῖος ; 0.4108867049217224	Δορκάς ; 0.44738173484802246	στιβίζω ; 0.4528842270374298	κόψιχος ; 0.49487394094467163	ἀνατρέφω ; 0.4223940372467041	προσποιέω ; 0.41935133934020996	κλών ; 0.5244436264038086	ἐλασσόω ; 0.5080074071884155
0.043949521884619536	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	γεννητός	0	263	1	2	7	39	10	511	1	συκάζω ; 0.41275614500045776	παμπληθής ; 0.48822349309921265	προσαπόλλυμι ; 0.454208642244339	Ιεθρααμ ; 0.49042385816574097	γαστήρ ; 0.42540284991264343	Οφερ ; 0.4209707975387573	ἐνώπιόν ; 0.5072946548461914	γαμέτης ; 0.5002318620681763
0.07373051002815012	ψωμίον	σιτομέτριον	πόμα	ψίξ	διατροφή	ἀλώπηξ	θρέμμα	ὑποζύγιον	ἀλώπηξ	1	4	1	7	2	2	13	1	31	νυμφίος ; 0.49569016695022583	οἰκετεία ; 0.5963780283927917	μήνυτρον ; 0.4686118960380554	χωρέω ; 0.48103636503219604	καταγγέλλω ; 0.45218971371650696	οἱόμαι ; 0.4457840919494629	κοίμημα ; 0.4704461991786957	ὄνος ; 0.46842479705810547
-0.013012246923507276	τεκνογονέω	τεκνογονία	γένεσις	ἔγκυος	τίκτω	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	μεθερμηνεύω	1	1	1	63	2	263	1	9	5	οἰκοδεσποτέω ; 0.8481886386871338	ὁμότεχνος ; 0.49573251605033875	καταστένω ; 0.44488829374313354	προσαπόλλυμι ; 0.454208642244339	συκάζω ; 0.41275614500045776	ἐγρηγορτί ; 0.424575537443161	παλαμναῖος ; 0.43328985571861267	δυσχέρεια ; 0.4622795581817627
0.06697547913648177	πλοῦς	παραλέγομαι	ἀποπλέω	ἀνάγω	βραδυπλοέω	παραχειμάζω	χειμών	ἔτος	ἔτος	1	3	2	4	136	1	4	13	767	ὑπερνικάω ; 0.5176841020584106	μίλιον ; 0.4380633234977722	Κεραμικός ; 0.4957536458969116	ἐξάγω ; 0.5756357908248901	πολλαπλασίων ; 0.4654300808906555	περιαπτω ; 0.4314213991165161	μυλικός ; 0.41628411412239075	μήν ; 0.5150106549263
-0.020581074552548595	οἷος	ὁμοιόω	ὁμοίωμα	ἀφομοιόω	ὁμοίωσις	ἐλλογέω	καταλέγω	ἀποστάσιον	οἷος	0	33	54	47	1	9	2	3	7	φονοκτονία ; 0.448770135641098	παιγνία ; 0.4443090558052063	προαπόλλυμαι ; 0.4505210816860199	Ιδαερ ; 0.5040080547332764	Ἡρακλείδης ; 0.4914626181125641	λῦμα ; 0.4931677579879761	μισάνθρωπος ; 0.4322119355201721	πυξίον ; 0.4296867251396179
0.0075056257813054805	εὐσεβῶς	θρησκός	δεισιδαίμων	ἱεροπρεπής	εὐσεβής	ἔοικα	ὁμοίωσις	ὁμοιότης	ἱεροπρεπής	0	2	1	1	3	36	4	9	6	Βοσορ ; 0.44991248846054077	χαλιναγωγέω ; 0.5265661478042603	φυσικῶς ; 0.49059346318244934	δακρυοπετής ; 0.5016115307807922	βάσκανος ; 0.45981207489967346	σεμνόστομος ; 0.5175013542175293	Ἡρακλείδης ; 0.4914626181125641	ἀνδρολογεῖον ; 0.5112513303756714
